"identifier","dbms","schema","operator","type","killed","time","generator"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCNullifier","NORMAL","true",28,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCNullifier","NORMAL","true",25,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",24,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",24,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",23,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",23,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","false",23,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",19,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",24,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",20,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","false",26,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",20,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",18,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",22,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",22,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",17,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",17,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","FKCColumnPairR","IMPAIRED","true",11,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","FKCColumnPairR","IMPAIRED","true",10,"avs"
"yxnpg6de8bh2xluxgag0","SQLite","BrowserCookies","FKCColumnPairE","NORMAL","true",17,"avs"
