"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","gqskdj7csloyn60rzhpn","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",21,"directedRandom"
"2","gqskdj7csloyn60rzhpn","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",16,"directedRandom"
"3","gqskdj7csloyn60rzhpn","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",13,"directedRandom"
"4","gqskdj7csloyn60rzhpn","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",13,"directedRandom"
"5","gqskdj7csloyn60rzhpn","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",10,"directedRandom"
"6","gqskdj7csloyn60rzhpn","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",9,"directedRandom"
"7","gqskdj7csloyn60rzhpn","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",10,"directedRandom"
"8","gqskdj7csloyn60rzhpn","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"9","gqskdj7csloyn60rzhpn","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"10","gqskdj7csloyn60rzhpn","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"11","gqskdj7csloyn60rzhpn","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"12","fyh0oz3p681nwja1nol6","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",23,"directedRandom"
"13","fyh0oz3p681nwja1nol6","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",18,"directedRandom"
"14","fyh0oz3p681nwja1nol6","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"15","fyh0oz3p681nwja1nol6","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"16","fyh0oz3p681nwja1nol6","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",14,"directedRandom"
"17","fyh0oz3p681nwja1nol6","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",13,"directedRandom"
"18","fyh0oz3p681nwja1nol6","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",12,"directedRandom"
"19","fyh0oz3p681nwja1nol6","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",10,"directedRandom"
"20","fyh0oz3p681nwja1nol6","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",8,"directedRandom"
"21","fyh0oz3p681nwja1nol6","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"22","fyh0oz3p681nwja1nol6","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"23","wyzcc6ehvtids2mi4r78","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",21,"directedRandom"
"24","wyzcc6ehvtids2mi4r78","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",15,"directedRandom"
"25","wyzcc6ehvtids2mi4r78","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"26","wyzcc6ehvtids2mi4r78","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",15,"directedRandom"
"27","wyzcc6ehvtids2mi4r78","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",11,"directedRandom"
"28","wyzcc6ehvtids2mi4r78","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",10,"directedRandom"
"29","wyzcc6ehvtids2mi4r78","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",11,"directedRandom"
"30","wyzcc6ehvtids2mi4r78","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"31","wyzcc6ehvtids2mi4r78","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",10,"directedRandom"
"32","wyzcc6ehvtids2mi4r78","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"33","wyzcc6ehvtids2mi4r78","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"34","ocnb7a8svuzkwtku5auy","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",27,"directedRandom"
"35","ocnb7a8svuzkwtku5auy","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",16,"directedRandom"
"36","ocnb7a8svuzkwtku5auy","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",15,"directedRandom"
"37","ocnb7a8svuzkwtku5auy","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",12,"directedRandom"
"38","ocnb7a8svuzkwtku5auy","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",11,"directedRandom"
"39","ocnb7a8svuzkwtku5auy","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",9,"directedRandom"
"40","ocnb7a8svuzkwtku5auy","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",12,"directedRandom"
"41","ocnb7a8svuzkwtku5auy","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"42","ocnb7a8svuzkwtku5auy","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",8,"directedRandom"
"43","ocnb7a8svuzkwtku5auy","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"44","ocnb7a8svuzkwtku5auy","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"45","epjuacbw4wlljnrbyubm","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",19,"directedRandom"
"46","epjuacbw4wlljnrbyubm","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",16,"directedRandom"
"47","epjuacbw4wlljnrbyubm","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",16,"directedRandom"
"48","epjuacbw4wlljnrbyubm","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",16,"directedRandom"
"49","epjuacbw4wlljnrbyubm","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",13,"directedRandom"
"50","epjuacbw4wlljnrbyubm","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",9,"directedRandom"
"51","epjuacbw4wlljnrbyubm","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",10,"directedRandom"
"52","epjuacbw4wlljnrbyubm","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"53","epjuacbw4wlljnrbyubm","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",8,"directedRandom"
"54","epjuacbw4wlljnrbyubm","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"55","epjuacbw4wlljnrbyubm","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"56","a9p4myegookmkqr5gdub","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",18,"directedRandom"
"57","a9p4myegookmkqr5gdub","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",16,"directedRandom"
"58","a9p4myegookmkqr5gdub","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",14,"directedRandom"
"59","a9p4myegookmkqr5gdub","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",15,"directedRandom"
"60","a9p4myegookmkqr5gdub","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",12,"directedRandom"
"61","a9p4myegookmkqr5gdub","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",10,"directedRandom"
"62","a9p4myegookmkqr5gdub","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",10,"directedRandom"
"63","a9p4myegookmkqr5gdub","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"64","a9p4myegookmkqr5gdub","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",8,"directedRandom"
"65","a9p4myegookmkqr5gdub","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"66","a9p4myegookmkqr5gdub","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"67","8stumtmxtjm6w9danrvk","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",22,"directedRandom"
"68","8stumtmxtjm6w9danrvk","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",14,"directedRandom"
"69","8stumtmxtjm6w9danrvk","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",16,"directedRandom"
"70","8stumtmxtjm6w9danrvk","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",11,"directedRandom"
"71","8stumtmxtjm6w9danrvk","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",10,"directedRandom"
"72","8stumtmxtjm6w9danrvk","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",9,"directedRandom"
"73","8stumtmxtjm6w9danrvk","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",10,"directedRandom"
"74","8stumtmxtjm6w9danrvk","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"75","8stumtmxtjm6w9danrvk","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",8,"directedRandom"
"76","8stumtmxtjm6w9danrvk","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"77","8stumtmxtjm6w9danrvk","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"78","wmcnmflqjomgviprfbjb","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",19,"directedRandom"
"79","wmcnmflqjomgviprfbjb","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",15,"directedRandom"
"80","wmcnmflqjomgviprfbjb","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",16,"directedRandom"
"81","wmcnmflqjomgviprfbjb","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",13,"directedRandom"
"82","wmcnmflqjomgviprfbjb","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",12,"directedRandom"
"83","wmcnmflqjomgviprfbjb","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",11,"directedRandom"
"84","wmcnmflqjomgviprfbjb","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",11,"directedRandom"
"85","wmcnmflqjomgviprfbjb","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"86","wmcnmflqjomgviprfbjb","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",8,"directedRandom"
"87","wmcnmflqjomgviprfbjb","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",11,"directedRandom"
"88","wmcnmflqjomgviprfbjb","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"89","qhwrn6e8mlipsxtsbyw2","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",18,"directedRandom"
"90","qhwrn6e8mlipsxtsbyw2","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",16,"directedRandom"
"91","qhwrn6e8mlipsxtsbyw2","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",15,"directedRandom"
"92","qhwrn6e8mlipsxtsbyw2","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",12,"directedRandom"
"93","qhwrn6e8mlipsxtsbyw2","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",10,"directedRandom"
"94","qhwrn6e8mlipsxtsbyw2","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",10,"directedRandom"
"95","qhwrn6e8mlipsxtsbyw2","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",11,"directedRandom"
"96","qhwrn6e8mlipsxtsbyw2","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"97","qhwrn6e8mlipsxtsbyw2","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",8,"directedRandom"
"98","qhwrn6e8mlipsxtsbyw2","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"99","qhwrn6e8mlipsxtsbyw2","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"100","nhv5xnwtvvbvybwxayuf","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",20,"directedRandom"
"101","nhv5xnwtvvbvybwxayuf","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",16,"directedRandom"
"102","nhv5xnwtvvbvybwxayuf","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",15,"directedRandom"
"103","nhv5xnwtvvbvybwxayuf","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",13,"directedRandom"
"104","nhv5xnwtvvbvybwxayuf","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",11,"directedRandom"
"105","nhv5xnwtvvbvybwxayuf","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",10,"directedRandom"
"106","nhv5xnwtvvbvybwxayuf","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",11,"directedRandom"
"107","nhv5xnwtvvbvybwxayuf","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"108","nhv5xnwtvvbvybwxayuf","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",8,"directedRandom"
"109","nhv5xnwtvvbvybwxayuf","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"110","nhv5xnwtvvbvybwxayuf","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"111","3wcbkgeskmlewcbrpooz","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",18,"directedRandom"
"112","3wcbkgeskmlewcbrpooz","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",15,"directedRandom"
"113","3wcbkgeskmlewcbrpooz","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",14,"directedRandom"
"114","3wcbkgeskmlewcbrpooz","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",12,"directedRandom"
"115","3wcbkgeskmlewcbrpooz","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",10,"directedRandom"
"116","3wcbkgeskmlewcbrpooz","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",10,"directedRandom"
"117","3wcbkgeskmlewcbrpooz","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",10,"directedRandom"
"118","3wcbkgeskmlewcbrpooz","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"119","3wcbkgeskmlewcbrpooz","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",8,"directedRandom"
"120","3wcbkgeskmlewcbrpooz","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"121","3wcbkgeskmlewcbrpooz","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"122","pnazowfryxqqulolstfk","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",19,"directedRandom"
"123","pnazowfryxqqulolstfk","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",15,"directedRandom"
"124","pnazowfryxqqulolstfk","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",14,"directedRandom"
"125","pnazowfryxqqulolstfk","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",12,"directedRandom"
"126","pnazowfryxqqulolstfk","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",11,"directedRandom"
"127","pnazowfryxqqulolstfk","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",9,"directedRandom"
"128","pnazowfryxqqulolstfk","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",10,"directedRandom"
"129","pnazowfryxqqulolstfk","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"130","pnazowfryxqqulolstfk","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",8,"directedRandom"
"131","pnazowfryxqqulolstfk","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"132","pnazowfryxqqulolstfk","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"133","itwh0o1aiflquykiob0c","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",18,"directedRandom"
"134","itwh0o1aiflquykiob0c","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",17,"directedRandom"
"135","itwh0o1aiflquykiob0c","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"136","itwh0o1aiflquykiob0c","HyperSQL","ArtistSimilarity","FKCColumnPairE","NORMAL","true",15,"directedRandom"
"137","itwh0o1aiflquykiob0c","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",12,"directedRandom"
"138","itwh0o1aiflquykiob0c","HyperSQL","ArtistSimilarity","PKCColumnA","NORMAL","true",10,"directedRandom"
"139","itwh0o1aiflquykiob0c","HyperSQL","ArtistSimilarity","NNCA","EQUIVALENT","false",11,"directedRandom"
"140","itwh0o1aiflquykiob0c","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"141","itwh0o1aiflquykiob0c","HyperSQL","ArtistSimilarity","NNCA","NORMAL","true",9,"directedRandom"
"142","itwh0o1aiflquykiob0c","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",7,"directedRandom"
"143","itwh0o1aiflquykiob0c","HyperSQL","ArtistSimilarity","UCColumnA","NORMAL","true",8,"directedRandom"
"144","5xwkqzwfrqi9h46t8lkj","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",19,"directedRandom"
"145","5xwkqzwfrqi9h46t8lkj","HyperSQL","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",19,"directedRandom"
