"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",706,"directedRandom"
"2","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",758,"directedRandom"
"3","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","FKCColumnPairE","NORMAL","true",641,"directedRandom"
"4","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","FKCColumnPairE","NORMAL","true",650,"directedRandom"
"5","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","PKCColumnA","NORMAL","true",791,"directedRandom"
"6","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","PKCColumnA","NORMAL","true",716,"directedRandom"
"7","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","NNCA","EQUIVALENT","false",633,"directedRandom"
"8","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","NNCA","NORMAL","true",866,"directedRandom"
"9","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","NNCA","NORMAL","true",591,"directedRandom"
"10","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","UCColumnA","EQUIVALENT","false",775,"directedRandom"
"11","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","UCColumnA","NORMAL","true",676,"directedRandom"
"12","hfaxfwpswnxx6wueckuc","Postgres","ArtistSimilarity","UCColumnA","NORMAL","true",641,"directedRandom"
"13","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",723,"directedRandom"
"14","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",751,"directedRandom"
"15","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","FKCColumnPairE","NORMAL","true",691,"directedRandom"
"16","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","FKCColumnPairE","NORMAL","true",808,"directedRandom"
"17","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","PKCColumnA","NORMAL","true",750,"directedRandom"
"18","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","PKCColumnA","NORMAL","true",649,"directedRandom"
"19","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","NNCA","EQUIVALENT","false",708,"directedRandom"
"20","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","NNCA","NORMAL","true",625,"directedRandom"
"21","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","NNCA","NORMAL","true",666,"directedRandom"
"22","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","UCColumnA","EQUIVALENT","false",650,"directedRandom"
"23","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","UCColumnA","NORMAL","true",708,"directedRandom"
"24","iloyd6jmppkfdnhrxcy7","Postgres","ArtistSimilarity","UCColumnA","NORMAL","true",700,"directedRandom"
"25","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",847,"directedRandom"
"26","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",692,"directedRandom"
"27","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","FKCColumnPairE","NORMAL","true",750,"directedRandom"
"28","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","FKCColumnPairE","NORMAL","true",1058,"directedRandom"
"29","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","PKCColumnA","NORMAL","true",675,"directedRandom"
"30","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","PKCColumnA","NORMAL","true",658,"directedRandom"
"31","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","NNCA","EQUIVALENT","false",666,"directedRandom"
"32","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","NNCA","NORMAL","true",700,"directedRandom"
"33","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","NNCA","NORMAL","true",625,"directedRandom"
"34","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","UCColumnA","EQUIVALENT","false",658,"directedRandom"
"35","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","UCColumnA","NORMAL","true",775,"directedRandom"
"36","yt259zxkcjyhkzfl5nnx","Postgres","ArtistSimilarity","UCColumnA","NORMAL","true",809,"directedRandom"
"37","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",1414,"directedRandom"
"38","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",792,"directedRandom"
"39","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","FKCColumnPairE","NORMAL","true",700,"directedRandom"
"40","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","FKCColumnPairE","NORMAL","true",700,"directedRandom"
"41","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","PKCColumnA","NORMAL","true",741,"directedRandom"
"42","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","PKCColumnA","NORMAL","true",733,"directedRandom"
"43","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","NNCA","EQUIVALENT","false",758,"directedRandom"
"44","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","NNCA","NORMAL","true",583,"directedRandom"
"45","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","NNCA","NORMAL","true",734,"directedRandom"
"46","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","UCColumnA","EQUIVALENT","false",866,"directedRandom"
"47","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","UCColumnA","NORMAL","true",675,"directedRandom"
"48","x2krvb3fvsqeqso59rdp","Postgres","ArtistSimilarity","UCColumnA","NORMAL","true",691,"directedRandom"
"49","paujlwr5t40jr70azl32","Postgres","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",683,"directedRandom"
"50","paujlwr5t40jr70azl32","Postgres","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",792,"directedRandom"
"51","paujlwr5t40jr70azl32","Postgres","ArtistSimilarity","FKCColumnPairE","NORMAL","true",650,"directedRandom"
"52","paujlwr5t40jr70azl32","Postgres","ArtistSimilarity","FKCColumnPairE","NORMAL","true",750,"directedRandom"
"53","paujlwr5t40jr70azl32","Postgres","ArtistSimilarity","PKCColumnA","NORMAL","true",683,"directedRandom"
"54","paujlwr5t40jr70azl32","Postgres","ArtistSimilarity","PKCColumnA","NORMAL","true",750,"directedRandom"
"55","paujlwr5t40jr70azl32","Postgres","ArtistSimilarity","NNCA","EQUIVALENT","false",641,"directedRandom"
