"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",1773,"directedRandom"
"2","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",1892,"directedRandom"
"3","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",1775,"directedRandom"
"4","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",1849,"directedRandom"
"5","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1760,"directedRandom"
"6","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1575,"directedRandom"
"7","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1675,"directedRandom"
"8","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1525,"directedRandom"
"9","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1833,"directedRandom"
"10","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1925,"directedRandom"
"11","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1700,"directedRandom"
"12","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1834,"directedRandom"
"13","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","NNCA","EQUIVALENT","false",1768,"directedRandom"
"14","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","NNCA","EQUIVALENT","false",1834,"directedRandom"
"15","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","NNCA","EQUIVALENT","false",2309,"directedRandom"
"16","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","NNCA","NORMAL","true",1617,"directedRandom"
"17","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","NNCA","NORMAL","true",1750,"directedRandom"
"18","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","NNCA","NORMAL","true",1909,"directedRandom"
"19","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","NNCA","NORMAL","true",1642,"directedRandom"
"20","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","UCColumnA","EQUIVALENT","false",1900,"directedRandom"
"21","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","UCColumnA","EQUIVALENT","false",1715,"directedRandom"
"22","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","UCColumnA","EQUIVALENT","false",1843,"directedRandom"
"23","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","UCColumnA","NORMAL","true",1934,"directedRandom"
"24","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","UCColumnA","NORMAL","true",1951,"directedRandom"
"25","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","UCColumnA","NORMAL","true",1985,"directedRandom"
"26","kctwvdaa2rrg70rg2jdd","Postgres","ArtistTerm","UCColumnA","NORMAL","true",2025,"directedRandom"
"27","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",2076,"directedRandom"
"28","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",1833,"directedRandom"
"29","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",1892,"directedRandom"
"30","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",1817,"directedRandom"
"31","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1817,"directedRandom"
"32","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1784,"directedRandom"
"33","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1934,"directedRandom"
"34","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1842,"directedRandom"
"35","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1843,"directedRandom"
"36","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1748,"directedRandom"
"37","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1792,"directedRandom"
"38","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1842,"directedRandom"
"39","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","NNCA","EQUIVALENT","false",1892,"directedRandom"
"40","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","NNCA","EQUIVALENT","false",1925,"directedRandom"
"41","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","NNCA","EQUIVALENT","false",1827,"directedRandom"
"42","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","NNCA","NORMAL","true",1850,"directedRandom"
"43","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","NNCA","NORMAL","true",1625,"directedRandom"
"44","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","NNCA","NORMAL","true",1842,"directedRandom"
"45","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","NNCA","NORMAL","true",1900,"directedRandom"
"46","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","UCColumnA","EQUIVALENT","false",1742,"directedRandom"
"47","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","UCColumnA","EQUIVALENT","false",1859,"directedRandom"
"48","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","UCColumnA","EQUIVALENT","false",1867,"directedRandom"
"49","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","UCColumnA","NORMAL","true",2018,"directedRandom"
"50","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","UCColumnA","NORMAL","true",1792,"directedRandom"
"51","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","UCColumnA","NORMAL","true",1825,"directedRandom"
"52","ucxi256oky4mehh4mq1e","Postgres","ArtistTerm","UCColumnA","NORMAL","true",2317,"directedRandom"
"53","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",1898,"directedRandom"
"54","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",2115,"directedRandom"
"55","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",1817,"directedRandom"
"56","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","FKCColumnPairR","NORMAL","true",2000,"directedRandom"
"57","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1694,"directedRandom"
"58","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1892,"directedRandom"
"59","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1863,"directedRandom"
"60","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","FKCColumnPairE","NORMAL","true",1759,"directedRandom"
"61","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1883,"directedRandom"
"62","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1834,"directedRandom"
"63","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1792,"directedRandom"
"64","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","PKCColumnA","NORMAL","true",1901,"directedRandom"
"65","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","NNCA","EQUIVALENT","false",2088,"directedRandom"
"66","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","NNCA","EQUIVALENT","false",1917,"directedRandom"
"67","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","NNCA","EQUIVALENT","false",2050,"directedRandom"
"68","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","NNCA","NORMAL","true",1784,"directedRandom"
"69","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","NNCA","NORMAL","true",1784,"directedRandom"
"70","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","NNCA","NORMAL","true",1702,"directedRandom"
"71","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","NNCA","NORMAL","true",1859,"directedRandom"
"72","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","UCColumnA","EQUIVALENT","false",1950,"directedRandom"
"73","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","UCColumnA","EQUIVALENT","false",1875,"directedRandom"
"74","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","UCColumnA","EQUIVALENT","false",2000,"directedRandom"
"75","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","UCColumnA","NORMAL","true",1859,"directedRandom"
"76","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","UCColumnA","NORMAL","true",1859,"directedRandom"
"77","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","UCColumnA","NORMAL","true",1927,"directedRandom"
"78","cvxnrdjiqgjszrsiwa48","Postgres","ArtistTerm","UCColumnA","NORMAL","true",1892,"directedRandom"
