"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",23,"directedRandom"
"2","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",20,"directedRandom"
"3","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",20,"directedRandom"
"4","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",18,"directedRandom"
"5","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"6","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"7","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"8","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"9","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",18,"directedRandom"
"10","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",18,"directedRandom"
"11","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",33,"directedRandom"
"12","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",17,"directedRandom"
"13","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",9,"directedRandom"
"14","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",8,"directedRandom"
"15","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",7,"directedRandom"
"16","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","NNCA","NORMAL","true",17,"directedRandom"
"17","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","NNCA","NORMAL","true",17,"directedRandom"
"18","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","NNCA","NORMAL","true",17,"directedRandom"
"19","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"20","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"21","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"22","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","NNCA","NORMAL","true",20,"directedRandom"
"23","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",17,"directedRandom"
"24","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",17,"directedRandom"
"25","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",16,"directedRandom"
"26","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"27","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"28","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"29","quqdwppoj31xoocx3b6v","SQLite","ArtistTerm","UCColumnA","NORMAL","true",16,"directedRandom"
"30","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",23,"directedRandom"
"31","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",19,"directedRandom"
"32","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",19,"directedRandom"
"33","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",18,"directedRandom"
"34","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"35","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"36","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"37","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"38","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",18,"directedRandom"
"39","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",18,"directedRandom"
"40","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",49,"directedRandom"
"41","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",17,"directedRandom"
"42","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",9,"directedRandom"
"43","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",9,"directedRandom"
"44","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",7,"directedRandom"
"45","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"46","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"47","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"48","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"49","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"50","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"51","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"52","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",20,"directedRandom"
"53","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",16,"directedRandom"
"54","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",16,"directedRandom"
"55","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","UCColumnA","NORMAL","true",18,"directedRandom"
"56","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"57","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"58","qz8gllpbbngb22nefqrj","SQLite","ArtistTerm","UCColumnA","NORMAL","true",16,"directedRandom"
"59","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",26,"directedRandom"
"60","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",20,"directedRandom"
"61","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",20,"directedRandom"
"62","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",18,"directedRandom"
"63","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"64","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"65","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"66","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"67","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",21,"directedRandom"
"68","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",19,"directedRandom"
"69","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",33,"directedRandom"
"70","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",20,"directedRandom"
"71","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",9,"directedRandom"
"72","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",8,"directedRandom"
"73","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",7,"directedRandom"
"74","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"75","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"76","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"77","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"78","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"79","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"80","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","NNCA","NORMAL","true",18,"directedRandom"
"81","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",17,"directedRandom"
"82","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",16,"directedRandom"
"83","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",16,"directedRandom"
"84","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","UCColumnA","NORMAL","true",16,"directedRandom"
"85","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"86","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","UCColumnA","NORMAL","true",16,"directedRandom"
"87","odcdg9sdmzkg9ogupauj","SQLite","ArtistTerm","UCColumnA","NORMAL","true",16,"directedRandom"
"88","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",31,"directedRandom"
"89","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",20,"directedRandom"
"90","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",22,"directedRandom"
"91","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",31,"directedRandom"
"92","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",29,"directedRandom"
"93","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"94","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"95","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"96","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",28,"directedRandom"
"97","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",18,"directedRandom"
"98","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",34,"directedRandom"
"99","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","PKCColumnA","DUPLICATE","true",21,"directedRandom"
"100","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",9,"directedRandom"
"101","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",8,"directedRandom"
"102","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","PKCColumnR","IMPAIRED","true",7,"directedRandom"
"103","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","NNCA","NORMAL","true",17,"directedRandom"
"104","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","NNCA","NORMAL","true",18,"directedRandom"
"105","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","NNCA","NORMAL","true",17,"directedRandom"
"106","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"107","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","NNCA","NORMAL","true",17,"directedRandom"
"108","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"109","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","NNCA","NORMAL","true",19,"directedRandom"
"110","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",17,"directedRandom"
"111","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",17,"directedRandom"
"112","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","UCColumnA","EQUIVALENT","false",16,"directedRandom"
"113","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"114","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"115","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"116","7gxwuldldsiabep6yumc","SQLite","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"117","jt9pdbewitvhc761hoty","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",23,"directedRandom"
"118","jt9pdbewitvhc761hoty","SQLite","ArtistTerm","FKCColumnPairR","NORMAL","true",20,"directedRandom"
