"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","FKCColumnPairR","NORMAL","true",33,"directedRandom"
"2","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",24,"directedRandom"
"3","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",32,"directedRandom"
"4","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",19,"directedRandom"
"5","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",15,"directedRandom"
"6","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",17,"directedRandom"
"7","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","PKCColumnA","NORMAL","false",14,"directedRandom"
"8","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","PKCColumnR","NORMAL","true",13,"directedRandom"
"9","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",15,"directedRandom"
"10","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",14,"directedRandom"
"11","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",14,"directedRandom"
"12","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",15,"directedRandom"
"13","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",16,"directedRandom"
"14","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","NNCA","NORMAL","true",12,"directedRandom"
"15","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",13,"directedRandom"
"16","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","NNCA","NORMAL","true",12,"directedRandom"
"17","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","NNCR","NORMAL","true",12,"directedRandom"
"18","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","NNCR","NORMAL","true",12,"directedRandom"
"19","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","NNCR","NORMAL","true",11,"directedRandom"
"20","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","NNCR","NORMAL","true",14,"directedRandom"
"21","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","NNCR","NORMAL","true",15,"directedRandom"
"22","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","UCColumnA","NORMAL","true",13,"directedRandom"
"23","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","UCColumnA","NORMAL","true",12,"directedRandom"
"24","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"25","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"26","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","UCColumnA","NORMAL","true",15,"directedRandom"
"27","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"28","dqrnvln4kcuwtnik3t0e","HyperSQL","BankAccount","UCColumnA","NORMAL","true",10,"directedRandom"
"29","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","FKCColumnPairR","NORMAL","true",28,"directedRandom"
"30","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",38,"directedRandom"
"31","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",16,"directedRandom"
"32","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",17,"directedRandom"
"33","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",15,"directedRandom"
"34","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",14,"directedRandom"
"35","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","PKCColumnA","NORMAL","false",14,"directedRandom"
"36","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","PKCColumnR","NORMAL","true",13,"directedRandom"
"37","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",13,"directedRandom"
"38","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",14,"directedRandom"
"39","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",15,"directedRandom"
"40","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",12,"directedRandom"
"41","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",13,"directedRandom"
"42","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","NNCA","NORMAL","true",12,"directedRandom"
"43","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",13,"directedRandom"
"44","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","NNCA","NORMAL","true",15,"directedRandom"
"45","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","NNCR","NORMAL","true",15,"directedRandom"
"46","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","NNCR","NORMAL","true",15,"directedRandom"
"47","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","NNCR","NORMAL","true",14,"directedRandom"
"48","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","NNCR","NORMAL","true",14,"directedRandom"
"49","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","NNCR","NORMAL","true",14,"directedRandom"
"50","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","UCColumnA","NORMAL","true",15,"directedRandom"
"51","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","UCColumnA","NORMAL","true",15,"directedRandom"
"52","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","UCColumnA","NORMAL","true",15,"directedRandom"
"53","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","UCColumnA","NORMAL","true",14,"directedRandom"
"54","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","UCColumnA","NORMAL","true",15,"directedRandom"
"55","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","UCColumnA","NORMAL","true",13,"directedRandom"
"56","ybnyl8eyemczvn7tsm73","HyperSQL","BankAccount","UCColumnA","NORMAL","true",10,"directedRandom"
"57","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","FKCColumnPairR","NORMAL","true",26,"directedRandom"
"58","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",38,"directedRandom"
"59","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",19,"directedRandom"
"60","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",20,"directedRandom"
"61","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",14,"directedRandom"
"62","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",13,"directedRandom"
"63","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","PKCColumnA","NORMAL","false",13,"directedRandom"
"64","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","PKCColumnR","NORMAL","true",13,"directedRandom"
"65","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",14,"directedRandom"
"66","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",16,"directedRandom"
"67","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",16,"directedRandom"
"68","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",11,"directedRandom"
"69","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",13,"directedRandom"
"70","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","NNCA","NORMAL","true",12,"directedRandom"
"71","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",15,"directedRandom"
"72","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","NNCA","NORMAL","true",16,"directedRandom"
"73","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","NNCR","NORMAL","true",16,"directedRandom"
"74","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","NNCR","NORMAL","true",15,"directedRandom"
"75","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","NNCR","NORMAL","true",15,"directedRandom"
"76","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","NNCR","NORMAL","true",15,"directedRandom"
"77","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","NNCR","NORMAL","true",13,"directedRandom"
"78","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","UCColumnA","NORMAL","true",14,"directedRandom"
"79","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","UCColumnA","NORMAL","true",15,"directedRandom"
"80","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","UCColumnA","NORMAL","true",12,"directedRandom"
"81","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","UCColumnA","NORMAL","true",10,"directedRandom"
"82","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"83","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"84","d8eezyuecdhfnphza2pg","HyperSQL","BankAccount","UCColumnA","NORMAL","true",10,"directedRandom"
"85","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","FKCColumnPairR","NORMAL","true",27,"directedRandom"
"86","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",42,"directedRandom"
"87","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",19,"directedRandom"
"88","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",20,"directedRandom"
"89","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",15,"directedRandom"
"90","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",14,"directedRandom"
"91","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","PKCColumnA","NORMAL","false",13,"directedRandom"
"92","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","PKCColumnR","NORMAL","true",13,"directedRandom"
"93","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",15,"directedRandom"
"94","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",13,"directedRandom"
"95","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",13,"directedRandom"
"96","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",12,"directedRandom"
"97","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",14,"directedRandom"
"98","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","NNCA","NORMAL","true",12,"directedRandom"
"99","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",13,"directedRandom"
"100","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","NNCA","NORMAL","true",12,"directedRandom"
"101","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","NNCR","NORMAL","true",12,"directedRandom"
"102","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","NNCR","NORMAL","true",12,"directedRandom"
"103","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","NNCR","NORMAL","true",12,"directedRandom"
"104","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","NNCR","NORMAL","true",12,"directedRandom"
"105","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","NNCR","NORMAL","true",12,"directedRandom"
"106","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","UCColumnA","NORMAL","true",18,"directedRandom"
"107","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","UCColumnA","NORMAL","true",15,"directedRandom"
"108","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","UCColumnA","NORMAL","true",14,"directedRandom"
"109","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","UCColumnA","NORMAL","true",14,"directedRandom"
"110","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","UCColumnA","NORMAL","true",14,"directedRandom"
"111","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","UCColumnA","NORMAL","true",14,"directedRandom"
"112","7nldyskpt2a4afoeungi","HyperSQL","BankAccount","UCColumnA","NORMAL","true",13,"directedRandom"
"113","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","FKCColumnPairR","NORMAL","true",27,"directedRandom"
"114","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",55,"directedRandom"
"115","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",19,"directedRandom"
"116","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",20,"directedRandom"
"117","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",15,"directedRandom"
"118","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",13,"directedRandom"
"119","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","PKCColumnA","NORMAL","false",13,"directedRandom"
"120","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","PKCColumnR","NORMAL","true",12,"directedRandom"
"121","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",12,"directedRandom"
"122","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",12,"directedRandom"
"123","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",13,"directedRandom"
"124","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",11,"directedRandom"
"125","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",13,"directedRandom"
"126","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","NNCA","NORMAL","true",12,"directedRandom"
"127","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",12,"directedRandom"
"128","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","NNCA","NORMAL","true",11,"directedRandom"
"129","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","NNCR","NORMAL","true",11,"directedRandom"
"130","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","NNCR","NORMAL","true",11,"directedRandom"
"131","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","NNCR","NORMAL","true",11,"directedRandom"
"132","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","NNCR","NORMAL","true",11,"directedRandom"
"133","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","NNCR","NORMAL","true",11,"directedRandom"
"134","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"135","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"136","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"137","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"138","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"139","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"140","ggjxqilpr5ov7krwudlk","HyperSQL","BankAccount","UCColumnA","NORMAL","true",10,"directedRandom"
"141","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","FKCColumnPairR","NORMAL","true",27,"directedRandom"
"142","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",33,"directedRandom"
"143","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","FKCColumnPairE","NORMAL","true",16,"directedRandom"
"144","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",17,"directedRandom"
"145","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",14,"directedRandom"
"146","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","PKCColumnA","NORMAL","true",13,"directedRandom"
"147","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","PKCColumnA","NORMAL","false",13,"directedRandom"
"148","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","PKCColumnR","NORMAL","true",13,"directedRandom"
"149","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",14,"directedRandom"
"150","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",12,"directedRandom"
"151","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",12,"directedRandom"
"152","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","PKCColumnE","NORMAL","true",11,"directedRandom"
"153","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",12,"directedRandom"
"154","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","NNCA","NORMAL","true",12,"directedRandom"
"155","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","NNCA","EQUIVALENT","false",12,"directedRandom"
"156","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","NNCA","NORMAL","true",11,"directedRandom"
"157","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","NNCR","NORMAL","true",11,"directedRandom"
"158","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","NNCR","NORMAL","true",11,"directedRandom"
"159","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","NNCR","NORMAL","true",11,"directedRandom"
"160","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","NNCR","NORMAL","true",12,"directedRandom"
"161","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","NNCR","NORMAL","true",11,"directedRandom"
"162","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","UCColumnA","NORMAL","true",12,"directedRandom"
"163","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","UCColumnA","NORMAL","true",12,"directedRandom"
"164","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","UCColumnA","NORMAL","true",13,"directedRandom"
"165","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
"166","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","UCColumnA","NORMAL","true",10,"directedRandom"
"167","2iq4iinf4cmb3nk83uzl","HyperSQL","BankAccount","UCColumnA","NORMAL","true",11,"directedRandom"
