"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","6yfeum5hdhqlml50qok9","Postgres","BankAccount","FKCColumnPairR","NORMAL","true",958,"directedRandom"
"2","6yfeum5hdhqlml50qok9","Postgres","BankAccount","FKCColumnPairE","NORMAL","true",735,"directedRandom"
"3","6yfeum5hdhqlml50qok9","Postgres","BankAccount","FKCColumnPairE","NORMAL","true",750,"directedRandom"
"4","6yfeum5hdhqlml50qok9","Postgres","BankAccount","PKCColumnA","NORMAL","true",1033,"directedRandom"
"5","6yfeum5hdhqlml50qok9","Postgres","BankAccount","PKCColumnA","NORMAL","true",1050,"directedRandom"
"6","6yfeum5hdhqlml50qok9","Postgres","BankAccount","PKCColumnA","NORMAL","true",1083,"directedRandom"
"7","6yfeum5hdhqlml50qok9","Postgres","BankAccount","PKCColumnA","NORMAL","false",941,"directedRandom"
"8","6yfeum5hdhqlml50qok9","Postgres","BankAccount","PKCColumnR","NORMAL","true",891,"directedRandom"
"9","6yfeum5hdhqlml50qok9","Postgres","BankAccount","PKCColumnE","NORMAL","true",1008,"directedRandom"
"10","6yfeum5hdhqlml50qok9","Postgres","BankAccount","PKCColumnE","NORMAL","true",908,"directedRandom"
"11","6yfeum5hdhqlml50qok9","Postgres","BankAccount","PKCColumnE","NORMAL","true",1033,"directedRandom"
"12","6yfeum5hdhqlml50qok9","Postgres","BankAccount","PKCColumnE","NORMAL","true",916,"directedRandom"
"13","6yfeum5hdhqlml50qok9","Postgres","BankAccount","NNCA","EQUIVALENT","false",1200,"directedRandom"
"14","6yfeum5hdhqlml50qok9","Postgres","BankAccount","NNCA","NORMAL","true",924,"directedRandom"
"15","6yfeum5hdhqlml50qok9","Postgres","BankAccount","NNCA","EQUIVALENT","false",933,"directedRandom"
"16","6yfeum5hdhqlml50qok9","Postgres","BankAccount","NNCA","NORMAL","true",858,"directedRandom"
"17","6yfeum5hdhqlml50qok9","Postgres","BankAccount","NNCR","NORMAL","true",1075,"directedRandom"
"18","6yfeum5hdhqlml50qok9","Postgres","BankAccount","NNCR","NORMAL","true",950,"directedRandom"
"19","6yfeum5hdhqlml50qok9","Postgres","BankAccount","NNCR","NORMAL","true",891,"directedRandom"
"20","6yfeum5hdhqlml50qok9","Postgres","BankAccount","NNCR","NORMAL","true",1042,"directedRandom"
"21","6yfeum5hdhqlml50qok9","Postgres","BankAccount","NNCR","NORMAL","true",908,"directedRandom"
"22","6yfeum5hdhqlml50qok9","Postgres","BankAccount","UCColumnA","EQUIVALENT","false",1033,"directedRandom"
"23","6yfeum5hdhqlml50qok9","Postgres","BankAccount","UCColumnA","NORMAL","true",1075,"directedRandom"
"24","6yfeum5hdhqlml50qok9","Postgres","BankAccount","UCColumnA","NORMAL","true",1008,"directedRandom"
"25","6yfeum5hdhqlml50qok9","Postgres","BankAccount","UCColumnA","NORMAL","true",1058,"directedRandom"
"26","6yfeum5hdhqlml50qok9","Postgres","BankAccount","UCColumnA","EQUIVALENT","false",933,"directedRandom"
"27","6yfeum5hdhqlml50qok9","Postgres","BankAccount","UCColumnA","NORMAL","true",933,"directedRandom"
"28","6yfeum5hdhqlml50qok9","Postgres","BankAccount","UCColumnA","NORMAL","true",1166,"directedRandom"
"29","6yfeum5hdhqlml50qok9","Postgres","BankAccount","UCColumnA","NORMAL","true",958,"directedRandom"
"30","6yfeum5hdhqlml50qok9","Postgres","BankAccount","UCColumnA","NORMAL","true",858,"directedRandom"
"31","ir8futgelxcb6mj9w4u3","Postgres","BankAccount","FKCColumnPairR","NORMAL","true",973,"directedRandom"
"32","ir8futgelxcb6mj9w4u3","Postgres","BankAccount","FKCColumnPairE","NORMAL","true",858,"directedRandom"
"33","ir8futgelxcb6mj9w4u3","Postgres","BankAccount","FKCColumnPairE","NORMAL","true",691,"directedRandom"
"34","ir8futgelxcb6mj9w4u3","Postgres","BankAccount","PKCColumnA","NORMAL","true",1000,"directedRandom"
