"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","FKCColumnPairR","NORMAL","true",14,"directedRandom"
"2","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","FKCColumnPairE","NORMAL","true",11,"directedRandom"
"3","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","FKCColumnPairE","NORMAL","true",11,"directedRandom"
"4","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","FKCColumnPairE","NORMAL","true",10,"directedRandom"
"5","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","FKCColumnPairE","NORMAL","true",11,"directedRandom"
"6","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","FKCColumnPairE","IMPAIRED","true",7,"directedRandom"
"7","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","FKCColumnPairE","IMPAIRED","true",7,"directedRandom"
"8","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","FKCColumnPairE","IMPAIRED","true",7,"directedRandom"
"9","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnA","IMPAIRED","true",7,"directedRandom"
"10","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnA","IMPAIRED","true",6,"directedRandom"
"11","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnA","IMPAIRED","true",6,"directedRandom"
"12","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnA","NORMAL","true",11,"directedRandom"
"13","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnA","NORMAL","true",11,"directedRandom"
"14","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnA","NORMAL","true",20,"directedRandom"
"15","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnA","NORMAL","false",15,"directedRandom"
"16","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnR","IMPAIRED","true",8,"directedRandom"
"17","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnR","NORMAL","true",10,"directedRandom"
"18","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnE","IMPAIRED","true",6,"directedRandom"
"19","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnE","IMPAIRED","true",6,"directedRandom"
"20","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnE","IMPAIRED","true",6,"directedRandom"
"21","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnE","NORMAL","true",10,"directedRandom"
"22","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnE","NORMAL","true",10,"directedRandom"
"23","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnE","NORMAL","true",10,"directedRandom"
"24","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","PKCColumnE","NORMAL","true",10,"directedRandom"
"25","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","NNCA","NORMAL","true",10,"directedRandom"
"26","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","NNCA","NORMAL","true",10,"directedRandom"
"27","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","NNCA","NORMAL","true",10,"directedRandom"
"28","f9c4hmihg8smfbglyhgq","SQLite","BankAccount","NNCA","NORMAL","true",10,"directedRandom"
