"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","CCNullifier","NORMAL","true",173,"directedRandom"
"2","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","CCNullifier","NORMAL","true",146,"directedRandom"
"3","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",125,"directedRandom"
"4","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",115,"directedRandom"
"5","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",121,"directedRandom"
"6","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","CCRelationalExpressionOperatorE","NORMAL","false",132,"directedRandom"
"7","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",118,"directedRandom"
"8","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","PKCColumnA","NORMAL","true",120,"directedRandom"
"9","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","PKCColumnA","NORMAL","true",119,"directedRandom"
"10","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","PKCColumnA","NORMAL","true",120,"directedRandom"
"11","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","PKCColumnA","NORMAL","true",105,"directedRandom"
"12","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","PKCColumnA","NORMAL","true",103,"directedRandom"
"13","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","PKCColumnA","NORMAL","true",102,"directedRandom"
"14","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","PKCColumnA","NORMAL","true",100,"directedRandom"
"15","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","PKCColumnA","NORMAL","true",98,"directedRandom"
"16","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","PKCColumnA","NORMAL","true",103,"directedRandom"
"17","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","PKCColumnA","NORMAL","true",100,"directedRandom"
"18","yrk7k8iszjjqowerx2rn","HyperSQL","BookTown","PKCColumnA","NORMAL","true",97,"directedRandom"
