"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","CCNullifier","NORMAL","true",7108,"directedRandom"
"2","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","CCNullifier","NORMAL","true",7293,"directedRandom"
"3","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",6927,"directedRandom"
"4","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",6710,"directedRandom"
"5","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",6977,"directedRandom"
"6","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","CCRelationalExpressionOperatorE","NORMAL","false",7129,"directedRandom"
"7","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",6735,"directedRandom"
"8","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6827,"directedRandom"
"9","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6753,"directedRandom"
"10","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7220,"directedRandom"
"11","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7428,"directedRandom"
"12","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7011,"directedRandom"
"13","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7868,"directedRandom"
"14","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6701,"directedRandom"
"15","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7044,"directedRandom"
"16","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6743,"directedRandom"
"17","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6793,"directedRandom"
"18","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7061,"directedRandom"
"19","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7060,"directedRandom"
"20","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7035,"directedRandom"
"21","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7043,"directedRandom"
"22","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7044,"directedRandom"
"23","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7002,"directedRandom"
"24","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6985,"directedRandom"
"25","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7103,"directedRandom"
"26","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","DUPLICATE","true",7235,"directedRandom"
"27","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6735,"directedRandom"
"28","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7137,"directedRandom"
"29","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6860,"directedRandom"
"30","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7193,"directedRandom"
"31","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",8028,"directedRandom"
"32","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","DUPLICATE","true",6610,"directedRandom"
"33","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6876,"directedRandom"
"34","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6693,"directedRandom"
"35","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7161,"directedRandom"
"36","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7310,"directedRandom"
"37","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7052,"directedRandom"
"38","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6769,"directedRandom"
"39","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",6643,"directedRandom"
"40","jpvm7bfxuc4llbx7wcup","Postgres","BookTown","PKCColumnA","NORMAL","true",7260,"directedRandom"
