"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","iigihfcqtwqgeefwhfp7","SQLite","BookTown","CCNullifier","NORMAL","true",166,"directedRandom"
"2","iigihfcqtwqgeefwhfp7","SQLite","BookTown","CCNullifier","NORMAL","true",155,"directedRandom"
"3","iigihfcqtwqgeefwhfp7","SQLite","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",151,"directedRandom"
"4","iigihfcqtwqgeefwhfp7","SQLite","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",146,"directedRandom"
"5","iigihfcqtwqgeefwhfp7","SQLite","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",140,"directedRandom"
"6","iigihfcqtwqgeefwhfp7","SQLite","BookTown","CCRelationalExpressionOperatorE","NORMAL","false",142,"directedRandom"
"7","iigihfcqtwqgeefwhfp7","SQLite","BookTown","CCRelationalExpressionOperatorE","NORMAL","true",138,"directedRandom"
"8","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",141,"directedRandom"
"9","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",147,"directedRandom"
"10","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",144,"directedRandom"
"11","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",141,"directedRandom"
"12","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",141,"directedRandom"
"13","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",141,"directedRandom"
"14","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",139,"directedRandom"
"15","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",140,"directedRandom"
"16","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",139,"directedRandom"
"17","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",139,"directedRandom"
"18","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",136,"directedRandom"
"19","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",136,"directedRandom"
"20","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",135,"directedRandom"
"21","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",135,"directedRandom"
"22","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",135,"directedRandom"
"23","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",135,"directedRandom"
"24","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",140,"directedRandom"
"25","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",135,"directedRandom"
"26","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",137,"directedRandom"
"27","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",134,"directedRandom"
"28","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",137,"directedRandom"
"29","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",134,"directedRandom"
"30","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",135,"directedRandom"
"31","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","NORMAL","true",140,"directedRandom"
"32","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",136,"directedRandom"
"33","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",137,"directedRandom"
"34","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",136,"directedRandom"
"35","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",135,"directedRandom"
"36","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",137,"directedRandom"
"37","iigihfcqtwqgeefwhfp7","SQLite","BookTown","PKCColumnA","DUPLICATE","true",136,"directedRandom"
