"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCNullifier","NORMAL","true",44,"directedRandom"
"2","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCNullifier","NORMAL","true",32,"directedRandom"
"3","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",30,"directedRandom"
"4","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",28,"directedRandom"
"5","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",28,"directedRandom"
"6","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","false",27,"directedRandom"
"7","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"8","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"9","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"10","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",26,"directedRandom"
"11","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","false",25,"directedRandom"
"12","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",24,"directedRandom"
"13","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",20,"directedRandom"
"14","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",22,"directedRandom"
"15","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",23,"directedRandom"
"16","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",20,"directedRandom"
"17","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",33,"directedRandom"
"18","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"19","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"20","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","FKCColumnPairE","NORMAL","true",16,"directedRandom"
"21","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"22","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnA","NORMAL","true",17,"directedRandom"
"23","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnA","NORMAL","true",16,"directedRandom"
"24","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnA","NORMAL","true",15,"directedRandom"
"25","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnA","NORMAL","true",15,"directedRandom"
"26","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnA","NORMAL","true",15,"directedRandom"
"27","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnA","NORMAL","true",16,"directedRandom"
"28","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnA","NORMAL","true",15,"directedRandom"
"29","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnR","NORMAL","true",15,"directedRandom"
"30","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnE","NORMAL","true",14,"directedRandom"
"31","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnE","NORMAL","true",13,"directedRandom"
"32","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnE","NORMAL","true",20,"directedRandom"
"33","tba3byaqmsedawftg4cz","HyperSQL","BrowserCookies","PKCColumnE","NORMAL","true",14,"directedRandom"
