"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCNullifier","NORMAL","true",2464,"directedRandom"
"2","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCNullifier","NORMAL","true",2367,"directedRandom"
"3","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",2366,"directedRandom"
"4","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",2609,"directedRandom"
"5","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",2367,"directedRandom"
"6","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","false",2509,"directedRandom"
"7","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",2350,"directedRandom"
"8","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",2400,"directedRandom"
"9","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",2409,"directedRandom"
"10","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",2643,"directedRandom"
"11","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","false",2425,"directedRandom"
"12","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",2383,"directedRandom"
"13","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",2017,"directedRandom"
"14","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",2525,"directedRandom"
"15","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",2367,"directedRandom"
"16","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",1800,"directedRandom"
"17","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",1767,"directedRandom"
"18","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","FKCColumnPairE","NORMAL","true",1775,"directedRandom"
"19","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","FKCColumnPairE","NORMAL","true",1767,"directedRandom"
"20","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","FKCColumnPairE","NORMAL","true",2118,"directedRandom"
"21","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","FKCColumnPairE","NORMAL","true",1783,"directedRandom"
"22","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","PKCColumnA","NORMAL","true",2400,"directedRandom"
"23","fujtoclybcjhmrvrubx2","Postgres","BrowserCookies","PKCColumnA","NORMAL","true",2342,"directedRandom"
