"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCNullifier","NORMAL","true",29,"directedRandom"
"2","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCNullifier","NORMAL","true",25,"directedRandom"
"3","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",24,"directedRandom"
"4","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",24,"directedRandom"
"5","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",24,"directedRandom"
"6","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","false",23,"directedRandom"
"7","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",24,"directedRandom"
"8","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",23,"directedRandom"
"9","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",23,"directedRandom"
"10","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",23,"directedRandom"
"11","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","false",23,"directedRandom"
"12","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",23,"directedRandom"
"13","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",18,"directedRandom"
"14","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",22,"directedRandom"
"15","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","false",22,"directedRandom"
"16","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",18,"directedRandom"
"17","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","CCRelationalExpressionOperatorE","NORMAL","true",18,"directedRandom"
"18","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","FKCColumnPairR","IMPAIRED","true",11,"directedRandom"
"19","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","FKCColumnPairR","IMPAIRED","true",11,"directedRandom"
"20","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"21","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"22","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"23","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"24","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"25","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","FKCColumnPairE","NORMAL","true",40,"directedRandom"
"26","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","FKCColumnPairE","IMPAIRED","true",10,"directedRandom"
"27","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","FKCColumnPairE","IMPAIRED","true",10,"directedRandom"
"28","vfsx9z2qolhsdpdg9kh6","SQLite","BrowserCookies","FKCColumnPairE","IMPAIRED","true",10,"directedRandom"
