"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","PKCColumnA","NORMAL","true",31,"directedRandom"
"2","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","PKCColumnA","NORMAL","true",22,"directedRandom"
"3","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","PKCColumnA","NORMAL","true",19,"directedRandom"
"4","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","PKCColumnA","NORMAL","true",16,"directedRandom"
"5","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","PKCColumnA","NORMAL","true",30,"directedRandom"
"6","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","PKCColumnA","NORMAL","true",13,"directedRandom"
"7","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","PKCColumnA","NORMAL","true",13,"directedRandom"
"8","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","PKCColumnA","NORMAL","true",12,"directedRandom"
"9","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","PKCColumnA","NORMAL","true",13,"directedRandom"
"10","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","PKCColumnA","NORMAL","true",14,"directedRandom"
"11","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","NNCA","NORMAL","true",16,"directedRandom"
"12","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","NNCA","NORMAL","true",13,"directedRandom"
"13","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"14","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"15","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"16","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"17","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"18","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","NNCA","NORMAL","true",11,"directedRandom"
"19","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"20","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"21","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","UCColumnA","NORMAL","true",11,"directedRandom"
"22","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","UCColumnA","NORMAL","true",12,"directedRandom"
"23","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","UCColumnA","NORMAL","true",11,"directedRandom"
"24","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","UCColumnA","NORMAL","true",13,"directedRandom"
"25","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","UCColumnA","NORMAL","true",11,"directedRandom"
"26","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","UCColumnA","NORMAL","true",11,"directedRandom"
"27","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","UCColumnA","NORMAL","true",10,"directedRandom"
"28","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","UCColumnA","NORMAL","true",10,"directedRandom"
"29","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","UCColumnA","NORMAL","true",10,"directedRandom"
"30","cy20vi1shfqrg1jvjolw","HyperSQL","Cloc","UCColumnA","NORMAL","true",9,"directedRandom"
"31","agybizk0wpmw09mti12w","HyperSQL","Cloc","PKCColumnA","NORMAL","true",28,"directedRandom"
"32","agybizk0wpmw09mti12w","HyperSQL","Cloc","PKCColumnA","NORMAL","true",22,"directedRandom"
"33","agybizk0wpmw09mti12w","HyperSQL","Cloc","PKCColumnA","NORMAL","true",19,"directedRandom"
"34","agybizk0wpmw09mti12w","HyperSQL","Cloc","PKCColumnA","NORMAL","true",16,"directedRandom"
"35","agybizk0wpmw09mti12w","HyperSQL","Cloc","PKCColumnA","NORMAL","true",31,"directedRandom"
"36","agybizk0wpmw09mti12w","HyperSQL","Cloc","PKCColumnA","NORMAL","true",14,"directedRandom"
"37","agybizk0wpmw09mti12w","HyperSQL","Cloc","PKCColumnA","NORMAL","true",13,"directedRandom"
"38","agybizk0wpmw09mti12w","HyperSQL","Cloc","PKCColumnA","NORMAL","true",13,"directedRandom"
"39","agybizk0wpmw09mti12w","HyperSQL","Cloc","PKCColumnA","NORMAL","true",13,"directedRandom"
"40","agybizk0wpmw09mti12w","HyperSQL","Cloc","PKCColumnA","NORMAL","true",15,"directedRandom"
"41","agybizk0wpmw09mti12w","HyperSQL","Cloc","NNCA","NORMAL","true",15,"directedRandom"
"42","agybizk0wpmw09mti12w","HyperSQL","Cloc","NNCA","NORMAL","true",14,"directedRandom"
"43","agybizk0wpmw09mti12w","HyperSQL","Cloc","NNCA","NORMAL","true",13,"directedRandom"
"44","agybizk0wpmw09mti12w","HyperSQL","Cloc","NNCA","NORMAL","true",16,"directedRandom"
"45","agybizk0wpmw09mti12w","HyperSQL","Cloc","NNCA","NORMAL","true",16,"directedRandom"
"46","agybizk0wpmw09mti12w","HyperSQL","Cloc","NNCA","NORMAL","true",16,"directedRandom"
"47","agybizk0wpmw09mti12w","HyperSQL","Cloc","NNCA","NORMAL","true",14,"directedRandom"
"48","agybizk0wpmw09mti12w","HyperSQL","Cloc","NNCA","NORMAL","true",13,"directedRandom"
"49","agybizk0wpmw09mti12w","HyperSQL","Cloc","NNCA","NORMAL","true",11,"directedRandom"
"50","agybizk0wpmw09mti12w","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"51","agybizk0wpmw09mti12w","HyperSQL","Cloc","UCColumnA","NORMAL","true",12,"directedRandom"
"52","agybizk0wpmw09mti12w","HyperSQL","Cloc","UCColumnA","NORMAL","true",12,"directedRandom"
"53","agybizk0wpmw09mti12w","HyperSQL","Cloc","UCColumnA","NORMAL","true",12,"directedRandom"
"54","agybizk0wpmw09mti12w","HyperSQL","Cloc","UCColumnA","NORMAL","true",12,"directedRandom"
"55","agybizk0wpmw09mti12w","HyperSQL","Cloc","UCColumnA","NORMAL","true",12,"directedRandom"
"56","agybizk0wpmw09mti12w","HyperSQL","Cloc","UCColumnA","NORMAL","true",11,"directedRandom"
"57","agybizk0wpmw09mti12w","HyperSQL","Cloc","UCColumnA","NORMAL","true",11,"directedRandom"
"58","agybizk0wpmw09mti12w","HyperSQL","Cloc","UCColumnA","NORMAL","true",10,"directedRandom"
"59","agybizk0wpmw09mti12w","HyperSQL","Cloc","UCColumnA","NORMAL","true",11,"directedRandom"
"60","agybizk0wpmw09mti12w","HyperSQL","Cloc","UCColumnA","NORMAL","true",10,"directedRandom"
"61","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","PKCColumnA","NORMAL","true",31,"directedRandom"
"62","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","PKCColumnA","NORMAL","true",24,"directedRandom"
"63","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","PKCColumnA","NORMAL","true",18,"directedRandom"
"64","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","PKCColumnA","NORMAL","true",26,"directedRandom"
"65","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","PKCColumnA","NORMAL","true",15,"directedRandom"
"66","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","PKCColumnA","NORMAL","true",13,"directedRandom"
"67","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","PKCColumnA","NORMAL","true",13,"directedRandom"
"68","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","PKCColumnA","NORMAL","true",13,"directedRandom"
"69","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","PKCColumnA","NORMAL","true",12,"directedRandom"
"70","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","PKCColumnA","NORMAL","true",12,"directedRandom"
"71","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"72","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"73","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","NNCA","NORMAL","true",17,"directedRandom"
"74","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","NNCA","NORMAL","true",13,"directedRandom"
"75","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","NNCA","NORMAL","true",13,"directedRandom"
"76","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"77","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"78","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","NNCA","NORMAL","true",11,"directedRandom"
"79","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","NNCA","NORMAL","true",11,"directedRandom"
"80","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"81","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","UCColumnA","NORMAL","true",11,"directedRandom"
"82","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","UCColumnA","NORMAL","true",11,"directedRandom"
"83","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","UCColumnA","NORMAL","true",14,"directedRandom"
"84","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","UCColumnA","NORMAL","true",12,"directedRandom"
"85","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","UCColumnA","NORMAL","true",11,"directedRandom"
"86","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","UCColumnA","NORMAL","true",12,"directedRandom"
"87","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","UCColumnA","NORMAL","true",14,"directedRandom"
"88","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","UCColumnA","NORMAL","true",14,"directedRandom"
"89","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","UCColumnA","NORMAL","true",14,"directedRandom"
"90","v2sbk9abfopybc91sdbo","HyperSQL","Cloc","UCColumnA","NORMAL","true",10,"directedRandom"
"91","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","PKCColumnA","NORMAL","true",29,"directedRandom"
"92","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","PKCColumnA","NORMAL","true",21,"directedRandom"
"93","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","PKCColumnA","NORMAL","true",18,"directedRandom"
"94","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","PKCColumnA","NORMAL","true",16,"directedRandom"
"95","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","PKCColumnA","NORMAL","true",29,"directedRandom"
"96","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","PKCColumnA","NORMAL","true",13,"directedRandom"
"97","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","PKCColumnA","NORMAL","true",13,"directedRandom"
"98","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","PKCColumnA","NORMAL","true",12,"directedRandom"
"99","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","PKCColumnA","NORMAL","true",12,"directedRandom"
"100","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","PKCColumnA","NORMAL","true",12,"directedRandom"
"101","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","NNCA","NORMAL","true",15,"directedRandom"
"102","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","NNCA","NORMAL","true",14,"directedRandom"
"103","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","NNCA","NORMAL","true",13,"directedRandom"
"104","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","NNCA","NORMAL","true",13,"directedRandom"
"105","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","NNCA","NORMAL","true",13,"directedRandom"
"106","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","NNCA","NORMAL","true",13,"directedRandom"
"107","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","NNCA","NORMAL","true",13,"directedRandom"
"108","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"109","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
"110","dthdyli8rxk4h5johxbv","HyperSQL","Cloc","NNCA","NORMAL","true",12,"directedRandom"
