"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","PKCColumnA","NORMAL","true",973,"directedRandom"
"2","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","PKCColumnA","NORMAL","true",1067,"directedRandom"
"3","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","PKCColumnA","NORMAL","true",1058,"directedRandom"
"4","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","PKCColumnA","NORMAL","true",1016,"directedRandom"
"5","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","PKCColumnA","NORMAL","true",958,"directedRandom"
"6","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","PKCColumnA","NORMAL","true",967,"directedRandom"
"7","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","PKCColumnA","NORMAL","true",908,"directedRandom"
"8","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","PKCColumnA","NORMAL","true",1091,"directedRandom"
"9","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","PKCColumnA","NORMAL","true",974,"directedRandom"
"10","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","PKCColumnA","NORMAL","true",874,"directedRandom"
"11","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","NNCA","NORMAL","true",1891,"directedRandom"
"12","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","NNCA","NORMAL","true",1083,"directedRandom"
"13","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","NNCA","NORMAL","true",1016,"directedRandom"
"14","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","NNCA","NORMAL","true",1124,"directedRandom"
"15","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","NNCA","NORMAL","true",791,"directedRandom"
"16","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","NNCA","NORMAL","true",1016,"directedRandom"
"17","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","NNCA","NORMAL","true",866,"directedRandom"
"18","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","NNCA","NORMAL","true",974,"directedRandom"
"19","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","NNCA","NORMAL","true",966,"directedRandom"
"20","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","NNCA","NORMAL","true",824,"directedRandom"
"21","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","UCColumnA","NORMAL","true",1091,"directedRandom"
"22","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","UCColumnA","NORMAL","true",975,"directedRandom"
"23","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","UCColumnA","NORMAL","true",1025,"directedRandom"
"24","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","UCColumnA","NORMAL","true",1017,"directedRandom"
"25","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","UCColumnA","NORMAL","true",908,"directedRandom"
"26","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","UCColumnA","NORMAL","true",1016,"directedRandom"
"27","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","UCColumnA","NORMAL","true",966,"directedRandom"
"28","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","UCColumnA","NORMAL","true",916,"directedRandom"
"29","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","UCColumnA","NORMAL","true",1091,"directedRandom"
"30","fqdbxtjjbcbxf3unc7jo","Postgres","Cloc","UCColumnA","NORMAL","true",916,"directedRandom"
"31","y2ukmyidhyrswahjcmhk","Postgres","Cloc","PKCColumnA","NORMAL","true",1048,"directedRandom"
"32","y2ukmyidhyrswahjcmhk","Postgres","Cloc","PKCColumnA","NORMAL","true",892,"directedRandom"
"33","y2ukmyidhyrswahjcmhk","Postgres","Cloc","PKCColumnA","NORMAL","true",1041,"directedRandom"
"34","y2ukmyidhyrswahjcmhk","Postgres","Cloc","PKCColumnA","NORMAL","true",883,"directedRandom"
"35","y2ukmyidhyrswahjcmhk","Postgres","Cloc","PKCColumnA","NORMAL","true",875,"directedRandom"
"36","y2ukmyidhyrswahjcmhk","Postgres","Cloc","PKCColumnA","NORMAL","true",975,"directedRandom"
"37","y2ukmyidhyrswahjcmhk","Postgres","Cloc","PKCColumnA","NORMAL","true",874,"directedRandom"
"38","y2ukmyidhyrswahjcmhk","Postgres","Cloc","PKCColumnA","NORMAL","true",1000,"directedRandom"
"39","y2ukmyidhyrswahjcmhk","Postgres","Cloc","PKCColumnA","NORMAL","true",891,"directedRandom"
"40","y2ukmyidhyrswahjcmhk","Postgres","Cloc","PKCColumnA","NORMAL","true",858,"directedRandom"
"41","y2ukmyidhyrswahjcmhk","Postgres","Cloc","NNCA","NORMAL","true",974,"directedRandom"
"42","y2ukmyidhyrswahjcmhk","Postgres","Cloc","NNCA","NORMAL","true",841,"directedRandom"
"43","y2ukmyidhyrswahjcmhk","Postgres","Cloc","NNCA","NORMAL","true",974,"directedRandom"
"44","y2ukmyidhyrswahjcmhk","Postgres","Cloc","NNCA","NORMAL","true",883,"directedRandom"
"45","y2ukmyidhyrswahjcmhk","Postgres","Cloc","NNCA","NORMAL","true",858,"directedRandom"
"46","y2ukmyidhyrswahjcmhk","Postgres","Cloc","NNCA","NORMAL","true",900,"directedRandom"
"47","y2ukmyidhyrswahjcmhk","Postgres","Cloc","NNCA","NORMAL","true",858,"directedRandom"
"48","y2ukmyidhyrswahjcmhk","Postgres","Cloc","NNCA","NORMAL","true",891,"directedRandom"
"49","y2ukmyidhyrswahjcmhk","Postgres","Cloc","NNCA","NORMAL","true",974,"directedRandom"
"50","y2ukmyidhyrswahjcmhk","Postgres","Cloc","NNCA","NORMAL","true",824,"directedRandom"
"51","y2ukmyidhyrswahjcmhk","Postgres","Cloc","UCColumnA","NORMAL","true",1025,"directedRandom"
"52","y2ukmyidhyrswahjcmhk","Postgres","Cloc","UCColumnA","NORMAL","true",975,"directedRandom"
"53","y2ukmyidhyrswahjcmhk","Postgres","Cloc","UCColumnA","NORMAL","true",1008,"directedRandom"
