"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","ariwud5mvwdc89qhpq7x","SQLite","Cloc","PKCColumnA","DUPLICATE","true",14,"directedRandom"
"2","ariwud5mvwdc89qhpq7x","SQLite","Cloc","PKCColumnA","DUPLICATE","true",13,"directedRandom"
"3","ariwud5mvwdc89qhpq7x","SQLite","Cloc","PKCColumnA","DUPLICATE","true",9,"directedRandom"
"4","ariwud5mvwdc89qhpq7x","SQLite","Cloc","PKCColumnA","DUPLICATE","true",9,"directedRandom"
"5","ariwud5mvwdc89qhpq7x","SQLite","Cloc","PKCColumnA","DUPLICATE","true",8,"directedRandom"
"6","ariwud5mvwdc89qhpq7x","SQLite","Cloc","PKCColumnA","DUPLICATE","true",8,"directedRandom"
"7","ariwud5mvwdc89qhpq7x","SQLite","Cloc","PKCColumnA","DUPLICATE","true",9,"directedRandom"
"8","ariwud5mvwdc89qhpq7x","SQLite","Cloc","PKCColumnA","DUPLICATE","true",8,"directedRandom"
"9","ariwud5mvwdc89qhpq7x","SQLite","Cloc","PKCColumnA","DUPLICATE","true",8,"directedRandom"
"10","ariwud5mvwdc89qhpq7x","SQLite","Cloc","PKCColumnA","DUPLICATE","true",8,"directedRandom"
"11","ariwud5mvwdc89qhpq7x","SQLite","Cloc","NNCA","NORMAL","true",8,"directedRandom"
"12","ariwud5mvwdc89qhpq7x","SQLite","Cloc","NNCA","NORMAL","true",8,"directedRandom"
"13","ariwud5mvwdc89qhpq7x","SQLite","Cloc","NNCA","NORMAL","true",8,"directedRandom"
"14","ariwud5mvwdc89qhpq7x","SQLite","Cloc","NNCA","NORMAL","true",8,"directedRandom"
"15","ariwud5mvwdc89qhpq7x","SQLite","Cloc","NNCA","NORMAL","true",7,"directedRandom"
"16","ariwud5mvwdc89qhpq7x","SQLite","Cloc","NNCA","NORMAL","true",7,"directedRandom"
"17","ariwud5mvwdc89qhpq7x","SQLite","Cloc","NNCA","NORMAL","true",7,"directedRandom"
"18","ariwud5mvwdc89qhpq7x","SQLite","Cloc","NNCA","NORMAL","true",8,"directedRandom"
"19","ariwud5mvwdc89qhpq7x","SQLite","Cloc","NNCA","NORMAL","true",7,"directedRandom"
"20","ariwud5mvwdc89qhpq7x","SQLite","Cloc","NNCA","NORMAL","true",7,"directedRandom"
"21","ariwud5mvwdc89qhpq7x","SQLite","Cloc","UCColumnA","NORMAL","true",10,"directedRandom"
"22","ariwud5mvwdc89qhpq7x","SQLite","Cloc","UCColumnA","NORMAL","true",9,"directedRandom"
"23","ariwud5mvwdc89qhpq7x","SQLite","Cloc","UCColumnA","NORMAL","true",10,"directedRandom"
"24","ariwud5mvwdc89qhpq7x","SQLite","Cloc","UCColumnA","NORMAL","true",13,"directedRandom"
"25","ariwud5mvwdc89qhpq7x","SQLite","Cloc","UCColumnA","NORMAL","true",12,"directedRandom"
"26","ariwud5mvwdc89qhpq7x","SQLite","Cloc","UCColumnA","NORMAL","true",7,"directedRandom"
"27","ariwud5mvwdc89qhpq7x","SQLite","Cloc","UCColumnA","NORMAL","true",7,"directedRandom"
"28","ariwud5mvwdc89qhpq7x","SQLite","Cloc","UCColumnA","NORMAL","true",7,"directedRandom"
"29","ariwud5mvwdc89qhpq7x","SQLite","Cloc","UCColumnA","NORMAL","true",9,"directedRandom"
"30","ariwud5mvwdc89qhpq7x","SQLite","Cloc","UCColumnA","NORMAL","true",7,"directedRandom"
"31","r2mwybyvi5vsajrwa0ch","SQLite","Cloc","PKCColumnA","DUPLICATE","true",15,"directedRandom"
"32","r2mwybyvi5vsajrwa0ch","SQLite","Cloc","PKCColumnA","DUPLICATE","true",11,"directedRandom"
"33","r2mwybyvi5vsajrwa0ch","SQLite","Cloc","PKCColumnA","DUPLICATE","true",11,"directedRandom"
