"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairR","NORMAL","true",62,"directedRandom"
"2","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairR","NORMAL","true",51,"directedRandom"
"3","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairR","NORMAL","true",50,"directedRandom"
"4","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairR","NORMAL","true",48,"directedRandom"
"5","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",41,"directedRandom"
"6","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",42,"directedRandom"
"7","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",51,"directedRandom"
"8","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",47,"directedRandom"
"9","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",52,"directedRandom"
"10","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",50,"directedRandom"
"11","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",39,"directedRandom"
"12","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",28,"directedRandom"
"13","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",44,"directedRandom"
"14","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",24,"directedRandom"
"15","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","PKCColumnA","NORMAL","true",24,"directedRandom"
"16","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","PKCColumnA","NORMAL","true",24,"directedRandom"
"17","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","PKCColumnA","NORMAL","true",24,"directedRandom"
"18","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","PKCColumnR","NORMAL","true",39,"directedRandom"
"19","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","PKCColumnE","NORMAL","true",28,"directedRandom"
"20","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","PKCColumnE","NORMAL","true",26,"directedRandom"
"21","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","PKCColumnE","NORMAL","true",28,"directedRandom"
"22","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCA","EQUIVALENT","false",28,"directedRandom"
"23","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCA","EQUIVALENT","false",22,"directedRandom"
"24","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCA","EQUIVALENT","false",27,"directedRandom"
"25","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCA","EQUIVALENT","false",27,"directedRandom"
"26","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCA","NORMAL","true",26,"directedRandom"
"27","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCA","NORMAL","true",23,"directedRandom"
"28","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCA","EQUIVALENT","false",23,"directedRandom"
"29","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCA","NORMAL","true",55,"directedRandom"
"30","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCA","NORMAL","true",26,"directedRandom"
"31","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCA","NORMAL","true",26,"directedRandom"
"32","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCR","NORMAL","true",19,"directedRandom"
"33","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCR","NORMAL","true",19,"directedRandom"
"34","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCR","NORMAL","true",25,"directedRandom"
"35","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCR","NORMAL","true",24,"directedRandom"
"36","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCR","NORMAL","true",25,"directedRandom"
"37","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCR","NORMAL","true",24,"directedRandom"
"38","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCR","NORMAL","true",20,"directedRandom"
"39","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCR","NORMAL","true",14,"directedRandom"
"40","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCR","NORMAL","true",14,"directedRandom"
"41","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","NNCR","NORMAL","true",14,"directedRandom"
"42","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",16,"directedRandom"
"43","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",16,"directedRandom"
"44","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",16,"directedRandom"
"45","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",16,"directedRandom"
"46","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",15,"directedRandom"
"47","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",16,"directedRandom"
"48","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",15,"directedRandom"
"49","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",15,"directedRandom"
"50","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",15,"directedRandom"
"51","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",15,"directedRandom"
"52","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",14,"directedRandom"
"53","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",14,"directedRandom"
"54","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",14,"directedRandom"
"55","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",14,"directedRandom"
"56","lp0zbjsu1rr4cii05mab","HyperSQL","CoffeeOrders","UCColumnA","NORMAL","true",14,"directedRandom"
"57","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairR","NORMAL","true",61,"directedRandom"
"58","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairR","NORMAL","true",50,"directedRandom"
"59","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairR","NORMAL","true",49,"directedRandom"
"60","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairR","NORMAL","true",54,"directedRandom"
"61","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",39,"directedRandom"
"62","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",50,"directedRandom"
"63","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",37,"directedRandom"
"64","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",40,"directedRandom"
"65","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",37,"directedRandom"
"66","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",38,"directedRandom"
"67","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",33,"directedRandom"
"68","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",31,"directedRandom"
"69","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",40,"directedRandom"
"70","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","FKCColumnPairE","NORMAL","true",27,"directedRandom"
"71","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","PKCColumnA","NORMAL","true",31,"directedRandom"
"72","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","PKCColumnA","NORMAL","true",30,"directedRandom"
"73","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","PKCColumnA","NORMAL","true",35,"directedRandom"
"74","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","PKCColumnR","NORMAL","true",28,"directedRandom"
"75","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","PKCColumnE","NORMAL","true",28,"directedRandom"
"76","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","PKCColumnE","NORMAL","true",27,"directedRandom"
"77","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","PKCColumnE","NORMAL","true",33,"directedRandom"
"78","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","NNCA","EQUIVALENT","false",32,"directedRandom"
"79","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","NNCA","EQUIVALENT","false",31,"directedRandom"
"80","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","NNCA","EQUIVALENT","false",20,"directedRandom"
"81","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","NNCA","EQUIVALENT","false",26,"directedRandom"
"82","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","NNCA","NORMAL","true",22,"directedRandom"
"83","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","NNCA","NORMAL","true",17,"directedRandom"
"84","y4aoa3tlhdp3jjmf1rkg","HyperSQL","CoffeeOrders","NNCA","EQUIVALENT","false",25,"directedRandom"
