"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairR","NORMAL","true",2955,"directedRandom"
"2","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairR","NORMAL","true",3150,"directedRandom"
"3","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairR","NORMAL","true",3075,"directedRandom"
"4","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairR","NORMAL","true",3260,"directedRandom"
"5","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairE","NORMAL","true",2358,"directedRandom"
"6","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairE","NORMAL","true",2450,"directedRandom"
"7","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairE","NORMAL","true",2359,"directedRandom"
"8","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairE","NORMAL","true",2342,"directedRandom"
"9","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairE","NORMAL","true",2892,"directedRandom"
"10","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairE","NORMAL","true",3159,"directedRandom"
"11","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairE","NORMAL","true",2810,"directedRandom"
"12","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairE","NORMAL","true",2734,"directedRandom"
"13","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairE","NORMAL","true",2767,"directedRandom"
"14","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","FKCColumnPairE","NORMAL","true",2742,"directedRandom"
"15","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","PKCColumnA","NORMAL","true",2834,"directedRandom"
"16","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","PKCColumnA","NORMAL","true",2909,"directedRandom"
"17","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","PKCColumnA","NORMAL","true",3168,"directedRandom"
"18","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","PKCColumnR","NORMAL","true",3025,"directedRandom"
"19","sqprwsc0ghezbci9xjee","Postgres","CoffeeOrders","PKCColumnE","NORMAL","true",2892,"directedRandom"
