"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairR","NORMAL","true",49,"directedRandom"
"2","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairR","NORMAL","true",42,"directedRandom"
"3","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairR","NORMAL","true",41,"directedRandom"
"4","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairR","NORMAL","true",41,"directedRandom"
"5","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","NORMAL","true",36,"directedRandom"
"6","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","IMPAIRED","true",18,"directedRandom"
"7","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","IMPAIRED","true",17,"directedRandom"
"8","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","IMPAIRED","true",17,"directedRandom"
"9","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","IMPAIRED","true",17,"directedRandom"
"10","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","IMPAIRED","true",17,"directedRandom"
"11","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","NORMAL","true",33,"directedRandom"
"12","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","NORMAL","true",33,"directedRandom"
"13","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","NORMAL","true",32,"directedRandom"
"14","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"15","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","IMPAIRED","true",17,"directedRandom"
"16","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"17","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","NORMAL","true",77,"directedRandom"
"18","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","IMPAIRED","true",15,"directedRandom"
"19","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","IMPAIRED","true",15,"directedRandom"
"20","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","NORMAL","true",35,"directedRandom"
"21","j7qqh0rcxd1bt34y0jbn","SQLite","CoffeeOrders","FKCColumnPairE","NORMAL","true",35,"directedRandom"
