"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","CCNullifier","NORMAL","true",5475,"directedRandom"
"2","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","CCInExpressionRHSListExpressionElementR","NORMAL","true",3444,"directedRandom"
"3","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","CCInExpressionRHSListExpressionElementR","NORMAL","true",5726,"directedRandom"
"4","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairR","NORMAL","true",5335,"directedRandom"
"5","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairR","NORMAL","true",5402,"directedRandom"
"6","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairR","NORMAL","true",5420,"directedRandom"
"7","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairR","NORMAL","true",5485,"directedRandom"
"8","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairR","NORMAL","true",5427,"directedRandom"
"9","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairR","NORMAL","true",5311,"directedRandom"
"10","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairR","NORMAL","true",5568,"directedRandom"
"11","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",5627,"directedRandom"
"12","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",3226,"directedRandom"
"13","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",4303,"directedRandom"
"14","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",5385,"directedRandom"
"15","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",4189,"directedRandom"
"16","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",3902,"directedRandom"
"17","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",4251,"directedRandom"
"18","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",3726,"directedRandom"
"19","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",3401,"directedRandom"
"20","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",3569,"directedRandom"
"21","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",4826,"directedRandom"
"22","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",5318,"directedRandom"
"23","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","FKCColumnPairE","NORMAL","true",5293,"directedRandom"
"24","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","PKCColumnA","NORMAL","false",5753,"directedRandom"
"25","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","PKCColumnA","NORMAL","true",5535,"directedRandom"
"26","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","PKCColumnA","NORMAL","false",5535,"directedRandom"
"27","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","PKCColumnA","NORMAL","true",5761,"directedRandom"
"28","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","PKCColumnR","NORMAL","true",5260,"directedRandom"
"29","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","PKCColumnE","NORMAL","true",5401,"directedRandom"
"30","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","PKCColumnE","NORMAL","true",5451,"directedRandom"
"31","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","PKCColumnE","NORMAL","true",5553,"directedRandom"
"32","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","PKCColumnE","NORMAL","true",5485,"directedRandom"
"33","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCA","NORMAL","true",5351,"directedRandom"
"34","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCA","NORMAL","true",5326,"directedRandom"
"35","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCA","NORMAL","true",5778,"directedRandom"
"36","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCA","NORMAL","true",5802,"directedRandom"
"37","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCA","NORMAL","true",6268,"directedRandom"
"38","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","EQUIVALENT","false",5536,"directedRandom"
"39","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5368,"directedRandom"
"40","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","EQUIVALENT","false",5368,"directedRandom"
"41","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5453,"directedRandom"
"42","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5460,"directedRandom"
"43","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5610,"directedRandom"
"44","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5510,"directedRandom"
"45","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","EQUIVALENT","false",5570,"directedRandom"
"46","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","EQUIVALENT","false",5410,"directedRandom"
"47","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5430,"directedRandom"
"48","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5595,"directedRandom"
"49","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5602,"directedRandom"
"50","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5826,"directedRandom"
"51","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5343,"directedRandom"
"52","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","EQUIVALENT","false",5303,"directedRandom"
"53","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5385,"directedRandom"
"54","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5460,"directedRandom"
"55","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5570,"directedRandom"
"56","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","EQUIVALENT","false",5801,"directedRandom"
"57","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5477,"directedRandom"
"58","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5610,"directedRandom"
"59","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5695,"directedRandom"
"60","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","EQUIVALENT","false",5243,"directedRandom"
"61","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5460,"directedRandom"
"62","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5853,"directedRandom"
"63","p51vcoo87o0kgif07xrk","Postgres","CustomerOrder","NNCR","NORMAL","true",5444,"directedRandom"
