"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","CCNullifier","NORMAL","true",100,"directedRandom"
"2","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","CCInExpressionRHSListExpressionElementR","NORMAL","true",60,"directedRandom"
"3","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","CCInExpressionRHSListExpressionElementR","NORMAL","true",80,"directedRandom"
"4","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairR","NORMAL","true",78,"directedRandom"
"5","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairR","NORMAL","true",80,"directedRandom"
"6","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairR","NORMAL","true",80,"directedRandom"
"7","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairR","NORMAL","true",74,"directedRandom"
"8","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairR","NORMAL","true",75,"directedRandom"
"9","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairR","NORMAL","true",73,"directedRandom"
"10","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairR","NORMAL","true",72,"directedRandom"
"11","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",82,"directedRandom"
"12","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",54,"directedRandom"
"13","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",37,"directedRandom"
"14","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",37,"directedRandom"
"15","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",57,"directedRandom"
"16","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",57,"directedRandom"
"17","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",35,"directedRandom"
"18","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",36,"directedRandom"
"19","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",57,"directedRandom"
"20","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",57,"directedRandom"
"21","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",57,"directedRandom"
"22","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",56,"directedRandom"
"23","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",44,"directedRandom"
"24","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",44,"directedRandom"
"25","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",44,"directedRandom"
"26","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",44,"directedRandom"
"27","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",44,"directedRandom"
"28","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",21,"directedRandom"
"29","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",21,"directedRandom"
"30","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",21,"directedRandom"
"31","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",21,"directedRandom"
"32","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",21,"directedRandom"
"33","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",57,"directedRandom"
"34","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",56,"directedRandom"
"35","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",55,"directedRandom"
"36","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",51,"directedRandom"
"37","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",51,"directedRandom"
"38","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",58,"directedRandom"
"39","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",18,"directedRandom"
"40","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",89,"directedRandom"
"41","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",22,"directedRandom"
"42","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",23,"directedRandom"
"43","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",25,"directedRandom"
"44","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",65,"directedRandom"
"45","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",65,"directedRandom"
"46","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",69,"directedRandom"
"47","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",19,"directedRandom"
"48","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",18,"directedRandom"
"49","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",24,"directedRandom"
"50","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"51","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"52","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"53","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",68,"directedRandom"
"54","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",62,"directedRandom"
"55","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",61,"directedRandom"
"56","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"57","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"58","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"59","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"60","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"61","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"62","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","FKCColumnPairE","NORMAL","true",60,"directedRandom"
"63","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","PKCColumnA","IMPAIRED","true",30,"directedRandom"
"64","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","PKCColumnA","IMPAIRED","true",30,"directedRandom"
"65","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","PKCColumnA","IMPAIRED","true",16,"directedRandom"
"66","m0gthzodzbib0bfp9ycc","SQLite","CustomerOrder","PKCColumnA","IMPAIRED","true",16,"directedRandom"
