"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",136,"directedRandom"
"2","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",88,"directedRandom"
"3","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",69,"directedRandom"
"4","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",81,"directedRandom"
"5","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",70,"directedRandom"
"6","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",66,"directedRandom"
"7","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",62,"directedRandom"
"8","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",47,"directedRandom"
"9","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",47,"directedRandom"
"10","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",47,"directedRandom"
"11","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"12","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",43,"directedRandom"
"13","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",42,"directedRandom"
"14","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",43,"directedRandom"
"15","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"16","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",40,"directedRandom"
"17","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",40,"directedRandom"
"18","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",40,"directedRandom"
"19","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"20","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"21","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"22","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",40,"directedRandom"
"23","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",40,"directedRandom"
"24","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",39,"directedRandom"
"25","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",39,"directedRandom"
"26","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",40,"directedRandom"
"27","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",66,"directedRandom"
"28","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",38,"directedRandom"
"29","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",37,"directedRandom"
"30","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",36,"directedRandom"
"31","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",36,"directedRandom"
"32","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",36,"directedRandom"
"33","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",37,"directedRandom"
"34","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"35","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",35,"directedRandom"
"36","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",35,"directedRandom"
"37","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",35,"directedRandom"
"38","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",35,"directedRandom"
"39","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",35,"directedRandom"
"40","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"41","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",34,"directedRandom"
"42","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",35,"directedRandom"
"43","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",34,"directedRandom"
"44","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",34,"directedRandom"
"45","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",34,"directedRandom"
"46","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",34,"directedRandom"
"47","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",34,"directedRandom"
"48","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"49","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","DUPLICATE","true",34,"directedRandom"
"50","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",34,"directedRandom"
"51","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",34,"directedRandom"
"52","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","PKCColumnA","NORMAL","true",34,"directedRandom"
"53","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",34,"directedRandom"
"54","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",34,"directedRandom"
"55","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",33,"directedRandom"
"56","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",34,"directedRandom"
"57","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",33,"directedRandom"
"58","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",34,"directedRandom"
"59","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",33,"directedRandom"
"60","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",33,"directedRandom"
"61","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",33,"directedRandom"
"62","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",34,"directedRandom"
"63","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",33,"directedRandom"
"64","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",33,"directedRandom"
"65","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCA","NORMAL","true",34,"directedRandom"
"66","l1z2iyhatcub9j6gvhto","HyperSQL","DellStore","NNCR","NORMAL","true",33,"directedRandom"
