"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3713,"directedRandom"
"2","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3933,"directedRandom"
"3","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3817,"directedRandom"
"4","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3734,"directedRandom"
"5","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3760,"directedRandom"
"6","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3751,"directedRandom"
"7","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3843,"directedRandom"
"8","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3708,"directedRandom"
"9","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3759,"directedRandom"
"10","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","NORMAL","true",3592,"directedRandom"
"11","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3693,"directedRandom"
"12","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","NORMAL","true",3984,"directedRandom"
"13","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","NORMAL","true",3600,"directedRandom"
"14","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3802,"directedRandom"
"15","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3601,"directedRandom"
"16","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","NORMAL","true",3700,"directedRandom"
"17","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","NORMAL","true",3625,"directedRandom"
"18","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3675,"directedRandom"
"19","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3733,"directedRandom"
"20","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3934,"directedRandom"
"21","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3985,"directedRandom"
"22","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3817,"directedRandom"
"23","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","NORMAL","true",3692,"directedRandom"
"24","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","NORMAL","true",3767,"directedRandom"
"25","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","NORMAL","true",3659,"directedRandom"
"26","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3834,"directedRandom"
"27","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3876,"directedRandom"
"28","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3852,"directedRandom"
"29","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",3717,"directedRandom"
"30","nqjj3ap9sbhibbzayp3r","Postgres","DellStore","PKCColumnA","DUPLICATE","true",4092,"directedRandom"
