"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",73,"directedRandom"
"2","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",61,"directedRandom"
"3","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",59,"directedRandom"
"4","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",56,"directedRandom"
"5","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",57,"directedRandom"
"6","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",56,"directedRandom"
"7","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",56,"directedRandom"
"8","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",54,"directedRandom"
"9","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",53,"directedRandom"
"10","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",53,"directedRandom"
"11","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",52,"directedRandom"
"12","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",53,"directedRandom"
"13","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",52,"directedRandom"
"14","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",53,"directedRandom"
"15","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",51,"directedRandom"
"16","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",50,"directedRandom"
"17","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",50,"directedRandom"
"18","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",50,"directedRandom"
"19","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",50,"directedRandom"
"20","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",50,"directedRandom"
"21","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",50,"directedRandom"
"22","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",49,"directedRandom"
"23","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",49,"directedRandom"
"24","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",49,"directedRandom"
"25","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",49,"directedRandom"
"26","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",48,"directedRandom"
"27","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",48,"directedRandom"
"28","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",49,"directedRandom"
"29","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",49,"directedRandom"
"30","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",48,"directedRandom"
"31","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",48,"directedRandom"
"32","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",48,"directedRandom"
"33","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",49,"directedRandom"
"34","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",48,"directedRandom"
"35","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",47,"directedRandom"
"36","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",47,"directedRandom"
"37","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",295,"directedRandom"
"38","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",49,"directedRandom"
"39","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",47,"directedRandom"
"40","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",48,"directedRandom"
"41","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",47,"directedRandom"
"42","6nxpuaz9rp5o1loxjjyo","SQLite","DellStore","PKCColumnA","DUPLICATE","true",47,"directedRandom"
