"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCNullifier","NORMAL","true",22,"directedRandom"
"2","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCNullifier","NORMAL","true",20,"directedRandom"
"3","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCNullifier","NORMAL","true",19,"directedRandom"
"4","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"5","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"6","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",11,"directedRandom"
"7","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",14,"directedRandom"
"8","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"9","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"10","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",9,"directedRandom"
"11","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"12","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","false",9,"directedRandom"
"13","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",7,"directedRandom"
"14","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",9,"directedRandom"
"15","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",7,"directedRandom"
"16","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"17","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"18","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"19","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","PKCColumnA","NORMAL","true",9,"directedRandom"
"20","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","PKCColumnA","NORMAL","true",8,"directedRandom"
"21","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","PKCColumnA","NORMAL","true",8,"directedRandom"
"22","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","PKCColumnA","NORMAL","true",8,"directedRandom"
"23","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","PKCColumnA","NORMAL","true",9,"directedRandom"
"24","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","PKCColumnA","NORMAL","true",8,"directedRandom"
"25","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","PKCColumnR","NORMAL","true",8,"directedRandom"
"26","zjqfhk7xiyhhfat5ezfv","HyperSQL","Employee","PKCColumnE","NORMAL","true",7,"directedRandom"
