"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCNullifier","NORMAL","true",750,"directedRandom"
"2","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCNullifier","NORMAL","true",817,"directedRandom"
"3","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCNullifier","NORMAL","true",725,"directedRandom"
"4","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",175,"directedRandom"
"5","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",691,"directedRandom"
"6","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",675,"directedRandom"
"7","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",116,"directedRandom"
"8","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",174,"directedRandom"
"9","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",566,"directedRandom"
"10","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",733,"directedRandom"
"11","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",341,"directedRandom"
"12","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","false",825,"directedRandom"
"13","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",349,"directedRandom"
"14","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",666,"directedRandom"
"15","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",341,"directedRandom"
"16","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",308,"directedRandom"
"17","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",449,"directedRandom"
"18","tqlffxpy9lkmds7gxnzg","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",791,"directedRandom"
"19","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnA","NORMAL","true",666,"directedRandom"
"20","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnA","NORMAL","true",674,"directedRandom"
"21","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnA","NORMAL","true",508,"directedRandom"
"22","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnA","NORMAL","true",825,"directedRandom"
"23","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnA","NORMAL","true",658,"directedRandom"
"24","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnA","NORMAL","true",758,"directedRandom"
"25","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnR","NORMAL","true",874,"directedRandom"
"26","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnE","NORMAL","true",691,"directedRandom"
"27","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnE","NORMAL","true",674,"directedRandom"
"28","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnE","NORMAL","true",399,"directedRandom"
"29","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnE","NORMAL","true",749,"directedRandom"
"30","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnE","NORMAL","true",867,"directedRandom"
"31","tqlffxpy9lkmds7gxnzg","Postgres","Employee","PKCColumnE","NORMAL","true",725,"directedRandom"
"32","tqlffxpy9lkmds7gxnzg","Postgres","Employee","NNCA","EQUIVALENT","false",808,"directedRandom"
"33","tqlffxpy9lkmds7gxnzg","Postgres","Employee","NNCA","NORMAL","true",716,"directedRandom"
"34","tqlffxpy9lkmds7gxnzg","Postgres","Employee","NNCA","NORMAL","true",725,"directedRandom"
"35","tqlffxpy9lkmds7gxnzg","Postgres","Employee","NNCA","NORMAL","true",408,"directedRandom"
"36","tqlffxpy9lkmds7gxnzg","Postgres","Employee","NNCA","NORMAL","true",808,"directedRandom"
"37","tqlffxpy9lkmds7gxnzg","Postgres","Employee","NNCA","NORMAL","true",750,"directedRandom"
"38","tqlffxpy9lkmds7gxnzg","Postgres","Employee","NNCA","NORMAL","true",849,"directedRandom"
"39","tqlffxpy9lkmds7gxnzg","Postgres","Employee","UCColumnA","EQUIVALENT","false",758,"directedRandom"
"40","tqlffxpy9lkmds7gxnzg","Postgres","Employee","UCColumnA","NORMAL","true",867,"directedRandom"
"41","tqlffxpy9lkmds7gxnzg","Postgres","Employee","UCColumnA","NORMAL","true",749,"directedRandom"
"42","tqlffxpy9lkmds7gxnzg","Postgres","Employee","UCColumnA","NORMAL","true",741,"directedRandom"
"43","tqlffxpy9lkmds7gxnzg","Postgres","Employee","UCColumnA","NORMAL","true",900,"directedRandom"
"44","tqlffxpy9lkmds7gxnzg","Postgres","Employee","UCColumnA","NORMAL","true",741,"directedRandom"
"45","tqlffxpy9lkmds7gxnzg","Postgres","Employee","UCColumnA","NORMAL","true",808,"directedRandom"
"46","8a1qodyiew6ofutka5rz","Postgres","Employee","CCNullifier","NORMAL","true",765,"directedRandom"
"47","8a1qodyiew6ofutka5rz","Postgres","Employee","CCNullifier","NORMAL","true",717,"directedRandom"
"48","8a1qodyiew6ofutka5rz","Postgres","Employee","CCNullifier","NORMAL","true",841,"directedRandom"
"49","8a1qodyiew6ofutka5rz","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",241,"directedRandom"
"50","8a1qodyiew6ofutka5rz","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",633,"directedRandom"
"51","8a1qodyiew6ofutka5rz","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",616,"directedRandom"
"52","8a1qodyiew6ofutka5rz","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",124,"directedRandom"
"53","8a1qodyiew6ofutka5rz","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",200,"directedRandom"
"54","8a1qodyiew6ofutka5rz","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",324,"directedRandom"
"55","8a1qodyiew6ofutka5rz","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","false",783,"directedRandom"
"56","8a1qodyiew6ofutka5rz","Postgres","Employee","CCRelationalExpressionOperatorE","NORMAL","true",332,"directedRandom"
