"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCNullifier","NORMAL","true",10,"directedRandom"
"2","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCNullifier","NORMAL","true",9,"directedRandom"
"3","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCNullifier","NORMAL","true",8,"directedRandom"
"4","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"5","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",7,"directedRandom"
"6","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",7,"directedRandom"
"7","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"8","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"9","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"10","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",7,"directedRandom"
"11","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"12","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","false",6,"directedRandom"
"13","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"14","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",7,"directedRandom"
"15","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",5,"directedRandom"
"16","ck3oefhbqzqfjp3w4d30","SQLite","Employee","CCRelationalExpressionOperatorE","NORMAL","true",16,"directedRandom"
