"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCNullifier","NORMAL","true",66,"directedRandom"
"2","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCNullifier","NORMAL","true",58,"directedRandom"
"3","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCNullifier","NORMAL","true",55,"directedRandom"
"4","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCNullifier","NORMAL","true",52,"directedRandom"
"5","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCNullifier","NORMAL","true",47,"directedRandom"
"6","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCNullifier","NORMAL","true",46,"directedRandom"
"7","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",55,"directedRandom"
"8","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",34,"directedRandom"
"9","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",32,"directedRandom"
"10","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",55,"directedRandom"
"11","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",55,"directedRandom"
"12","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",26,"directedRandom"
"13","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",37,"directedRandom"
"14","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",21,"directedRandom"
"15","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",36,"directedRandom"
"16","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",20,"directedRandom"
"17","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",28,"directedRandom"
"18","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",30,"directedRandom"
"19","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",30,"directedRandom"
"20","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"21","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"22","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",32,"directedRandom"
"23","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"24","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",26,"directedRandom"
"25","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",23,"directedRandom"
"26","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",26,"directedRandom"
"27","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",24,"directedRandom"
"28","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",21,"directedRandom"
"29","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",20,"directedRandom"
"30","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",21,"directedRandom"
"31","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",23,"directedRandom"
"32","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",20,"directedRandom"
"33","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",29,"directedRandom"
"34","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",20,"directedRandom"
"35","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",20,"directedRandom"
"36","gxntfedngvrwh2yfwez4","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",17,"directedRandom"
"37","gxntfedngvrwh2yfwez4","HyperSQL","Examination","FKCColumnPairR","NORMAL","true",17,"directedRandom"
"38","gxntfedngvrwh2yfwez4","HyperSQL","Examination","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"39","gxntfedngvrwh2yfwez4","HyperSQL","Examination","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"40","gxntfedngvrwh2yfwez4","HyperSQL","Examination","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"41","gxntfedngvrwh2yfwez4","HyperSQL","Examination","FKCColumnPairE","NORMAL","true",23,"directedRandom"
"42","gxntfedngvrwh2yfwez4","HyperSQL","Examination","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"43","gxntfedngvrwh2yfwez4","HyperSQL","Examination","FKCColumnPairE","NORMAL","true",16,"directedRandom"
"44","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",33,"directedRandom"
"45","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",24,"directedRandom"
"46","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",18,"directedRandom"
"47","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",17,"directedRandom"
"48","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",16,"directedRandom"
"49","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",17,"directedRandom"
"50","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",16,"directedRandom"
"51","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",16,"directedRandom"
"52","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",21,"directedRandom"
"53","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",17,"directedRandom"
"54","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",16,"directedRandom"
"55","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",16,"directedRandom"
"56","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",16,"directedRandom"
"57","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnA","NORMAL","true",16,"directedRandom"
"58","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnR","NORMAL","true",17,"directedRandom"
"59","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",17,"directedRandom"
"60","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",16,"directedRandom"
"61","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",17,"directedRandom"
"62","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",19,"directedRandom"
"63","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",18,"directedRandom"
"64","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",17,"directedRandom"
"65","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",16,"directedRandom"
"66","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",16,"directedRandom"
"67","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",16,"directedRandom"
"68","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",16,"directedRandom"
"69","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",16,"directedRandom"
"70","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",17,"directedRandom"
"71","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",18,"directedRandom"
"72","gxntfedngvrwh2yfwez4","HyperSQL","Examination","PKCColumnE","NORMAL","true",16,"directedRandom"
"73","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","EQUIVALENT","false",16,"directedRandom"
"74","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"75","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",29,"directedRandom"
"76","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",20,"directedRandom"
"77","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"78","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"79","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","EQUIVALENT","false",16,"directedRandom"
"80","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"81","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"82","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"83","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"84","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"85","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"86","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"87","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",15,"directedRandom"
"88","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"89","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",16,"directedRandom"
"90","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",15,"directedRandom"
"91","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",15,"directedRandom"
"92","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",15,"directedRandom"
"93","gxntfedngvrwh2yfwez4","HyperSQL","Examination","NNCA","NORMAL","true",15,"directedRandom"
"94","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",17,"directedRandom"
"95","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",18,"directedRandom"
"96","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"97","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"98","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"99","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"100","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"101","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"102","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"103","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"104","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"105","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"106","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"107","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"108","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",22,"directedRandom"
"109","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",17,"directedRandom"
"110","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",17,"directedRandom"
"111","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",17,"directedRandom"
"112","gxntfedngvrwh2yfwez4","HyperSQL","Examination","UCColumnA","NORMAL","true",16,"directedRandom"
"113","2dauaycxanltxud0675f","HyperSQL","Examination","CCNullifier","NORMAL","true",65,"directedRandom"
"114","2dauaycxanltxud0675f","HyperSQL","Examination","CCNullifier","NORMAL","true",68,"directedRandom"
"115","2dauaycxanltxud0675f","HyperSQL","Examination","CCNullifier","NORMAL","true",67,"directedRandom"
"116","2dauaycxanltxud0675f","HyperSQL","Examination","CCNullifier","NORMAL","true",59,"directedRandom"
"117","2dauaycxanltxud0675f","HyperSQL","Examination","CCNullifier","NORMAL","true",54,"directedRandom"
"118","2dauaycxanltxud0675f","HyperSQL","Examination","CCNullifier","NORMAL","true",46,"directedRandom"
"119","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"120","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",43,"directedRandom"
"121","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",72,"directedRandom"
"122","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",32,"directedRandom"
"123","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",29,"directedRandom"
"124","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",48,"directedRandom"
"125","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"126","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",22,"directedRandom"
"127","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",23,"directedRandom"
"128","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",33,"directedRandom"
"129","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",34,"directedRandom"
"130","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"131","2dauaycxanltxud0675f","HyperSQL","Examination","CCRelationalExpressionOperatorE","NORMAL","true",25,"directedRandom"
