"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","b7agbozgu1psfsawfjjh","Postgres","Examination","CCNullifier","NORMAL","true",3240,"directedRandom"
"2","b7agbozgu1psfsawfjjh","Postgres","Examination","CCNullifier","NORMAL","true",3101,"directedRandom"
"3","b7agbozgu1psfsawfjjh","Postgres","Examination","CCNullifier","NORMAL","true",3083,"directedRandom"
"4","b7agbozgu1psfsawfjjh","Postgres","Examination","CCNullifier","NORMAL","true",3033,"directedRandom"
"5","b7agbozgu1psfsawfjjh","Postgres","Examination","CCNullifier","NORMAL","true",2917,"directedRandom"
"6","b7agbozgu1psfsawfjjh","Postgres","Examination","CCNullifier","NORMAL","true",2950,"directedRandom"
"7","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2867,"directedRandom"
"8","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",524,"directedRandom"
"9","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",533,"directedRandom"
"10","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",441,"directedRandom"
"11","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",3042,"directedRandom"
"12","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",451,"directedRandom"
"13","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2984,"directedRandom"
"14","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",433,"directedRandom"
"15","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2933,"directedRandom"
"16","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",508,"directedRandom"
"17","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2408,"directedRandom"
"18","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",3209,"directedRandom"
"19","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2967,"directedRandom"
"20","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2392,"directedRandom"
"21","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2600,"directedRandom"
"22","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2868,"directedRandom"
"23","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2441,"directedRandom"
"24","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2367,"directedRandom"
"25","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2325,"directedRandom"
"26","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2909,"directedRandom"
"27","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2918,"directedRandom"
"28","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2384,"directedRandom"
"29","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2350,"directedRandom"
"30","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2375,"directedRandom"
"31","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",3109,"directedRandom"
"32","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2433,"directedRandom"
"33","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2908,"directedRandom"
"34","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2400,"directedRandom"
"35","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2935,"directedRandom"
"36","b7agbozgu1psfsawfjjh","Postgres","Examination","CCRelationalExpressionOperatorE","NORMAL","true",2442,"directedRandom"
"37","b7agbozgu1psfsawfjjh","Postgres","Examination","FKCColumnPairR","NORMAL","true",3108,"directedRandom"
"38","b7agbozgu1psfsawfjjh","Postgres","Examination","FKCColumnPairE","NORMAL","true",2075,"directedRandom"
"39","b7agbozgu1psfsawfjjh","Postgres","Examination","FKCColumnPairE","NORMAL","true",2100,"directedRandom"
"40","b7agbozgu1psfsawfjjh","Postgres","Examination","FKCColumnPairE","NORMAL","true",2251,"directedRandom"
"41","b7agbozgu1psfsawfjjh","Postgres","Examination","FKCColumnPairE","NORMAL","true",2308,"directedRandom"
"42","b7agbozgu1psfsawfjjh","Postgres","Examination","FKCColumnPairE","NORMAL","true",2425,"directedRandom"
"43","b7agbozgu1psfsawfjjh","Postgres","Examination","FKCColumnPairE","NORMAL","true",3536,"directedRandom"
"44","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",2800,"directedRandom"
"45","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",3434,"directedRandom"
"46","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",3059,"directedRandom"
"47","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",3009,"directedRandom"
"48","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",3009,"directedRandom"
"49","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",3034,"directedRandom"
"50","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",3134,"directedRandom"
"51","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",3176,"directedRandom"
"52","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",2500,"directedRandom"
"53","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",2508,"directedRandom"
"54","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",2959,"directedRandom"
"55","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",2875,"directedRandom"
"56","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",3009,"directedRandom"
"57","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnA","NORMAL","true",3125,"directedRandom"
"58","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnR","NORMAL","true",3033,"directedRandom"
"59","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnE","NORMAL","true",2642,"directedRandom"
"60","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnE","NORMAL","true",2818,"directedRandom"
"61","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnE","NORMAL","true",3159,"directedRandom"
"62","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnE","NORMAL","true",2916,"directedRandom"
"63","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnE","NORMAL","true",2950,"directedRandom"
"64","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnE","NORMAL","true",3101,"directedRandom"
"65","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnE","NORMAL","true",3200,"directedRandom"
"66","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnE","NORMAL","true",2850,"directedRandom"
"67","b7agbozgu1psfsawfjjh","Postgres","Examination","PKCColumnE","NORMAL","true",2650,"directedRandom"
