"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCNullifier","NORMAL","true",49,"directedRandom"
"2","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCNullifier","NORMAL","true",45,"directedRandom"
"3","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCNullifier","NORMAL","true",42,"directedRandom"
"4","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCNullifier","NORMAL","true",41,"directedRandom"
"5","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCNullifier","NORMAL","true",40,"directedRandom"
"6","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCNullifier","NORMAL","true",39,"directedRandom"
"7","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",39,"directedRandom"
"8","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",21,"directedRandom"
"9","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",38,"directedRandom"
"10","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",20,"directedRandom"
"11","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",37,"directedRandom"
"12","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",19,"directedRandom"
"13","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",38,"directedRandom"
"14","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",24,"directedRandom"
"15","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",36,"directedRandom"
"16","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",19,"directedRandom"
"17","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",31,"directedRandom"
"18","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",35,"directedRandom"
"19","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",36,"directedRandom"
"20","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",33,"directedRandom"
"21","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",29,"directedRandom"
"22","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",33,"directedRandom"
"23","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",32,"directedRandom"
"24","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",29,"directedRandom"
"25","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",29,"directedRandom"
"26","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",33,"directedRandom"
"27","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",32,"directedRandom"
"28","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",28,"directedRandom"
"29","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",29,"directedRandom"
"30","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",28,"directedRandom"
"31","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",32,"directedRandom"
"32","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"33","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",31,"directedRandom"
"34","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"35","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",32,"directedRandom"
"36","e0ngekb2d5vdgij8ulqr","SQLite","Examination","CCRelationalExpressionOperatorE","NORMAL","true",27,"directedRandom"
"37","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairR","NORMAL","true",26,"directedRandom"
"38","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",27,"directedRandom"
"39","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"40","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"41","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"42","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"43","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","IMPAIRED","true",16,"directedRandom"
"44","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",27,"directedRandom"
"45","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",27,"directedRandom"
"46","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",64,"directedRandom"
"47","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",28,"directedRandom"
"48","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",27,"directedRandom"
"49","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",27,"directedRandom"
"50","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",26,"directedRandom"
"51","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",27,"directedRandom"
"52","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",27,"directedRandom"
"53","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",26,"directedRandom"
"54","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",26,"directedRandom"
"55","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",26,"directedRandom"
"56","e0ngekb2d5vdgij8ulqr","SQLite","Examination","FKCColumnPairE","NORMAL","true",26,"directedRandom"
"57","e0ngekb2d5vdgij8ulqr","SQLite","Examination","PKCColumnA","IMPAIRED","true",16,"directedRandom"
