"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","syvasx73xswotlp0zbdg","HyperSQL","Flights","CCNullifier","NORMAL","true",66,"directedRandom"
"2","syvasx73xswotlp0zbdg","HyperSQL","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",39,"directedRandom"
"3","syvasx73xswotlp0zbdg","HyperSQL","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",44,"directedRandom"
"4","syvasx73xswotlp0zbdg","HyperSQL","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",29,"directedRandom"
"5","syvasx73xswotlp0zbdg","HyperSQL","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",34,"directedRandom"
"6","syvasx73xswotlp0zbdg","HyperSQL","Flights","FKCColumnPairE","NORMAL","true",30,"directedRandom"
"7","syvasx73xswotlp0zbdg","HyperSQL","Flights","FKCColumnPairE","NORMAL","true",40,"directedRandom"
"8","syvasx73xswotlp0zbdg","HyperSQL","Flights","FKCColumnPairE","NORMAL","true",33,"directedRandom"
"9","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnA","NORMAL","true",38,"directedRandom"
"10","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnA","NORMAL","true",38,"directedRandom"
"11","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnA","NORMAL","true",37,"directedRandom"
"12","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnA","NORMAL","true",37,"directedRandom"
"13","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnR","DUPLICATE","true",38,"directedRandom"
"14","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnR","DUPLICATE","true",35,"directedRandom"
"15","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnE","NORMAL","true",26,"directedRandom"
"16","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnE","NORMAL","true",31,"directedRandom"
"17","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnE","NORMAL","true",34,"directedRandom"
"18","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnE","NORMAL","true",31,"directedRandom"
"19","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnE","NORMAL","true",29,"directedRandom"
"20","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnE","NORMAL","true",28,"directedRandom"
"21","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnE","NORMAL","true",25,"directedRandom"
"22","syvasx73xswotlp0zbdg","HyperSQL","Flights","PKCColumnE","NORMAL","true",20,"directedRandom"
"23","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCA","NORMAL","true",19,"directedRandom"
"24","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCA","NORMAL","true",19,"directedRandom"
"25","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCA","NORMAL","true",50,"directedRandom"
"26","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCA","NORMAL","true",18,"directedRandom"
"27","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCA","NORMAL","true",17,"directedRandom"
"28","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCA","NORMAL","true",16,"directedRandom"
"29","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCA","NORMAL","true",16,"directedRandom"
"30","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCR","EQUIVALENT","false",15,"directedRandom"
"31","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCR","EQUIVALENT","false",15,"directedRandom"
"32","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCR","NORMAL","true",15,"directedRandom"
"33","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCR","EQUIVALENT","false",15,"directedRandom"
"34","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCR","EQUIVALENT","false",14,"directedRandom"
"35","syvasx73xswotlp0zbdg","HyperSQL","Flights","NNCR","NORMAL","true",14,"directedRandom"
"36","syvasx73xswotlp0zbdg","HyperSQL","Flights","UCColumnA","NORMAL","true",14,"directedRandom"
"37","syvasx73xswotlp0zbdg","HyperSQL","Flights","UCColumnA","NORMAL","true",19,"directedRandom"
"38","syvasx73xswotlp0zbdg","HyperSQL","Flights","UCColumnA","NORMAL","true",16,"directedRandom"
