"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","CCNullifier","NORMAL","true",1865,"directedRandom"
"2","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",1723,"directedRandom"
"3","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",1841,"directedRandom"
"4","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",408,"directedRandom"
"5","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",1736,"directedRandom"
"6","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","FKCColumnPairE","NORMAL","true",1530,"directedRandom"
"7","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","FKCColumnPairE","NORMAL","true",1400,"directedRandom"
"8","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","FKCColumnPairE","NORMAL","true",1375,"directedRandom"
"9","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnA","NORMAL","true",1951,"directedRandom"
"10","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnA","NORMAL","true",2083,"directedRandom"
"11","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnA","NORMAL","true",1958,"directedRandom"
"12","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnA","NORMAL","true",1833,"directedRandom"
"13","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnR","DUPLICATE","true",2025,"directedRandom"
"14","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnR","DUPLICATE","true",1934,"directedRandom"
"15","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnE","NORMAL","true",2108,"directedRandom"
"16","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnE","NORMAL","true",2141,"directedRandom"
"17","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnE","NORMAL","true",2108,"directedRandom"
"18","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnE","NORMAL","true",1942,"directedRandom"
"19","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnE","NORMAL","true",1958,"directedRandom"
"20","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnE","NORMAL","true",1943,"directedRandom"
"21","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnE","NORMAL","true",1958,"directedRandom"
"22","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","PKCColumnE","NORMAL","true",1900,"directedRandom"
"23","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","NNCA","NORMAL","true",1925,"directedRandom"
"24","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","NNCA","NORMAL","true",1892,"directedRandom"
"25","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","NNCA","NORMAL","true",1750,"directedRandom"
"26","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","NNCA","NORMAL","true",1842,"directedRandom"
"27","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","NNCA","NORMAL","true",1942,"directedRandom"
"28","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","NNCA","NORMAL","true",1858,"directedRandom"
"29","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","NNCA","NORMAL","true",1808,"directedRandom"
"30","fzcfhcv7lchf4lxhjf8k","Postgres","Flights","NNCR","EQUIVALENT","false",1992,"directedRandom"
