"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","dx0spccngapmzgb5o1bw","SQLite","Flights","CCNullifier","NORMAL","true",32,"directedRandom"
"2","dx0spccngapmzgb5o1bw","SQLite","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",28,"directedRandom"
"3","dx0spccngapmzgb5o1bw","SQLite","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",27,"directedRandom"
"4","dx0spccngapmzgb5o1bw","SQLite","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",16,"directedRandom"
"5","dx0spccngapmzgb5o1bw","SQLite","Flights","CCInExpressionRHSListExpressionElementR","NORMAL","true",49,"directedRandom"
"6","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairR","IMPAIRED","true",16,"directedRandom"
"7","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairR","IMPAIRED","true",15,"directedRandom"
"8","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",15,"directedRandom"
"9","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",14,"directedRandom"
"10","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",14,"directedRandom"
"11","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",14,"directedRandom"
"12","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",14,"directedRandom"
"13","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",13,"directedRandom"
"14","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",13,"directedRandom"
"15","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","NORMAL","true",20,"directedRandom"
"16","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","NORMAL","true",20,"directedRandom"
"17","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","NORMAL","true",20,"directedRandom"
"18","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","NORMAL","true",20,"directedRandom"
"19","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",13,"directedRandom"
"20","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",13,"directedRandom"
"21","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",13,"directedRandom"
"22","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",13,"directedRandom"
"23","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","IMPAIRED","true",13,"directedRandom"
"24","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","NORMAL","true",19,"directedRandom"
"25","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","NORMAL","true",19,"directedRandom"
"26","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","NORMAL","true",19,"directedRandom"
"27","dx0spccngapmzgb5o1bw","SQLite","Flights","FKCColumnPairE","NORMAL","true",19,"directedRandom"
"28","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnA","IMPAIRED","true",13,"directedRandom"
"29","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnA","IMPAIRED","true",13,"directedRandom"
"30","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnA","IMPAIRED","true",13,"directedRandom"
"31","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnA","IMPAIRED","true",13,"directedRandom"
"32","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnA","IMPAIRED","true",13,"directedRandom"
"33","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnA","NORMAL","true",23,"directedRandom"
"34","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnA","NORMAL","true",22,"directedRandom"
"35","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnA","NORMAL","true",22,"directedRandom"
"36","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnA","NORMAL","true",22,"directedRandom"
"37","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnR","IMPAIRED","true",13,"directedRandom"
"38","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnR","IMPAIRED","true",12,"directedRandom"
"39","dx0spccngapmzgb5o1bw","SQLite","Flights","PKCColumnR","DUPLICATE","true",46,"directedRandom"
