"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","FKCColumnPairR","NORMAL","true",48,"directedRandom"
"2","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","FKCColumnPairR","NORMAL","true",36,"directedRandom"
"3","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","FKCColumnPairE","NORMAL","true",37,"directedRandom"
"4","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","FKCColumnPairE","NORMAL","true",31,"directedRandom"
"5","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"6","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"7","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","FKCColumnPairE","NORMAL","true",26,"directedRandom"
"8","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","FKCColumnPairE","NORMAL","true",25,"directedRandom"
"9","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","FKCColumnPairE","NORMAL","true",26,"directedRandom"
"10","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","FKCColumnPairE","NORMAL","true",24,"directedRandom"
"11","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"12","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","PKCColumnA","DUPLICATE","true",25,"directedRandom"
"13","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","PKCColumnA","DUPLICATE","true",23,"directedRandom"
"14","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","PKCColumnA","DUPLICATE","true",26,"directedRandom"
"15","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","PKCColumnA","NORMAL","true",31,"directedRandom"
"16","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","PKCColumnA","DUPLICATE","true",32,"directedRandom"
"17","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","PKCColumnA","DUPLICATE","true",22,"directedRandom"
"18","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCA","NORMAL","true",24,"directedRandom"
"19","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",21,"directedRandom"
"20","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",20,"directedRandom"
"21","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",20,"directedRandom"
"22","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",20,"directedRandom"
"23","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",19,"directedRandom"
"24","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",19,"directedRandom"
"25","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",22,"directedRandom"
"26","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",19,"directedRandom"
"27","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",22,"directedRandom"
"28","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",20,"directedRandom"
"29","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",16,"directedRandom"
"30","t8dl9sx4xpvopchcaojt","HyperSQL","FrenchTowns","NNCR","NORMAL","true",17,"directedRandom"
