"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","FKCColumnPairR","NORMAL","true",2512,"directedRandom"
"2","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","FKCColumnPairR","NORMAL","true",2250,"directedRandom"
"3","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","FKCColumnPairE","NORMAL","true",1392,"directedRandom"
"4","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","FKCColumnPairE","NORMAL","true",1483,"directedRandom"
"5","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","FKCColumnPairE","NORMAL","true",1416,"directedRandom"
"6","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","FKCColumnPairE","NORMAL","true",1392,"directedRandom"
"7","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","FKCColumnPairE","NORMAL","true",1808,"directedRandom"
"8","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","FKCColumnPairE","NORMAL","true",1859,"directedRandom"
"9","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","FKCColumnPairE","NORMAL","true",1768,"directedRandom"
"10","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","FKCColumnPairE","NORMAL","true",1942,"directedRandom"
"11","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","FKCColumnPairE","NORMAL","true",1710,"directedRandom"
"12","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","PKCColumnA","EQUIVALENT","false",2200,"directedRandom"
"13","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","PKCColumnA","EQUIVALENT","false",2183,"directedRandom"
"14","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","PKCColumnA","DUPLICATE","true",2209,"directedRandom"
"15","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","PKCColumnA","EQUIVALENT","false",2091,"directedRandom"
"16","pg7gkpkh8rcv48ycatai","Postgres","FrenchTowns","PKCColumnA","EQUIVALENT","false",2192,"directedRandom"
