"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairR","NORMAL","true",27,"directedRandom"
"2","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairR","NORMAL","true",26,"directedRandom"
"3","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"4","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"5","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"6","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"7","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","IMPAIRED","true",11,"directedRandom"
"8","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"9","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",16,"directedRandom"
"10","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",20,"directedRandom"
"11","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",19,"directedRandom"
"12","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",19,"directedRandom"
"13","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",19,"directedRandom"
"14","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",19,"directedRandom"
"15","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"16","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","IMPAIRED","true",9,"directedRandom"
"17","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"18","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","EQUIVALENT","false",21,"directedRandom"
"19","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","EQUIVALENT","false",20,"directedRandom"
"20","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","DUPLICATE","true",20,"directedRandom"
"21","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","EQUIVALENT","false",20,"directedRandom"
"22","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","EQUIVALENT","false",20,"directedRandom"
"23","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","EQUIVALENT","false",20,"directedRandom"
"24","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","EQUIVALENT","false",20,"directedRandom"
"25","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","DUPLICATE","true",19,"directedRandom"
"26","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","EQUIVALENT","false",20,"directedRandom"
"27","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","EQUIVALENT","false",20,"directedRandom"
"28","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","DUPLICATE","true",20,"directedRandom"
"29","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","DUPLICATE","true",20,"directedRandom"
"30","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","DUPLICATE","true",21,"directedRandom"
"31","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","PKCColumnA","DUPLICATE","true",20,"directedRandom"
"32","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","NNCA","NORMAL","true",20,"directedRandom"
"33","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","NNCR","NORMAL","true",20,"directedRandom"
"34","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","NNCR","NORMAL","true",20,"directedRandom"
"35","qkqnbrh5seguiqyufr81","SQLite","FrenchTowns","NNCR","NORMAL","true",20,"directedRandom"
