"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","PKCColumnA","NORMAL","true",12,"directedRandom"
"2","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","PKCColumnA","NORMAL","true",10,"directedRandom"
"3","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","PKCColumnA","NORMAL","true",10,"directedRandom"
"4","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","PKCColumnR","NORMAL","true",10,"directedRandom"
"5","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","PKCColumnE","NORMAL","true",8,"directedRandom"
"6","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","PKCColumnE","NORMAL","true",8,"directedRandom"
"7","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","NNCA","EQUIVALENT","false",8,"directedRandom"
"8","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","NNCA","NORMAL","true",8,"directedRandom"
"9","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","NNCA","NORMAL","true",7,"directedRandom"
"10","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","NNCA","NORMAL","true",6,"directedRandom"
"11","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","UCColumnA","NORMAL","true",6,"directedRandom"
"12","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","UCColumnA","NORMAL","true",6,"directedRandom"
"13","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","UCColumnA","DUPLICATE","true",6,"directedRandom"
"14","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","UCColumnA","NORMAL","true",5,"directedRandom"
"15","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","UCColumnA","NORMAL","true",5,"directedRandom"
"16","swwio7saqi9dkhxbkrkz","HyperSQL","Inventory","UCColumnR","NORMAL","true",4,"directedRandom"
