"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","PKCColumnA","NORMAL","true",356,"directedRandom"
"2","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","PKCColumnA","NORMAL","true",542,"directedRandom"
"3","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","PKCColumnA","NORMAL","true",391,"directedRandom"
"4","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","PKCColumnR","NORMAL","true",457,"directedRandom"
"5","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","PKCColumnE","NORMAL","true",391,"directedRandom"
"6","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","PKCColumnE","NORMAL","true",450,"directedRandom"
"7","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","PKCColumnE","NORMAL","true",399,"directedRandom"
"8","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","NNCA","EQUIVALENT","false",441,"directedRandom"
"9","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","NNCA","NORMAL","true",366,"directedRandom"
"10","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","NNCA","NORMAL","true",416,"directedRandom"
"11","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","NNCA","NORMAL","true",508,"directedRandom"
"12","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","UCColumnA","EQUIVALENT","false",483,"directedRandom"
"13","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","UCColumnA","NORMAL","true",475,"directedRandom"
"14","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","UCColumnA","NORMAL","true",500,"directedRandom"
"15","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","UCColumnA","DUPLICATE","true",441,"directedRandom"
"16","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","UCColumnA","NORMAL","true",449,"directedRandom"
"17","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","UCColumnA","NORMAL","true",549,"directedRandom"
"18","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","UCColumnR","DUPLICATE","true",474,"directedRandom"
"19","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","UCColumnE","NORMAL","true",441,"directedRandom"
"20","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","UCColumnE","NORMAL","true",441,"directedRandom"
"21","yfkyylcxnhuhmi2crfl0","Postgres","Inventory","UCColumnE","NORMAL","true",566,"directedRandom"
"22","naregkv6tklr7mqfgiyg","Postgres","Inventory","PKCColumnA","NORMAL","true",417,"directedRandom"
"23","naregkv6tklr7mqfgiyg","Postgres","Inventory","PKCColumnA","NORMAL","true",492,"directedRandom"
"24","naregkv6tklr7mqfgiyg","Postgres","Inventory","PKCColumnA","NORMAL","true",433,"directedRandom"
"25","naregkv6tklr7mqfgiyg","Postgres","Inventory","PKCColumnR","NORMAL","true",407,"directedRandom"
"26","naregkv6tklr7mqfgiyg","Postgres","Inventory","PKCColumnE","NORMAL","true",324,"directedRandom"
"27","naregkv6tklr7mqfgiyg","Postgres","Inventory","PKCColumnE","NORMAL","true",425,"directedRandom"
"28","naregkv6tklr7mqfgiyg","Postgres","Inventory","PKCColumnE","NORMAL","true",516,"directedRandom"
"29","naregkv6tklr7mqfgiyg","Postgres","Inventory","NNCA","EQUIVALENT","false",525,"directedRandom"
"30","naregkv6tklr7mqfgiyg","Postgres","Inventory","NNCA","NORMAL","true",691,"directedRandom"
"31","naregkv6tklr7mqfgiyg","Postgres","Inventory","NNCA","NORMAL","true",433,"directedRandom"
"32","naregkv6tklr7mqfgiyg","Postgres","Inventory","NNCA","NORMAL","true",424,"directedRandom"
"33","naregkv6tklr7mqfgiyg","Postgres","Inventory","UCColumnA","EQUIVALENT","false",432,"directedRandom"
"34","naregkv6tklr7mqfgiyg","Postgres","Inventory","UCColumnA","NORMAL","true",558,"directedRandom"
"35","naregkv6tklr7mqfgiyg","Postgres","Inventory","UCColumnA","NORMAL","true",541,"directedRandom"
"36","naregkv6tklr7mqfgiyg","Postgres","Inventory","UCColumnA","DUPLICATE","true",491,"directedRandom"
"37","naregkv6tklr7mqfgiyg","Postgres","Inventory","UCColumnA","NORMAL","true",449,"directedRandom"
