"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"2","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","PKCColumnA","NORMAL","true",5,"directedRandom"
"3","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","PKCColumnA","NORMAL","true",5,"directedRandom"
"4","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","PKCColumnR","DUPLICATE","true",4,"directedRandom"
"5","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","PKCColumnE","NORMAL","true",4,"directedRandom"
"6","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","PKCColumnE","NORMAL","true",5,"directedRandom"
"7","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","PKCColumnE","NORMAL","true",4,"directedRandom"
"8","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"9","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"10","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"11","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"12","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","UCColumnA","EQUIVALENT","false",4,"directedRandom"
"13","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","UCColumnA","NORMAL","true",4,"directedRandom"
"14","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","UCColumnA","NORMAL","true",4,"directedRandom"
"15","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","UCColumnA","DUPLICATE","true",4,"directedRandom"
"16","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","UCColumnA","NORMAL","true",3,"directedRandom"
"17","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","UCColumnA","NORMAL","true",3,"directedRandom"
"18","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","UCColumnR","DUPLICATE","true",3,"directedRandom"
"19","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"20","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"21","agbmckwdy1dnyj1sqf9m","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"22","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"23","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","PKCColumnA","NORMAL","true",5,"directedRandom"
"24","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","PKCColumnA","NORMAL","true",5,"directedRandom"
"25","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","PKCColumnR","DUPLICATE","true",4,"directedRandom"
"26","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","PKCColumnE","NORMAL","true",4,"directedRandom"
"27","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","PKCColumnE","NORMAL","true",4,"directedRandom"
"28","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","PKCColumnE","NORMAL","true",4,"directedRandom"
"29","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"30","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"31","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","NNCA","NORMAL","true",3,"directedRandom"
"32","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","NNCA","NORMAL","true",3,"directedRandom"
"33","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","UCColumnA","EQUIVALENT","false",3,"directedRandom"
"34","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","UCColumnA","NORMAL","true",4,"directedRandom"
"35","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","UCColumnA","NORMAL","true",4,"directedRandom"
"36","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","UCColumnA","DUPLICATE","true",4,"directedRandom"
"37","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","UCColumnA","NORMAL","true",4,"directedRandom"
"38","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","UCColumnA","NORMAL","true",3,"directedRandom"
"39","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","UCColumnR","DUPLICATE","true",3,"directedRandom"
"40","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"41","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"42","mx7vtz2d2sa0tuznwyc9","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"43","iztyqyuv9jzmuznigb4i","SQLite","Inventory","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"44","iztyqyuv9jzmuznigb4i","SQLite","Inventory","PKCColumnA","NORMAL","true",5,"directedRandom"
"45","iztyqyuv9jzmuznigb4i","SQLite","Inventory","PKCColumnA","NORMAL","true",6,"directedRandom"
"46","iztyqyuv9jzmuznigb4i","SQLite","Inventory","PKCColumnR","DUPLICATE","true",4,"directedRandom"
"47","iztyqyuv9jzmuznigb4i","SQLite","Inventory","PKCColumnE","NORMAL","true",4,"directedRandom"
"48","iztyqyuv9jzmuznigb4i","SQLite","Inventory","PKCColumnE","NORMAL","true",4,"directedRandom"
"49","iztyqyuv9jzmuznigb4i","SQLite","Inventory","PKCColumnE","NORMAL","true",6,"directedRandom"
"50","iztyqyuv9jzmuznigb4i","SQLite","Inventory","NNCA","NORMAL","true",5,"directedRandom"
"51","iztyqyuv9jzmuznigb4i","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"52","iztyqyuv9jzmuznigb4i","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"53","iztyqyuv9jzmuznigb4i","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"54","iztyqyuv9jzmuznigb4i","SQLite","Inventory","UCColumnA","EQUIVALENT","false",4,"directedRandom"
"55","iztyqyuv9jzmuznigb4i","SQLite","Inventory","UCColumnA","NORMAL","true",4,"directedRandom"
"56","iztyqyuv9jzmuznigb4i","SQLite","Inventory","UCColumnA","NORMAL","true",4,"directedRandom"
"57","iztyqyuv9jzmuznigb4i","SQLite","Inventory","UCColumnA","DUPLICATE","true",3,"directedRandom"
"58","iztyqyuv9jzmuznigb4i","SQLite","Inventory","UCColumnA","NORMAL","true",4,"directedRandom"
"59","iztyqyuv9jzmuznigb4i","SQLite","Inventory","UCColumnA","NORMAL","true",3,"directedRandom"
"60","iztyqyuv9jzmuznigb4i","SQLite","Inventory","UCColumnR","DUPLICATE","true",3,"directedRandom"
"61","iztyqyuv9jzmuznigb4i","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"62","iztyqyuv9jzmuznigb4i","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"63","iztyqyuv9jzmuznigb4i","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"64","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"65","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","PKCColumnA","NORMAL","true",5,"directedRandom"
"66","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","PKCColumnA","NORMAL","true",5,"directedRandom"
"67","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","PKCColumnR","DUPLICATE","true",4,"directedRandom"
"68","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","PKCColumnE","NORMAL","true",4,"directedRandom"
"69","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","PKCColumnE","NORMAL","true",4,"directedRandom"
"70","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","PKCColumnE","NORMAL","true",4,"directedRandom"
"71","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"72","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"73","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","NNCA","NORMAL","true",4,"directedRandom"
"74","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","NNCA","NORMAL","true",3,"directedRandom"
"75","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","UCColumnA","EQUIVALENT","false",3,"directedRandom"
"76","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","UCColumnA","NORMAL","true",3,"directedRandom"
"77","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","UCColumnA","NORMAL","true",4,"directedRandom"
"78","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","UCColumnA","DUPLICATE","true",4,"directedRandom"
"79","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","UCColumnA","NORMAL","true",6,"directedRandom"
"80","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","UCColumnA","NORMAL","true",5,"directedRandom"
"81","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","UCColumnR","DUPLICATE","true",3,"directedRandom"
"82","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"83","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"84","lmf6ipglqfyafkrmnsyd","SQLite","Inventory","UCColumnE","NORMAL","true",3,"directedRandom"
"85","jwr5dtkdqkfot2k9htk9","SQLite","Inventory","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"86","jwr5dtkdqkfot2k9htk9","SQLite","Inventory","PKCColumnA","NORMAL","true",5,"directedRandom"
"87","jwr5dtkdqkfot2k9htk9","SQLite","Inventory","PKCColumnA","NORMAL","true",5,"directedRandom"
"88","jwr5dtkdqkfot2k9htk9","SQLite","Inventory","PKCColumnR","DUPLICATE","true",4,"directedRandom"
"89","jwr5dtkdqkfot2k9htk9","SQLite","Inventory","PKCColumnE","NORMAL","true",4,"directedRandom"
