"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","lqf8py5rzq9nh9adphp3","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",8,"directedRandom"
"2","lqf8py5rzq9nh9adphp3","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",8,"directedRandom"
"3","lqf8py5rzq9nh9adphp3","HyperSQL","Iso3166","PKCColumnR","NORMAL","true",7,"directedRandom"
"4","lqf8py5rzq9nh9adphp3","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",6,"directedRandom"
"5","lqf8py5rzq9nh9adphp3","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",6,"directedRandom"
"6","lqf8py5rzq9nh9adphp3","HyperSQL","Iso3166","NNCA","EQUIVALENT","false",8,"directedRandom"
"7","lqf8py5rzq9nh9adphp3","HyperSQL","Iso3166","NNCR","NORMAL","true",8,"directedRandom"
"8","lqf8py5rzq9nh9adphp3","HyperSQL","Iso3166","NNCR","NORMAL","true",5,"directedRandom"
"9","lqf8py5rzq9nh9adphp3","HyperSQL","Iso3166","UCColumnA","NORMAL","true",5,"directedRandom"
"10","lqf8py5rzq9nh9adphp3","HyperSQL","Iso3166","UCColumnA","NORMAL","true",5,"directedRandom"
"11","arot5mmg0khnurbdkozw","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",8,"directedRandom"
"12","arot5mmg0khnurbdkozw","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",7,"directedRandom"
"13","arot5mmg0khnurbdkozw","HyperSQL","Iso3166","PKCColumnR","NORMAL","true",6,"directedRandom"
"14","arot5mmg0khnurbdkozw","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",7,"directedRandom"
"15","arot5mmg0khnurbdkozw","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",7,"directedRandom"
"16","arot5mmg0khnurbdkozw","HyperSQL","Iso3166","NNCA","EQUIVALENT","false",7,"directedRandom"
"17","arot5mmg0khnurbdkozw","HyperSQL","Iso3166","NNCR","NORMAL","true",6,"directedRandom"
"18","arot5mmg0khnurbdkozw","HyperSQL","Iso3166","NNCR","NORMAL","true",6,"directedRandom"
"19","arot5mmg0khnurbdkozw","HyperSQL","Iso3166","UCColumnA","NORMAL","true",6,"directedRandom"
"20","arot5mmg0khnurbdkozw","HyperSQL","Iso3166","UCColumnA","NORMAL","true",5,"directedRandom"
"21","bb2kbbigxjcpcbrobz0d","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",9,"directedRandom"
"22","bb2kbbigxjcpcbrobz0d","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",9,"directedRandom"
"23","bb2kbbigxjcpcbrobz0d","HyperSQL","Iso3166","PKCColumnR","NORMAL","true",7,"directedRandom"
"24","bb2kbbigxjcpcbrobz0d","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",11,"directedRandom"
"25","bb2kbbigxjcpcbrobz0d","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",8,"directedRandom"
"26","bb2kbbigxjcpcbrobz0d","HyperSQL","Iso3166","NNCA","EQUIVALENT","false",12,"directedRandom"
"27","bb2kbbigxjcpcbrobz0d","HyperSQL","Iso3166","NNCR","NORMAL","true",9,"directedRandom"
"28","bb2kbbigxjcpcbrobz0d","HyperSQL","Iso3166","NNCR","NORMAL","true",9,"directedRandom"
"29","bb2kbbigxjcpcbrobz0d","HyperSQL","Iso3166","UCColumnA","NORMAL","true",6,"directedRandom"
"30","bb2kbbigxjcpcbrobz0d","HyperSQL","Iso3166","UCColumnA","NORMAL","true",7,"directedRandom"
"31","u5zxcshwjr0xufz6te4f","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",9,"directedRandom"
"32","u5zxcshwjr0xufz6te4f","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",8,"directedRandom"
"33","u5zxcshwjr0xufz6te4f","HyperSQL","Iso3166","PKCColumnR","NORMAL","true",7,"directedRandom"
"34","u5zxcshwjr0xufz6te4f","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",9,"directedRandom"
"35","u5zxcshwjr0xufz6te4f","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",8,"directedRandom"
"36","u5zxcshwjr0xufz6te4f","HyperSQL","Iso3166","NNCA","EQUIVALENT","false",9,"directedRandom"
"37","u5zxcshwjr0xufz6te4f","HyperSQL","Iso3166","NNCR","NORMAL","true",7,"directedRandom"
"38","u5zxcshwjr0xufz6te4f","HyperSQL","Iso3166","NNCR","NORMAL","true",6,"directedRandom"
"39","u5zxcshwjr0xufz6te4f","HyperSQL","Iso3166","UCColumnA","NORMAL","true",6,"directedRandom"
"40","u5zxcshwjr0xufz6te4f","HyperSQL","Iso3166","UCColumnA","NORMAL","true",6,"directedRandom"
"41","fl90qhskgreddqt1hj7n","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",8,"directedRandom"
"42","fl90qhskgreddqt1hj7n","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",9,"directedRandom"
"43","fl90qhskgreddqt1hj7n","HyperSQL","Iso3166","PKCColumnR","NORMAL","true",8,"directedRandom"
"44","fl90qhskgreddqt1hj7n","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",7,"directedRandom"
"45","fl90qhskgreddqt1hj7n","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",8,"directedRandom"
"46","fl90qhskgreddqt1hj7n","HyperSQL","Iso3166","NNCA","EQUIVALENT","false",9,"directedRandom"
"47","fl90qhskgreddqt1hj7n","HyperSQL","Iso3166","NNCR","NORMAL","true",8,"directedRandom"
"48","fl90qhskgreddqt1hj7n","HyperSQL","Iso3166","NNCR","NORMAL","true",6,"directedRandom"
"49","fl90qhskgreddqt1hj7n","HyperSQL","Iso3166","UCColumnA","NORMAL","true",6,"directedRandom"
"50","fl90qhskgreddqt1hj7n","HyperSQL","Iso3166","UCColumnA","NORMAL","true",6,"directedRandom"
"51","8pzuvv4q5pddrdmftqm3","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",8,"directedRandom"
"52","8pzuvv4q5pddrdmftqm3","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",8,"directedRandom"
"53","8pzuvv4q5pddrdmftqm3","HyperSQL","Iso3166","PKCColumnR","NORMAL","true",6,"directedRandom"
"54","8pzuvv4q5pddrdmftqm3","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",6,"directedRandom"
"55","8pzuvv4q5pddrdmftqm3","HyperSQL","Iso3166","PKCColumnE","NORMAL","true",6,"directedRandom"
"56","8pzuvv4q5pddrdmftqm3","HyperSQL","Iso3166","NNCA","EQUIVALENT","false",8,"directedRandom"
"57","8pzuvv4q5pddrdmftqm3","HyperSQL","Iso3166","NNCR","NORMAL","true",6,"directedRandom"
"58","8pzuvv4q5pddrdmftqm3","HyperSQL","Iso3166","NNCR","NORMAL","true",5,"directedRandom"
"59","8pzuvv4q5pddrdmftqm3","HyperSQL","Iso3166","UCColumnA","NORMAL","true",5,"directedRandom"
"60","8pzuvv4q5pddrdmftqm3","HyperSQL","Iso3166","UCColumnA","NORMAL","true",5,"directedRandom"
"61","kaoedngjuulf6xx6wpex","HyperSQL","Iso3166","PKCColumnA","NORMAL","true",9,"directedRandom"
