"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","tohhw9nwoeogzsun5wqg","Postgres","Iso3166","PKCColumnA","NORMAL","true",273,"directedRandom"
"2","tohhw9nwoeogzsun5wqg","Postgres","Iso3166","PKCColumnA","NORMAL","true",267,"directedRandom"
"3","tohhw9nwoeogzsun5wqg","Postgres","Iso3166","PKCColumnR","NORMAL","true",241,"directedRandom"
"4","tohhw9nwoeogzsun5wqg","Postgres","Iso3166","PKCColumnE","NORMAL","true",308,"directedRandom"
"5","tohhw9nwoeogzsun5wqg","Postgres","Iso3166","PKCColumnE","NORMAL","true",258,"directedRandom"
"6","tohhw9nwoeogzsun5wqg","Postgres","Iso3166","NNCA","EQUIVALENT","false",233,"directedRandom"
"7","tohhw9nwoeogzsun5wqg","Postgres","Iso3166","NNCR","NORMAL","true",249,"directedRandom"
"8","tohhw9nwoeogzsun5wqg","Postgres","Iso3166","NNCR","NORMAL","true",241,"directedRandom"
"9","tohhw9nwoeogzsun5wqg","Postgres","Iso3166","UCColumnA","NORMAL","true",258,"directedRandom"
"10","tohhw9nwoeogzsun5wqg","Postgres","Iso3166","UCColumnA","EQUIVALENT","false",216,"directedRandom"
"11","tohhw9nwoeogzsun5wqg","Postgres","Iso3166","UCColumnA","NORMAL","true",258,"directedRandom"
"12","sryascn8u6wolqlreksv","Postgres","Iso3166","PKCColumnA","NORMAL","true",248,"directedRandom"
"13","sryascn8u6wolqlreksv","Postgres","Iso3166","PKCColumnA","NORMAL","true",234,"directedRandom"
"14","sryascn8u6wolqlreksv","Postgres","Iso3166","PKCColumnR","NORMAL","true",191,"directedRandom"
"15","sryascn8u6wolqlreksv","Postgres","Iso3166","PKCColumnE","NORMAL","true",233,"directedRandom"
"16","sryascn8u6wolqlreksv","Postgres","Iso3166","PKCColumnE","NORMAL","true",249,"directedRandom"
"17","sryascn8u6wolqlreksv","Postgres","Iso3166","NNCA","EQUIVALENT","false",266,"directedRandom"
"18","sryascn8u6wolqlreksv","Postgres","Iso3166","NNCR","NORMAL","true",333,"directedRandom"
"19","sryascn8u6wolqlreksv","Postgres","Iso3166","NNCR","NORMAL","true",274,"directedRandom"
"20","sryascn8u6wolqlreksv","Postgres","Iso3166","UCColumnA","NORMAL","true",266,"directedRandom"
"21","sryascn8u6wolqlreksv","Postgres","Iso3166","UCColumnA","EQUIVALENT","false",224,"directedRandom"
"22","sryascn8u6wolqlreksv","Postgres","Iso3166","UCColumnA","NORMAL","true",258,"directedRandom"
"23","1tr1ecqdcxwlla8rzt99","Postgres","Iso3166","PKCColumnA","NORMAL","true",273,"directedRandom"
"24","1tr1ecqdcxwlla8rzt99","Postgres","Iso3166","PKCColumnA","NORMAL","true",250,"directedRandom"
