"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","uolpesvdrpejdhrn6ckp","SQLite","Iso3166","PKCColumnA","NORMAL","true",4,"directedRandom"
"2","uolpesvdrpejdhrn6ckp","SQLite","Iso3166","PKCColumnA","NORMAL","true",4,"directedRandom"
"3","uolpesvdrpejdhrn6ckp","SQLite","Iso3166","PKCColumnR","NORMAL","true",4,"directedRandom"
"4","uolpesvdrpejdhrn6ckp","SQLite","Iso3166","PKCColumnE","NORMAL","true",4,"directedRandom"
"5","uolpesvdrpejdhrn6ckp","SQLite","Iso3166","PKCColumnE","NORMAL","true",5,"directedRandom"
"6","uolpesvdrpejdhrn6ckp","SQLite","Iso3166","NNCA","NORMAL","true",3,"directedRandom"
"7","uolpesvdrpejdhrn6ckp","SQLite","Iso3166","NNCR","NORMAL","true",3,"directedRandom"
"8","uolpesvdrpejdhrn6ckp","SQLite","Iso3166","NNCR","NORMAL","true",4,"directedRandom"
"9","uolpesvdrpejdhrn6ckp","SQLite","Iso3166","UCColumnA","NORMAL","true",3,"directedRandom"
"10","uolpesvdrpejdhrn6ckp","SQLite","Iso3166","UCColumnA","EQUIVALENT","false",3,"directedRandom"
"11","uolpesvdrpejdhrn6ckp","SQLite","Iso3166","UCColumnA","NORMAL","true",3,"directedRandom"
"12","iarjfowt4axotkmaii2b","SQLite","Iso3166","PKCColumnA","NORMAL","true",4,"directedRandom"
"13","iarjfowt4axotkmaii2b","SQLite","Iso3166","PKCColumnA","NORMAL","true",4,"directedRandom"
"14","iarjfowt4axotkmaii2b","SQLite","Iso3166","PKCColumnR","NORMAL","true",4,"directedRandom"
"15","iarjfowt4axotkmaii2b","SQLite","Iso3166","PKCColumnE","NORMAL","true",3,"directedRandom"
"16","iarjfowt4axotkmaii2b","SQLite","Iso3166","PKCColumnE","NORMAL","true",5,"directedRandom"
"17","iarjfowt4axotkmaii2b","SQLite","Iso3166","NNCA","NORMAL","true",3,"directedRandom"
"18","iarjfowt4axotkmaii2b","SQLite","Iso3166","NNCR","NORMAL","true",3,"directedRandom"
"19","iarjfowt4axotkmaii2b","SQLite","Iso3166","NNCR","NORMAL","true",3,"directedRandom"
"20","iarjfowt4axotkmaii2b","SQLite","Iso3166","UCColumnA","NORMAL","true",3,"directedRandom"
"21","iarjfowt4axotkmaii2b","SQLite","Iso3166","UCColumnA","EQUIVALENT","false",3,"directedRandom"
