"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",113,"directedRandom"
"2","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",101,"directedRandom"
"3","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",93,"directedRandom"
"4","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",54,"directedRandom"
"5","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",56,"directedRandom"
"6","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",51,"directedRandom"
"7","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",39,"directedRandom"
"8","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",39,"directedRandom"
"9","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",35,"directedRandom"
"10","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",34,"directedRandom"
"11","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",34,"directedRandom"
"12","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",34,"directedRandom"
"13","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",32,"directedRandom"
"14","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",30,"directedRandom"
"15","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",30,"directedRandom"
"16","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",29,"directedRandom"
"17","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",30,"directedRandom"
"18","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",29,"directedRandom"
"19","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",29,"directedRandom"
"20","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",31,"directedRandom"
"21","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",28,"directedRandom"
"22","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",30,"directedRandom"
"23","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",31,"directedRandom"
"24","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",28,"directedRandom"
"25","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",25,"directedRandom"
"26","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",26,"directedRandom"
"27","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",25,"directedRandom"
"28","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",25,"directedRandom"
"29","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",26,"directedRandom"
"30","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",25,"directedRandom"
"31","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",25,"directedRandom"
"32","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",24,"directedRandom"
"33","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",24,"directedRandom"
"34","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",24,"directedRandom"
"35","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",24,"directedRandom"
"36","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",24,"directedRandom"
"37","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","PKCColumnA","NORMAL","true",25,"directedRandom"
"38","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",26,"directedRandom"
"39","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"40","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",26,"directedRandom"
"41","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",28,"directedRandom"
"42","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",30,"directedRandom"
"43","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"44","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"45","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",24,"directedRandom"
"46","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",24,"directedRandom"
"47","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",24,"directedRandom"
"48","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"49","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",26,"directedRandom"
"50","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",26,"directedRandom"
"51","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"52","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"53","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"54","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"55","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"56","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"57","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"58","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
"59","z6ah1zgbwzggqldilwe2","HyperSQL","IsoFlav_R2","NNCA","NORMAL","true",25,"directedRandom"
