"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","DUPLICATE","true",4791,"directedRandom"
"2","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4593,"directedRandom"
"3","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4659,"directedRandom"
"4","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4692,"directedRandom"
"5","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",5093,"directedRandom"
"6","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4794,"directedRandom"
"7","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",5910,"directedRandom"
"8","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4751,"directedRandom"
"9","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4918,"directedRandom"
"10","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",5242,"directedRandom"
"11","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",5075,"directedRandom"
"12","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","DUPLICATE","true",5159,"directedRandom"
"13","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4693,"directedRandom"
"14","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4609,"directedRandom"
"15","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4835,"directedRandom"
"16","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4818,"directedRandom"
"17","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4951,"directedRandom"
"18","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4818,"directedRandom"
"19","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4852,"directedRandom"
"20","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4959,"directedRandom"
"21","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4976,"directedRandom"
"22","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4951,"directedRandom"
"23","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4751,"directedRandom"
"24","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","DUPLICATE","true",4719,"directedRandom"
"25","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",5176,"directedRandom"
"26","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4851,"directedRandom"
"27","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4851,"directedRandom"
"28","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4694,"directedRandom"
"29","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4651,"directedRandom"
"30","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4518,"directedRandom"
"31","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4810,"directedRandom"
"32","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",5027,"directedRandom"
"33","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4659,"directedRandom"
"34","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4626,"directedRandom"
"35","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4718,"directedRandom"
"36","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4743,"directedRandom"
"37","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4577,"directedRandom"
"38","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4718,"directedRandom"
"39","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",4893,"directedRandom"
"40","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","PKCColumnA","NORMAL","true",5018,"directedRandom"
"41","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4851,"directedRandom"
"42","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",5252,"directedRandom"
"43","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4968,"directedRandom"
"44","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4985,"directedRandom"
"45","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4693,"directedRandom"
"46","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4852,"directedRandom"
"47","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4959,"directedRandom"
"48","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4826,"directedRandom"
"49","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4793,"directedRandom"
"50","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4859,"directedRandom"
"51","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4677,"directedRandom"
"52","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4684,"directedRandom"
"53","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",4868,"directedRandom"
"54","sbzkzigv7auc9cw4wtds","Postgres","IsoFlav_R2","NNCA","NORMAL","true",5185,"directedRandom"
