"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","EQUIVALENT","false",62,"directedRandom"
"2","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",56,"directedRandom"
"3","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",58,"directedRandom"
"4","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",48,"directedRandom"
"5","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",52,"directedRandom"
"6","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",48,"directedRandom"
"7","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",51,"directedRandom"
"8","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",48,"directedRandom"
"9","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",48,"directedRandom"
"10","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",45,"directedRandom"
"11","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",45,"directedRandom"
"12","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","EQUIVALENT","false",45,"directedRandom"
"13","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",45,"directedRandom"
"14","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",45,"directedRandom"
"15","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",49,"directedRandom"
"16","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",46,"directedRandom"
"17","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",46,"directedRandom"
"18","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"19","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"20","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",45,"directedRandom"
"21","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",45,"directedRandom"
"22","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",45,"directedRandom"
"23","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"24","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","EQUIVALENT","false",44,"directedRandom"
"25","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"26","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"27","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"28","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"29","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",42,"directedRandom"
"30","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",41,"directedRandom"
"31","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",40,"directedRandom"
"32","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",39,"directedRandom"
"33","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",39,"directedRandom"
"34","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",40,"directedRandom"
"35","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",40,"directedRandom"
"36","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"37","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",46,"directedRandom"
"38","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",46,"directedRandom"
"39","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",44,"directedRandom"
"40","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","PKCColumnA","DUPLICATE","true",184,"directedRandom"
"41","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",46,"directedRandom"
"42","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",46,"directedRandom"
"43","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"44","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"45","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"46","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"47","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"48","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"49","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"50","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"51","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"52","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"53","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"54","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"55","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"56","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"57","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"58","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"59","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"60","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"61","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"62","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"63","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",45,"directedRandom"
"64","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"65","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"66","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"67","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",41,"directedRandom"
"68","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",41,"directedRandom"
"69","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",41,"directedRandom"
"70","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",41,"directedRandom"
"71","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"72","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"73","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",41,"directedRandom"
"74","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"75","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"76","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"77","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"78","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"79","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"80","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","NNCA","NORMAL","true",42,"directedRandom"
"81","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"82","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"83","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"84","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"85","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"86","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",43,"directedRandom"
"87","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"88","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"89","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"90","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"91","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"92","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"93","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"94","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"95","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"96","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",43,"directedRandom"
"97","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"98","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"99","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"100","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",43,"directedRandom"
"101","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",43,"directedRandom"
"102","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"103","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"104","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"105","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",43,"directedRandom"
"106","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",43,"directedRandom"
"107","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"108","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"109","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"110","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"111","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",43,"directedRandom"
"112","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",43,"directedRandom"
"113","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",43,"directedRandom"
"114","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"115","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"116","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"117","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",43,"directedRandom"
"118","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",41,"directedRandom"
"119","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"120","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"121","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"122","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"123","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"124","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"125","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"126","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"127","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"128","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"129","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"130","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"131","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"132","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"133","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"134","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",41,"directedRandom"
"135","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",42,"directedRandom"
"136","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",40,"directedRandom"
"137","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",38,"directedRandom"
"138","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",43,"directedRandom"
"139","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",38,"directedRandom"
"140","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",38,"directedRandom"
"141","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",38,"directedRandom"
"142","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",38,"directedRandom"
"143","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",39,"directedRandom"
"144","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",38,"directedRandom"
"145","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnA","NORMAL","true",291,"directedRandom"
"146","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnR","NORMAL","true",43,"directedRandom"
"147","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnR","NORMAL","true",42,"directedRandom"
"148","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnR","NORMAL","true",42,"directedRandom"
"149","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnR","NORMAL","true",43,"directedRandom"
"150","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnR","NORMAL","true",42,"directedRandom"
"151","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnR","NORMAL","true",43,"directedRandom"
"152","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnR","NORMAL","true",42,"directedRandom"
"153","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnR","NORMAL","true",42,"directedRandom"
"154","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnR","NORMAL","true",42,"directedRandom"
"155","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnE","NORMAL","true",42,"directedRandom"
"156","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnE","NORMAL","true",41,"directedRandom"
"157","qm8rf0clct2aykwlpi7h","SQLite","IsoFlav_R2","UCColumnE","NORMAL","true",42,"directedRandom"
