"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",132,"directedRandom"
"2","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",139,"directedRandom"
"3","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",117,"directedRandom"
"4","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",84,"directedRandom"
"5","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",68,"directedRandom"
"6","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",60,"directedRandom"
"7","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",56,"directedRandom"
"8","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",48,"directedRandom"
"9","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",46,"directedRandom"
"10","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",44,"directedRandom"
"11","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",44,"directedRandom"
"12","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",74,"directedRandom"
"13","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",59,"directedRandom"
"14","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",40,"directedRandom"
"15","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",36,"directedRandom"
"16","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",35,"directedRandom"
"17","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",35,"directedRandom"
"18","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",34,"directedRandom"
"19","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",34,"directedRandom"
"20","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",33,"directedRandom"
"21","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",33,"directedRandom"
"22","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",33,"directedRandom"
"23","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",32,"directedRandom"
"24","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",32,"directedRandom"
"25","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",32,"directedRandom"
"26","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",31,"directedRandom"
"27","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",32,"directedRandom"
"28","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",31,"directedRandom"
"29","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",32,"directedRandom"
"30","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",31,"directedRandom"
"31","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",31,"directedRandom"
"32","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",31,"directedRandom"
"33","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",31,"directedRandom"
"34","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",31,"directedRandom"
"35","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",31,"directedRandom"
"36","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",31,"directedRandom"
"37","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",31,"directedRandom"
"38","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",38,"directedRandom"
"39","esjuwfenzkjtksgkdrh3","HyperSQL","JWhoisServer","PKCColumnA","NORMAL","true",31,"directedRandom"
