"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",130,"directedRandom"
"2","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",101,"directedRandom"
"3","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",81,"directedRandom"
"4","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",61,"directedRandom"
"5","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",57,"directedRandom"
"6","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",53,"directedRandom"
"7","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",57,"directedRandom"
"8","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",48,"directedRandom"
"9","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",45,"directedRandom"
"10","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",43,"directedRandom"
"11","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",42,"directedRandom"
"12","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",42,"directedRandom"
"13","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",44,"directedRandom"
"14","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",41,"directedRandom"
"15","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",43,"directedRandom"
"16","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",41,"directedRandom"
"17","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",41,"directedRandom"
"18","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",42,"directedRandom"
"19","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",44,"directedRandom"
"20","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",42,"directedRandom"
"21","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",42,"directedRandom"
"22","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",41,"directedRandom"
"23","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",42,"directedRandom"
"24","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",42,"directedRandom"
"25","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"26","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"27","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"28","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"29","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"30","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"31","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"32","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",39,"directedRandom"
"33","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"34","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"35","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"36","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"37","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",39,"directedRandom"
"38","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",40,"directedRandom"
"39","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",38,"directedRandom"
"40","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",41,"directedRandom"
"41","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",43,"directedRandom"
"42","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",43,"directedRandom"
"43","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",44,"directedRandom"
"44","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",41,"directedRandom"
"45","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",42,"directedRandom"
"46","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",42,"directedRandom"
"47","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",47,"directedRandom"
"48","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",42,"directedRandom"
"49","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnA","NORMAL","true",42,"directedRandom"
"50","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnR","NORMAL","true",50,"directedRandom"
"51","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnR","NORMAL","true",38,"directedRandom"
"52","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"53","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"54","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"55","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",39,"directedRandom"
"56","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",39,"directedRandom"
"57","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",39,"directedRandom"
"58","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",39,"directedRandom"
"59","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"60","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"61","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"62","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",39,"directedRandom"
"63","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",39,"directedRandom"
"64","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",39,"directedRandom"
"65","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"66","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"67","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"68","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"69","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",39,"directedRandom"
"70","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"71","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"72","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"73","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"74","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"75","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"76","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"77","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"78","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"79","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"80","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"81","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"82","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"83","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"84","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"85","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"86","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","PKCColumnE","NORMAL","true",38,"directedRandom"
"87","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","EQUIVALENT","false",43,"directedRandom"
"88","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",40,"directedRandom"
"89","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",39,"directedRandom"
"90","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",42,"directedRandom"
"91","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",46,"directedRandom"
"92","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",45,"directedRandom"
"93","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",49,"directedRandom"
"94","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",40,"directedRandom"
"95","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",40,"directedRandom"
"96","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",40,"directedRandom"
"97","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"98","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",41,"directedRandom"
"99","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"100","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",37,"directedRandom"
"101","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"102","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",37,"directedRandom"
"103","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",37,"directedRandom"
"104","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"105","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"106","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",43,"directedRandom"
"107","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"108","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"109","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"110","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"111","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"112","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"113","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"114","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"115","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",37,"directedRandom"
"116","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"117","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",37,"directedRandom"
"118","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",38,"directedRandom"
"119","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",37,"directedRandom"
"120","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",37,"directedRandom"
"121","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",36,"directedRandom"
"122","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",36,"directedRandom"
"123","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","EQUIVALENT","false",35,"directedRandom"
"124","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",37,"directedRandom"
"125","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",36,"directedRandom"
"126","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",35,"directedRandom"
"127","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",36,"directedRandom"
"128","4sdi81ca2s6kxfs15urg","HyperSQL","MozillaExtensions","NNCA","NORMAL","true",35,"directedRandom"
