"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",90,"directedRandom"
"2","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","DUPLICATE","true",76,"directedRandom"
"3","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",74,"directedRandom"
"4","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",75,"directedRandom"
"5","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",74,"directedRandom"
"6","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",73,"directedRandom"
"7","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",71,"directedRandom"
"8","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",69,"directedRandom"
"9","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",68,"directedRandom"
"10","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",73,"directedRandom"
"11","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"12","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"13","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"14","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"15","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"16","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"17","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"18","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"19","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"20","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"21","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"22","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"23","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"24","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"25","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"26","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"27","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"28","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"29","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"30","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"31","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"32","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",66,"directedRandom"
"33","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","DUPLICATE","true",68,"directedRandom"
"34","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","DUPLICATE","true",68,"directedRandom"
"35","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","DUPLICATE","true",67,"directedRandom"
"36","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"37","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"38","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",67,"directedRandom"
"39","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","NORMAL","true",68,"directedRandom"
"40","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","DUPLICATE","true",68,"directedRandom"
"41","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","DUPLICATE","true",67,"directedRandom"
"42","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","DUPLICATE","true",67,"directedRandom"
"43","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","DUPLICATE","true",242,"directedRandom"
"44","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","DUPLICATE","true",68,"directedRandom"
"45","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","DUPLICATE","true",67,"directedRandom"
"46","nfltz4w41tdbedeqpydx","SQLite","MozillaExtensions","PKCColumnA","DUPLICATE","true",67,"directedRandom"
