"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnA","NORMAL","true",26,"directedRandom"
"2","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnA","NORMAL","true",17,"directedRandom"
"3","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnA","NORMAL","true",16,"directedRandom"
"4","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnA","NORMAL","true",14,"directedRandom"
"5","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnA","NORMAL","true",13,"directedRandom"
"6","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnA","NORMAL","true",12,"directedRandom"
"7","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnA","NORMAL","true",13,"directedRandom"
"8","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnR","NORMAL","true",22,"directedRandom"
"9","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnE","NORMAL","true",11,"directedRandom"
"10","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnE","NORMAL","true",9,"directedRandom"
"11","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnE","NORMAL","true",11,"directedRandom"
"12","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnE","NORMAL","true",10,"directedRandom"
"13","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnE","NORMAL","true",10,"directedRandom"
"14","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnE","NORMAL","true",16,"directedRandom"
"15","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","PKCColumnE","NORMAL","true",10,"directedRandom"
"16","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","NNCA","EQUIVALENT","false",9,"directedRandom"
"17","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","NNCA","NORMAL","true",9,"directedRandom"
"18","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","NNCA","NORMAL","true",9,"directedRandom"
"19","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","NNCA","NORMAL","true",9,"directedRandom"
"20","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","NNCA","NORMAL","true",9,"directedRandom"
"21","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","NNCA","NORMAL","true",10,"directedRandom"
"22","zonnan9kvddykfo9d3ak","HyperSQL","MozillaPermissions","NNCA","NORMAL","true",9,"directedRandom"
