"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",810,"directedRandom"
"2","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",750,"directedRandom"
"3","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",783,"directedRandom"
"4","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",850,"directedRandom"
"5","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",733,"directedRandom"
"6","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",708,"directedRandom"
"7","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",875,"directedRandom"
"8","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnR","NORMAL","true",774,"directedRandom"
"9","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnE","NORMAL","true",783,"directedRandom"
"10","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnE","NORMAL","true",850,"directedRandom"
"11","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnE","NORMAL","true",816,"directedRandom"
"12","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnE","NORMAL","true",739,"directedRandom"
"13","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnE","NORMAL","true",858,"directedRandom"
"14","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnE","NORMAL","true",841,"directedRandom"
"15","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","PKCColumnE","NORMAL","true",1041,"directedRandom"
"16","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","NNCA","EQUIVALENT","false",766,"directedRandom"
"17","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","NNCA","NORMAL","true",874,"directedRandom"
"18","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","NNCA","NORMAL","true",741,"directedRandom"
"19","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","NNCA","NORMAL","true",916,"directedRandom"
"20","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","NNCA","NORMAL","true",800,"directedRandom"
"21","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","NNCA","NORMAL","true",816,"directedRandom"
"22","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","NNCA","NORMAL","true",716,"directedRandom"
"23","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","NNCA","NORMAL","true",741,"directedRandom"
"24","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","UCColumnA","EQUIVALENT","false",983,"directedRandom"
"25","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","UCColumnA","NORMAL","true",808,"directedRandom"
"26","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","UCColumnA","NORMAL","true",784,"directedRandom"
"27","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","UCColumnA","NORMAL","true",925,"directedRandom"
"28","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","UCColumnA","NORMAL","true",841,"directedRandom"
"29","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","UCColumnA","NORMAL","true",808,"directedRandom"
"30","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","UCColumnA","NORMAL","true",1025,"directedRandom"
"31","ey4gld60zy7akyfkzjl4","Postgres","MozillaPermissions","UCColumnA","NORMAL","true",883,"directedRandom"
"32","ygrfmg69rfy42dp3x8cl","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",740,"directedRandom"
"33","ygrfmg69rfy42dp3x8cl","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",851,"directedRandom"
"34","ygrfmg69rfy42dp3x8cl","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",724,"directedRandom"
"35","ygrfmg69rfy42dp3x8cl","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",766,"directedRandom"
"36","ygrfmg69rfy42dp3x8cl","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",850,"directedRandom"
"37","ygrfmg69rfy42dp3x8cl","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",866,"directedRandom"
"38","ygrfmg69rfy42dp3x8cl","Postgres","MozillaPermissions","PKCColumnA","NORMAL","true",716,"directedRandom"
"39","ygrfmg69rfy42dp3x8cl","Postgres","MozillaPermissions","PKCColumnR","NORMAL","true",774,"directedRandom"
"40","ygrfmg69rfy42dp3x8cl","Postgres","MozillaPermissions","PKCColumnE","NORMAL","true",766,"directedRandom"
"41","ygrfmg69rfy42dp3x8cl","Postgres","MozillaPermissions","PKCColumnE","NORMAL","true",841,"directedRandom"
"42","ygrfmg69rfy42dp3x8cl","Postgres","MozillaPermissions","PKCColumnE","NORMAL","true",700,"directedRandom"
