"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",72,"directedRandom"
"2","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",60,"directedRandom"
"3","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",58,"directedRandom"
"4","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",100,"directedRandom"
"5","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",57,"directedRandom"
"6","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",47,"directedRandom"
"7","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",48,"directedRandom"
"8","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",57,"directedRandom"
"9","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",54,"directedRandom"
"10","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",45,"directedRandom"
"11","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",35,"directedRandom"
"12","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",33,"directedRandom"
"13","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",33,"directedRandom"
"14","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",28,"directedRandom"
"15","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","FKCColumnPairE","NORMAL","true",26,"directedRandom"
"16","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",28,"directedRandom"
"17","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",32,"directedRandom"
"18","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",28,"directedRandom"
"19","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",27,"directedRandom"
"20","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",26,"directedRandom"
"21","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",25,"directedRandom"
"22","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",25,"directedRandom"
"23","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",25,"directedRandom"
"24","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",36,"directedRandom"
"25","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",26,"directedRandom"
"26","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",24,"directedRandom"
"27","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",24,"directedRandom"
"28","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",24,"directedRandom"
"29","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",25,"directedRandom"
"30","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",24,"directedRandom"
"31","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",25,"directedRandom"
"32","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","PKCColumnA","NORMAL","true",24,"directedRandom"
"33","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",29,"directedRandom"
"34","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",26,"directedRandom"
"35","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",26,"directedRandom"
"36","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",24,"directedRandom"
"37","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",23,"directedRandom"
"38","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",24,"directedRandom"
"39","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",31,"directedRandom"
"40","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",29,"directedRandom"
"41","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",26,"directedRandom"
"42","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",23,"directedRandom"
"43","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",29,"directedRandom"
"44","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",28,"directedRandom"
"45","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",34,"directedRandom"
"46","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",24,"directedRandom"
"47","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","EQUIVALENT","false",26,"directedRandom"
"48","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","NORMAL","true",26,"directedRandom"
"49","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","NORMAL","true",25,"directedRandom"
"50","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","NORMAL","true",27,"directedRandom"
"51","vnimwmeuethlbovaxda0","HyperSQL","NistDML182","NNCA","NORMAL","true",27,"directedRandom"
