"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4480,"directedRandom"
"2","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4327,"directedRandom"
"3","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4300,"directedRandom"
"4","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4592,"directedRandom"
"5","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4502,"directedRandom"
"6","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4367,"directedRandom"
"7","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4276,"directedRandom"
"8","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4526,"directedRandom"
"9","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4426,"directedRandom"
"10","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4509,"directedRandom"
"11","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4394,"directedRandom"
"12","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4909,"directedRandom"
"13","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4484,"directedRandom"
"14","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4351,"directedRandom"
"15","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4326,"directedRandom"
"16","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4493,"directedRandom"
"17","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","PKCColumnA","NORMAL","true",4292,"directedRandom"
"18","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4334,"directedRandom"
"19","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4442,"directedRandom"
"20","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4667,"directedRandom"
"21","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4427,"directedRandom"
"22","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4350,"directedRandom"
"23","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4384,"directedRandom"
"24","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4476,"directedRandom"
"25","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4426,"directedRandom"
"26","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4769,"directedRandom"
"27","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4540,"directedRandom"
"28","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4775,"directedRandom"
"29","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4567,"directedRandom"
"30","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4584,"directedRandom"
"31","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4577,"directedRandom"
"32","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","EQUIVALENT","false",4534,"directedRandom"
"33","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4351,"directedRandom"
"34","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4359,"directedRandom"
"35","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4275,"directedRandom"
"36","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4609,"directedRandom"
"37","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4544,"directedRandom"
"38","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4585,"directedRandom"
"39","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",5367,"directedRandom"
"40","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4384,"directedRandom"
"41","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4360,"directedRandom"
"42","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4292,"directedRandom"
"43","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4617,"directedRandom"
"44","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4292,"directedRandom"
"45","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4292,"directedRandom"
"46","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4309,"directedRandom"
"47","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4310,"directedRandom"
"48","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4509,"directedRandom"
"49","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","NNCA","NORMAL","true",4317,"directedRandom"
"50","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4451,"directedRandom"
"51","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4459,"directedRandom"
"52","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4559,"directedRandom"
"53","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4552,"directedRandom"
"54","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4392,"directedRandom"
"55","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4651,"directedRandom"
"56","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4401,"directedRandom"
"57","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4251,"directedRandom"
"58","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4319,"directedRandom"
"59","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4626,"directedRandom"
"60","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4409,"directedRandom"
"61","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4309,"directedRandom"
"62","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4376,"directedRandom"
"63","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4342,"directedRandom"
"64","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4369,"directedRandom"
"65","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4417,"directedRandom"
"66","vvhgu0w4jzq60dacqmd7","Postgres","NistDML182","UCColumnA","NORMAL","true",4601,"directedRandom"
