"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",43,"directedRandom"
"2","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",37,"directedRandom"
"3","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",35,"directedRandom"
"4","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",34,"directedRandom"
"5","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",33,"directedRandom"
"6","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",33,"directedRandom"
"7","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",33,"directedRandom"
"8","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",33,"directedRandom"
"9","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",34,"directedRandom"
"10","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",33,"directedRandom"
"11","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",33,"directedRandom"
"12","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",33,"directedRandom"
"13","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",33,"directedRandom"
"14","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",33,"directedRandom"
"15","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairR","IMPAIRED","true",33,"directedRandom"
"16","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",32,"directedRandom"
"17","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",33,"directedRandom"
"18","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",32,"directedRandom"
"19","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",31,"directedRandom"
"20","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"21","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"22","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",31,"directedRandom"
"23","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"24","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"25","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"26","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"27","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",29,"directedRandom"
"28","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"29","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"30","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"31","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"32","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",29,"directedRandom"
"33","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",30,"directedRandom"
"34","vys3dgo7axooamdpzio3","SQLite","NistDML182","FKCColumnPairE","IMPAIRED","true",29,"directedRandom"
