"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","CCNullifier","NORMAL","true",44,"directedRandom"
"2","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","CCNullifier","NORMAL","true",26,"directedRandom"
"3","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","CCNullifier","NORMAL","true",23,"directedRandom"
"4","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","CCNullifier","NORMAL","true",22,"directedRandom"
"5","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","CCNullifier","NORMAL","true",23,"directedRandom"
"6","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","FKCColumnPairR","NORMAL","true",20,"directedRandom"
"7","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"8","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","FKCColumnPairE","NORMAL","true",30,"directedRandom"
"9","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"10","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","PKCColumnA","NORMAL","true",21,"directedRandom"
"11","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","PKCColumnA","NORMAL","false",20,"directedRandom"
"12","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","PKCColumnR","NORMAL","true",19,"directedRandom"
"13","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","PKCColumnR","DUPLICATE","true",18,"directedRandom"
"14","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","PKCColumnE","NORMAL","true",19,"directedRandom"
"15","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","PKCColumnE","NORMAL","true",18,"directedRandom"
"16","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","PKCColumnE","NORMAL","true",20,"directedRandom"
"17","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","PKCColumnE","NORMAL","true",17,"directedRandom"
"18","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","NNCA","EQUIVALENT","false",17,"directedRandom"
"19","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","NNCA","NORMAL","true",17,"directedRandom"
"20","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","NNCA","NORMAL","true",19,"directedRandom"
"21","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","NNCA","EQUIVALENT","false",19,"directedRandom"
"22","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","NNCR","NORMAL","true",16,"directedRandom"
"23","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","NNCR","NORMAL","true",15,"directedRandom"
"24","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","NNCR","EQUIVALENT","false",16,"directedRandom"
"25","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","NNCR","NORMAL","true",15,"directedRandom"
"26","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","NNCR","NORMAL","true",14,"directedRandom"
"27","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","UCColumnA","NORMAL","true",13,"directedRandom"
"28","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","UCColumnA","NORMAL","true",13,"directedRandom"
"29","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","UCColumnA","NORMAL","true",13,"directedRandom"
"30","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","UCColumnA","NORMAL","true",12,"directedRandom"
"31","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","UCColumnA","NORMAL","true",12,"directedRandom"
"32","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","UCColumnA","NORMAL","true",12,"directedRandom"
"33","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","UCColumnA","NORMAL","true",12,"directedRandom"
"34","y6sv0lajqnx6tzfzr3wn","HyperSQL","NistWeather","UCColumnA","NORMAL","true",11,"directedRandom"
"35","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","CCNullifier","NORMAL","true",39,"directedRandom"
"36","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","CCNullifier","NORMAL","true",25,"directedRandom"
"37","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","CCNullifier","NORMAL","true",22,"directedRandom"
"38","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","CCNullifier","NORMAL","true",21,"directedRandom"
"39","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","CCNullifier","NORMAL","true",22,"directedRandom"
"40","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","FKCColumnPairR","NORMAL","true",22,"directedRandom"
"41","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","FKCColumnPairE","NORMAL","true",18,"directedRandom"
"42","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"43","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","FKCColumnPairE","NORMAL","true",37,"directedRandom"
"44","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","PKCColumnA","NORMAL","true",26,"directedRandom"
"45","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","PKCColumnA","NORMAL","true",25,"directedRandom"
"46","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","PKCColumnR","NORMAL","true",23,"directedRandom"
"47","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","PKCColumnR","DUPLICATE","true",23,"directedRandom"
"48","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","PKCColumnE","NORMAL","true",21,"directedRandom"
"49","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","PKCColumnE","NORMAL","true",19,"directedRandom"
"50","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","PKCColumnE","NORMAL","true",18,"directedRandom"
"51","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","PKCColumnE","NORMAL","true",18,"directedRandom"
"52","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","NNCA","EQUIVALENT","false",19,"directedRandom"
"53","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","NNCA","NORMAL","true",16,"directedRandom"
"54","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","NNCA","NORMAL","true",19,"directedRandom"
"55","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","NNCA","EQUIVALENT","false",18,"directedRandom"
"56","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","NNCR","NORMAL","true",17,"directedRandom"
"57","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","NNCR","NORMAL","true",16,"directedRandom"
"58","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","NNCR","EQUIVALENT","false",20,"directedRandom"
"59","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","NNCR","NORMAL","true",19,"directedRandom"
"60","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","NNCR","NORMAL","true",19,"directedRandom"
"61","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","UCColumnA","NORMAL","true",19,"directedRandom"
"62","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","UCColumnA","NORMAL","true",17,"directedRandom"
"63","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","UCColumnA","NORMAL","true",16,"directedRandom"
"64","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","UCColumnA","NORMAL","true",15,"directedRandom"
"65","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","UCColumnA","NORMAL","true",17,"directedRandom"
"66","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","UCColumnA","NORMAL","true",16,"directedRandom"
"67","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","UCColumnA","NORMAL","true",11,"directedRandom"
"68","5m7yqougz74io6bfw3yo","HyperSQL","NistWeather","UCColumnA","NORMAL","true",10,"directedRandom"
"69","4pipuig5ra089g5nfwxl","HyperSQL","NistWeather","CCNullifier","NORMAL","true",40,"directedRandom"
"70","4pipuig5ra089g5nfwxl","HyperSQL","NistWeather","CCNullifier","NORMAL","true",29,"directedRandom"
