"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","gpl2nuhqotinvvwlejma","Postgres","NistWeather","CCNullifier","NORMAL","true",1315,"directedRandom"
"2","gpl2nuhqotinvvwlejma","Postgres","NistWeather","CCNullifier","NORMAL","true",1467,"directedRandom"
"3","gpl2nuhqotinvvwlejma","Postgres","NistWeather","CCNullifier","NORMAL","true",1391,"directedRandom"
"4","gpl2nuhqotinvvwlejma","Postgres","NistWeather","CCNullifier","NORMAL","true",1375,"directedRandom"
"5","gpl2nuhqotinvvwlejma","Postgres","NistWeather","CCNullifier","NORMAL","true",1508,"directedRandom"
"6","gpl2nuhqotinvvwlejma","Postgres","NistWeather","FKCColumnPairR","NORMAL","true",1391,"directedRandom"
"7","gpl2nuhqotinvvwlejma","Postgres","NistWeather","FKCColumnPairE","NORMAL","true",1125,"directedRandom"
"8","gpl2nuhqotinvvwlejma","Postgres","NistWeather","FKCColumnPairE","NORMAL","true",1008,"directedRandom"
"9","gpl2nuhqotinvvwlejma","Postgres","NistWeather","FKCColumnPairE","NORMAL","true",1025,"directedRandom"
"10","gpl2nuhqotinvvwlejma","Postgres","NistWeather","PKCColumnA","NORMAL","true",1425,"directedRandom"
"11","gpl2nuhqotinvvwlejma","Postgres","NistWeather","PKCColumnA","NORMAL","false",1633,"directedRandom"
"12","gpl2nuhqotinvvwlejma","Postgres","NistWeather","PKCColumnR","NORMAL","true",1366,"directedRandom"
"13","gpl2nuhqotinvvwlejma","Postgres","NistWeather","PKCColumnR","DUPLICATE","true",1466,"directedRandom"
"14","gpl2nuhqotinvvwlejma","Postgres","NistWeather","PKCColumnE","NORMAL","true",1300,"directedRandom"
"15","gpl2nuhqotinvvwlejma","Postgres","NistWeather","PKCColumnE","NORMAL","true",1476,"directedRandom"
"16","gpl2nuhqotinvvwlejma","Postgres","NistWeather","PKCColumnE","NORMAL","true",1342,"directedRandom"
"17","gpl2nuhqotinvvwlejma","Postgres","NistWeather","PKCColumnE","NORMAL","true",1424,"directedRandom"
"18","gpl2nuhqotinvvwlejma","Postgres","NistWeather","NNCA","EQUIVALENT","false",1475,"directedRandom"
"19","gpl2nuhqotinvvwlejma","Postgres","NistWeather","NNCA","NORMAL","true",1417,"directedRandom"
"20","gpl2nuhqotinvvwlejma","Postgres","NistWeather","NNCA","NORMAL","true",1383,"directedRandom"
