"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","CCNullifier","NORMAL","true",20,"directedRandom"
"2","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","CCNullifier","NORMAL","true",18,"directedRandom"
"3","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","CCNullifier","NORMAL","true",17,"directedRandom"
"4","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","CCNullifier","NORMAL","true",16,"directedRandom"
"5","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","CCNullifier","NORMAL","true",16,"directedRandom"
"6","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","FKCColumnPairR","NORMAL","true",13,"directedRandom"
"7","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","FKCColumnPairE","IMPAIRED","true",10,"directedRandom"
"8","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","FKCColumnPairE","IMPAIRED","true",10,"directedRandom"
"9","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","FKCColumnPairE","IMPAIRED","true",10,"directedRandom"
"10","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","FKCColumnPairE","IMPAIRED","true",10,"directedRandom"
"11","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","FKCColumnPairE","NORMAL","true",24,"directedRandom"
"12","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","FKCColumnPairE","NORMAL","true",23,"directedRandom"
"13","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","FKCColumnPairE","NORMAL","true",17,"directedRandom"
"14","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","PKCColumnA","IMPAIRED","true",15,"directedRandom"
"15","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","PKCColumnA","IMPAIRED","true",15,"directedRandom"
"16","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","PKCColumnA","IMPAIRED","true",14,"directedRandom"
"17","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","PKCColumnA","IMPAIRED","true",14,"directedRandom"
"18","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","PKCColumnA","NORMAL","true",25,"directedRandom"
"19","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","PKCColumnA","NORMAL","true",23,"directedRandom"
"20","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","PKCColumnR","IMPAIRED","true",18,"directedRandom"
"21","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","PKCColumnR","DUPLICATE","true",23,"directedRandom"
"22","g3ylpd13gym1g0xm3tva","SQLite","NistWeather","PKCColumnR","DUPLICATE","true",24,"directedRandom"
