"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","CCNullifier","NORMAL","true",11,"directedRandom"
"2","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"3","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",12,"directedRandom"
"4","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",8,"directedRandom"
"5","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","false",9,"directedRandom"
"6","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",6,"directedRandom"
"7","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","PKCColumnA","DUPLICATE","true",9,"directedRandom"
"8","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","PKCColumnA","NORMAL","true",6,"directedRandom"
"9","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","NNCA","NORMAL","true",7,"directedRandom"
"10","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","NNCA","NORMAL","true",6,"directedRandom"
"11","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","NNCR","NORMAL","true",6,"directedRandom"
"12","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","UCColumnA","NORMAL","true",6,"directedRandom"
"13","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","UCColumnA","NORMAL","true",5,"directedRandom"
"14","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","UCColumnA","NORMAL","true",5,"directedRandom"
"15","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","UCColumnA","NORMAL","true",5,"directedRandom"
"16","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","UCColumnR","NORMAL","true",5,"directedRandom"
"17","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","UCColumnE","NORMAL","true",5,"directedRandom"
"18","cddikaxtkvalkloraa5i","HyperSQL","NistXTS748","UCColumnE","NORMAL","true",4,"directedRandom"
"19","5mtsf4a9u0mftim5zx4a","HyperSQL","NistXTS748","CCNullifier","NORMAL","true",12,"directedRandom"
"20","5mtsf4a9u0mftim5zx4a","HyperSQL","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",9,"directedRandom"
