"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","CCNullifier","NORMAL","true",490,"directedRandom"
"2","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",192,"directedRandom"
"3","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",424,"directedRandom"
"4","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",274,"directedRandom"
"5","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","false",399,"directedRandom"
"6","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",158,"directedRandom"
"7","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","PKCColumnA","DUPLICATE","true",416,"directedRandom"
"8","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","PKCColumnA","DUPLICATE","true",357,"directedRandom"
"9","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","PKCColumnA","NORMAL","true",316,"directedRandom"
"10","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","NNCA","NORMAL","true",266,"directedRandom"
"11","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","NNCA","NORMAL","true",258,"directedRandom"
"12","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","NNCR","NORMAL","true",433,"directedRandom"
"13","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","UCColumnA","NORMAL","true",508,"directedRandom"
"14","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","UCColumnA","NORMAL","true",408,"directedRandom"
"15","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","UCColumnA","NORMAL","true",391,"directedRandom"
"16","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","UCColumnA","NORMAL","true",408,"directedRandom"
"17","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","UCColumnR","NORMAL","true",307,"directedRandom"
"18","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","UCColumnE","NORMAL","true",350,"directedRandom"
"19","pfgud9taaxmpjhvg27lc","Postgres","NistXTS748","UCColumnE","NORMAL","true",349,"directedRandom"
"20","lujwtwzfckrsyvv0hafq","Postgres","NistXTS748","CCNullifier","NORMAL","true",374,"directedRandom"
"21","lujwtwzfckrsyvv0hafq","Postgres","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",150,"directedRandom"
"22","lujwtwzfckrsyvv0hafq","Postgres","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","false",358,"directedRandom"
"23","lujwtwzfckrsyvv0hafq","Postgres","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",141,"directedRandom"
"24","lujwtwzfckrsyvv0hafq","Postgres","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",366,"directedRandom"
"25","lujwtwzfckrsyvv0hafq","Postgres","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",141,"directedRandom"
"26","lujwtwzfckrsyvv0hafq","Postgres","NistXTS748","PKCColumnA","DUPLICATE","true",400,"directedRandom"
"27","lujwtwzfckrsyvv0hafq","Postgres","NistXTS748","PKCColumnA","DUPLICATE","true",366,"directedRandom"
