"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","dssl4yepaqwydzxns57q","SQLite","NistXTS748","CCNullifier","NORMAL","true",5,"directedRandom"
"2","dssl4yepaqwydzxns57q","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",3,"directedRandom"
"3","dssl4yepaqwydzxns57q","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",4,"directedRandom"
"4","dssl4yepaqwydzxns57q","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",3,"directedRandom"
"5","dssl4yepaqwydzxns57q","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","false",3,"directedRandom"
"6","dssl4yepaqwydzxns57q","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",3,"directedRandom"
"7","dssl4yepaqwydzxns57q","SQLite","NistXTS748","PKCColumnA","DUPLICATE","true",4,"directedRandom"
"8","dssl4yepaqwydzxns57q","SQLite","NistXTS748","PKCColumnA","EQUIVALENT","false",4,"directedRandom"
"9","dssl4yepaqwydzxns57q","SQLite","NistXTS748","PKCColumnA","DUPLICATE","true",3,"directedRandom"
"10","dssl4yepaqwydzxns57q","SQLite","NistXTS748","NNCA","NORMAL","true",3,"directedRandom"
"11","dssl4yepaqwydzxns57q","SQLite","NistXTS748","NNCA","NORMAL","true",3,"directedRandom"
"12","dssl4yepaqwydzxns57q","SQLite","NistXTS748","NNCR","NORMAL","true",3,"directedRandom"
"13","dssl4yepaqwydzxns57q","SQLite","NistXTS748","UCColumnA","NORMAL","true",3,"directedRandom"
"14","dssl4yepaqwydzxns57q","SQLite","NistXTS748","UCColumnA","NORMAL","true",3,"directedRandom"
"15","dssl4yepaqwydzxns57q","SQLite","NistXTS748","UCColumnA","NORMAL","true",3,"directedRandom"
"16","dssl4yepaqwydzxns57q","SQLite","NistXTS748","UCColumnA","NORMAL","true",3,"directedRandom"
"17","dssl4yepaqwydzxns57q","SQLite","NistXTS748","UCColumnR","NORMAL","true",2,"directedRandom"
"18","dssl4yepaqwydzxns57q","SQLite","NistXTS748","UCColumnE","NORMAL","true",3,"directedRandom"
"19","dssl4yepaqwydzxns57q","SQLite","NistXTS748","UCColumnE","NORMAL","true",3,"directedRandom"
"20","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","CCNullifier","NORMAL","true",5,"directedRandom"
"21","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",3,"directedRandom"
"22","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","false",4,"directedRandom"
"23","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",3,"directedRandom"
"24","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",3,"directedRandom"
"25","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",3,"directedRandom"
"26","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","PKCColumnA","DUPLICATE","true",4,"directedRandom"
"27","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","PKCColumnA","EQUIVALENT","false",4,"directedRandom"
"28","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","PKCColumnA","DUPLICATE","true",3,"directedRandom"
"29","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","NNCA","NORMAL","true",3,"directedRandom"
"30","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","NNCA","NORMAL","true",3,"directedRandom"
"31","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","NNCR","NORMAL","true",3,"directedRandom"
"32","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","UCColumnA","NORMAL","true",3,"directedRandom"
"33","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","UCColumnA","NORMAL","true",3,"directedRandom"
"34","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","UCColumnA","NORMAL","true",3,"directedRandom"
"35","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","UCColumnA","NORMAL","true",3,"directedRandom"
"36","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","UCColumnR","NORMAL","true",2,"directedRandom"
"37","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","UCColumnE","NORMAL","true",3,"directedRandom"
"38","yuby3cr0lmwjycupqne6","SQLite","NistXTS748","UCColumnE","NORMAL","true",3,"directedRandom"
"39","vesvowpwucjny9dhabfu","SQLite","NistXTS748","CCNullifier","NORMAL","true",5,"directedRandom"
"40","vesvowpwucjny9dhabfu","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","true",3,"directedRandom"
"41","vesvowpwucjny9dhabfu","SQLite","NistXTS748","CCRelationalExpressionOperatorE","NORMAL","false",4,"directedRandom"
