"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","3pout28sqrrzxhybezrk","HyperSQL","Person","CCNullifier","NORMAL","true",19,"directedRandom"
"2","3pout28sqrrzxhybezrk","HyperSQL","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",23,"directedRandom"
"3","3pout28sqrrzxhybezrk","HyperSQL","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",18,"directedRandom"
"4","3pout28sqrrzxhybezrk","HyperSQL","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",11,"directedRandom"
"5","3pout28sqrrzxhybezrk","HyperSQL","Person","PKCColumnA","NORMAL","true",15,"directedRandom"
"6","3pout28sqrrzxhybezrk","HyperSQL","Person","PKCColumnA","NORMAL","true",15,"directedRandom"
"7","3pout28sqrrzxhybezrk","HyperSQL","Person","PKCColumnA","NORMAL","true",14,"directedRandom"
"8","3pout28sqrrzxhybezrk","HyperSQL","Person","PKCColumnA","NORMAL","true",13,"directedRandom"
"9","3pout28sqrrzxhybezrk","HyperSQL","Person","PKCColumnR","NORMAL","true",13,"directedRandom"
"10","3pout28sqrrzxhybezrk","HyperSQL","Person","PKCColumnE","NORMAL","true",28,"directedRandom"
"11","3pout28sqrrzxhybezrk","HyperSQL","Person","PKCColumnE","NORMAL","true",12,"directedRandom"
"12","3pout28sqrrzxhybezrk","HyperSQL","Person","PKCColumnE","NORMAL","true",10,"directedRandom"
"13","3pout28sqrrzxhybezrk","HyperSQL","Person","PKCColumnE","NORMAL","true",22,"directedRandom"
"14","3pout28sqrrzxhybezrk","HyperSQL","Person","NNCR","EQUIVALENT","false",10,"directedRandom"
"15","3pout28sqrrzxhybezrk","HyperSQL","Person","NNCR","NORMAL","true",8,"directedRandom"
"16","3pout28sqrrzxhybezrk","HyperSQL","Person","NNCR","NORMAL","true",7,"directedRandom"
"17","3pout28sqrrzxhybezrk","HyperSQL","Person","NNCR","NORMAL","true",7,"directedRandom"
"18","3pout28sqrrzxhybezrk","HyperSQL","Person","NNCR","NORMAL","true",7,"directedRandom"
"19","3pout28sqrrzxhybezrk","HyperSQL","Person","UCColumnA","NORMAL","true",7,"directedRandom"
"20","3pout28sqrrzxhybezrk","HyperSQL","Person","UCColumnA","NORMAL","true",7,"directedRandom"
"21","3pout28sqrrzxhybezrk","HyperSQL","Person","UCColumnA","NORMAL","true",7,"directedRandom"
"22","3pout28sqrrzxhybezrk","HyperSQL","Person","UCColumnA","NORMAL","true",7,"directedRandom"
"23","uzxignptgqu0tesmsvjs","HyperSQL","Person","CCNullifier","NORMAL","true",20,"directedRandom"
"24","uzxignptgqu0tesmsvjs","HyperSQL","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",15,"directedRandom"
"25","uzxignptgqu0tesmsvjs","HyperSQL","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",17,"directedRandom"
"26","uzxignptgqu0tesmsvjs","HyperSQL","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",16,"directedRandom"
"27","uzxignptgqu0tesmsvjs","HyperSQL","Person","PKCColumnA","NORMAL","true",15,"directedRandom"
