"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","3xueqcmxct56tpfdwyv9","Postgres","Person","CCNullifier","NORMAL","true",415,"directedRandom"
"2","3xueqcmxct56tpfdwyv9","Postgres","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",375,"directedRandom"
"3","3xueqcmxct56tpfdwyv9","Postgres","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",383,"directedRandom"
"4","3xueqcmxct56tpfdwyv9","Postgres","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",134,"directedRandom"
"5","3xueqcmxct56tpfdwyv9","Postgres","Person","PKCColumnA","NORMAL","true",374,"directedRandom"
"6","3xueqcmxct56tpfdwyv9","Postgres","Person","PKCColumnA","NORMAL","true",396,"directedRandom"
"7","3xueqcmxct56tpfdwyv9","Postgres","Person","PKCColumnA","NORMAL","true",383,"directedRandom"
"8","3xueqcmxct56tpfdwyv9","Postgres","Person","PKCColumnA","NORMAL","true",450,"directedRandom"
"9","3xueqcmxct56tpfdwyv9","Postgres","Person","PKCColumnR","NORMAL","true",424,"directedRandom"
"10","3xueqcmxct56tpfdwyv9","Postgres","Person","PKCColumnE","NORMAL","true",383,"directedRandom"
"11","3xueqcmxct56tpfdwyv9","Postgres","Person","PKCColumnE","NORMAL","true",499,"directedRandom"
"12","3xueqcmxct56tpfdwyv9","Postgres","Person","PKCColumnE","NORMAL","true",399,"directedRandom"
"13","3xueqcmxct56tpfdwyv9","Postgres","Person","PKCColumnE","NORMAL","true",376,"directedRandom"
"14","3xueqcmxct56tpfdwyv9","Postgres","Person","NNCR","EQUIVALENT","false",374,"directedRandom"
"15","3xueqcmxct56tpfdwyv9","Postgres","Person","NNCR","NORMAL","true",483,"directedRandom"
"16","3xueqcmxct56tpfdwyv9","Postgres","Person","NNCR","NORMAL","true",483,"directedRandom"
"17","3xueqcmxct56tpfdwyv9","Postgres","Person","NNCR","NORMAL","true",400,"directedRandom"
"18","3xueqcmxct56tpfdwyv9","Postgres","Person","NNCR","NORMAL","true",391,"directedRandom"
"19","3xueqcmxct56tpfdwyv9","Postgres","Person","UCColumnA","EQUIVALENT","false",375,"directedRandom"
"20","3xueqcmxct56tpfdwyv9","Postgres","Person","UCColumnA","NORMAL","true",416,"directedRandom"
"21","3xueqcmxct56tpfdwyv9","Postgres","Person","UCColumnA","NORMAL","true",516,"directedRandom"
"22","3xueqcmxct56tpfdwyv9","Postgres","Person","UCColumnA","NORMAL","true",433,"directedRandom"
"23","3xueqcmxct56tpfdwyv9","Postgres","Person","UCColumnA","NORMAL","true",474,"directedRandom"
"24","7rf4bqdkt9gcrr4ehihu","Postgres","Person","CCNullifier","NORMAL","true",407,"directedRandom"
"25","7rf4bqdkt9gcrr4ehihu","Postgres","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",117,"directedRandom"
"26","7rf4bqdkt9gcrr4ehihu","Postgres","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",424,"directedRandom"
"27","7rf4bqdkt9gcrr4ehihu","Postgres","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",374,"directedRandom"
"28","7rf4bqdkt9gcrr4ehihu","Postgres","Person","PKCColumnA","NORMAL","true",391,"directedRandom"
"29","7rf4bqdkt9gcrr4ehihu","Postgres","Person","PKCColumnA","NORMAL","true",383,"directedRandom"
"30","7rf4bqdkt9gcrr4ehihu","Postgres","Person","PKCColumnA","NORMAL","true",383,"directedRandom"
"31","7rf4bqdkt9gcrr4ehihu","Postgres","Person","PKCColumnA","NORMAL","true",416,"directedRandom"
"32","7rf4bqdkt9gcrr4ehihu","Postgres","Person","PKCColumnR","NORMAL","true",449,"directedRandom"
"33","7rf4bqdkt9gcrr4ehihu","Postgres","Person","PKCColumnE","NORMAL","true",416,"directedRandom"
"34","7rf4bqdkt9gcrr4ehihu","Postgres","Person","PKCColumnE","NORMAL","true",408,"directedRandom"
"35","7rf4bqdkt9gcrr4ehihu","Postgres","Person","PKCColumnE","NORMAL","true",366,"directedRandom"
"36","7rf4bqdkt9gcrr4ehihu","Postgres","Person","PKCColumnE","NORMAL","true",366,"directedRandom"
"37","7rf4bqdkt9gcrr4ehihu","Postgres","Person","NNCR","EQUIVALENT","false",383,"directedRandom"
"38","7rf4bqdkt9gcrr4ehihu","Postgres","Person","NNCR","NORMAL","true",399,"directedRandom"
"39","7rf4bqdkt9gcrr4ehihu","Postgres","Person","NNCR","NORMAL","true",533,"directedRandom"
"40","7rf4bqdkt9gcrr4ehihu","Postgres","Person","NNCR","NORMAL","true",491,"directedRandom"
"41","7rf4bqdkt9gcrr4ehihu","Postgres","Person","NNCR","NORMAL","true",399,"directedRandom"
"42","7rf4bqdkt9gcrr4ehihu","Postgres","Person","UCColumnA","EQUIVALENT","false",574,"directedRandom"
"43","7rf4bqdkt9gcrr4ehihu","Postgres","Person","UCColumnA","NORMAL","true",475,"directedRandom"
"44","7rf4bqdkt9gcrr4ehihu","Postgres","Person","UCColumnA","NORMAL","true",399,"directedRandom"
"45","7rf4bqdkt9gcrr4ehihu","Postgres","Person","UCColumnA","NORMAL","true",425,"directedRandom"
"46","7rf4bqdkt9gcrr4ehihu","Postgres","Person","UCColumnA","NORMAL","true",442,"directedRandom"
"47","pqr1rimdt2twxsnbtrgh","Postgres","Person","CCNullifier","NORMAL","true",397,"directedRandom"
"48","pqr1rimdt2twxsnbtrgh","Postgres","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",367,"directedRandom"
"49","pqr1rimdt2twxsnbtrgh","Postgres","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",333,"directedRandom"
"50","pqr1rimdt2twxsnbtrgh","Postgres","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",224,"directedRandom"
"51","pqr1rimdt2twxsnbtrgh","Postgres","Person","PKCColumnA","NORMAL","true",458,"directedRandom"
"52","pqr1rimdt2twxsnbtrgh","Postgres","Person","PKCColumnA","NORMAL","true",474,"directedRandom"
"53","pqr1rimdt2twxsnbtrgh","Postgres","Person","PKCColumnA","NORMAL","true",476,"directedRandom"
"54","pqr1rimdt2twxsnbtrgh","Postgres","Person","PKCColumnA","NORMAL","true",399,"directedRandom"
"55","pqr1rimdt2twxsnbtrgh","Postgres","Person","PKCColumnR","NORMAL","true",349,"directedRandom"
"56","pqr1rimdt2twxsnbtrgh","Postgres","Person","PKCColumnE","NORMAL","true",441,"directedRandom"
"57","pqr1rimdt2twxsnbtrgh","Postgres","Person","PKCColumnE","NORMAL","true",424,"directedRandom"
"58","pqr1rimdt2twxsnbtrgh","Postgres","Person","PKCColumnE","NORMAL","true",441,"directedRandom"
"59","pqr1rimdt2twxsnbtrgh","Postgres","Person","PKCColumnE","NORMAL","true",449,"directedRandom"
"60","pqr1rimdt2twxsnbtrgh","Postgres","Person","NNCR","EQUIVALENT","false",416,"directedRandom"
