"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","edm4dtrpcqdrlzloasas","SQLite","Person","CCNullifier","NORMAL","true",10,"directedRandom"
"2","edm4dtrpcqdrlzloasas","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",10,"directedRandom"
"3","edm4dtrpcqdrlzloasas","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",10,"directedRandom"
"4","edm4dtrpcqdrlzloasas","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",5,"directedRandom"
"5","edm4dtrpcqdrlzloasas","SQLite","Person","PKCColumnA","NORMAL","true",7,"directedRandom"
"6","edm4dtrpcqdrlzloasas","SQLite","Person","PKCColumnA","NORMAL","true",8,"directedRandom"
"7","edm4dtrpcqdrlzloasas","SQLite","Person","PKCColumnA","NORMAL","true",10,"directedRandom"
"8","edm4dtrpcqdrlzloasas","SQLite","Person","PKCColumnA","NORMAL","true",6,"directedRandom"
"9","edm4dtrpcqdrlzloasas","SQLite","Person","PKCColumnR","NORMAL","true",6,"directedRandom"
"10","edm4dtrpcqdrlzloasas","SQLite","Person","PKCColumnE","NORMAL","true",6,"directedRandom"
"11","edm4dtrpcqdrlzloasas","SQLite","Person","PKCColumnE","NORMAL","true",6,"directedRandom"
"12","edm4dtrpcqdrlzloasas","SQLite","Person","PKCColumnE","NORMAL","true",7,"directedRandom"
"13","edm4dtrpcqdrlzloasas","SQLite","Person","PKCColumnE","NORMAL","true",5,"directedRandom"
"14","edm4dtrpcqdrlzloasas","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"15","edm4dtrpcqdrlzloasas","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"16","edm4dtrpcqdrlzloasas","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"17","edm4dtrpcqdrlzloasas","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"18","edm4dtrpcqdrlzloasas","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"19","edm4dtrpcqdrlzloasas","SQLite","Person","UCColumnA","EQUIVALENT","false",5,"directedRandom"
"20","edm4dtrpcqdrlzloasas","SQLite","Person","UCColumnA","NORMAL","true",5,"directedRandom"
"21","edm4dtrpcqdrlzloasas","SQLite","Person","UCColumnA","NORMAL","true",6,"directedRandom"
"22","edm4dtrpcqdrlzloasas","SQLite","Person","UCColumnA","NORMAL","true",6,"directedRandom"
"23","edm4dtrpcqdrlzloasas","SQLite","Person","UCColumnA","NORMAL","true",6,"directedRandom"
"24","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","CCNullifier","NORMAL","true",9,"directedRandom"
"25","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",7,"directedRandom"
"26","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",12,"directedRandom"
"27","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",7,"directedRandom"
"28","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","PKCColumnA","NORMAL","true",7,"directedRandom"
"29","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","PKCColumnA","NORMAL","true",8,"directedRandom"
"30","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","PKCColumnA","NORMAL","true",7,"directedRandom"
"31","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","PKCColumnA","NORMAL","true",6,"directedRandom"
"32","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","PKCColumnR","NORMAL","true",6,"directedRandom"
"33","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","PKCColumnE","NORMAL","true",6,"directedRandom"
"34","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","PKCColumnE","NORMAL","true",6,"directedRandom"
"35","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","PKCColumnE","NORMAL","true",6,"directedRandom"
"36","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","PKCColumnE","NORMAL","true",5,"directedRandom"
"37","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","NNCR","NORMAL","true",6,"directedRandom"
"38","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"39","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"40","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"41","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"42","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","UCColumnA","EQUIVALENT","false",5,"directedRandom"
"43","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","UCColumnA","NORMAL","true",8,"directedRandom"
"44","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","UCColumnA","NORMAL","true",8,"directedRandom"
"45","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","UCColumnA","NORMAL","true",8,"directedRandom"
"46","6ar7vrvfa9rgbzjyp3k1","SQLite","Person","UCColumnA","NORMAL","true",7,"directedRandom"
"47","oi1rdsflm8plfkhv8kqk","SQLite","Person","CCNullifier","NORMAL","true",11,"directedRandom"
"48","oi1rdsflm8plfkhv8kqk","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",9,"directedRandom"
"49","oi1rdsflm8plfkhv8kqk","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",8,"directedRandom"
"50","oi1rdsflm8plfkhv8kqk","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",5,"directedRandom"
"51","oi1rdsflm8plfkhv8kqk","SQLite","Person","PKCColumnA","NORMAL","true",8,"directedRandom"
"52","oi1rdsflm8plfkhv8kqk","SQLite","Person","PKCColumnA","NORMAL","true",7,"directedRandom"
"53","oi1rdsflm8plfkhv8kqk","SQLite","Person","PKCColumnA","NORMAL","false",7,"directedRandom"
"54","oi1rdsflm8plfkhv8kqk","SQLite","Person","PKCColumnA","NORMAL","true",6,"directedRandom"
"55","oi1rdsflm8plfkhv8kqk","SQLite","Person","PKCColumnR","NORMAL","true",6,"directedRandom"
"56","oi1rdsflm8plfkhv8kqk","SQLite","Person","PKCColumnE","NORMAL","true",6,"directedRandom"
"57","oi1rdsflm8plfkhv8kqk","SQLite","Person","PKCColumnE","NORMAL","true",6,"directedRandom"
"58","oi1rdsflm8plfkhv8kqk","SQLite","Person","PKCColumnE","NORMAL","true",6,"directedRandom"
"59","oi1rdsflm8plfkhv8kqk","SQLite","Person","PKCColumnE","NORMAL","true",5,"directedRandom"
"60","oi1rdsflm8plfkhv8kqk","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"61","oi1rdsflm8plfkhv8kqk","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"62","oi1rdsflm8plfkhv8kqk","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"63","oi1rdsflm8plfkhv8kqk","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"64","oi1rdsflm8plfkhv8kqk","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"65","oi1rdsflm8plfkhv8kqk","SQLite","Person","UCColumnA","EQUIVALENT","false",5,"directedRandom"
"66","oi1rdsflm8plfkhv8kqk","SQLite","Person","UCColumnA","NORMAL","true",5,"directedRandom"
"67","oi1rdsflm8plfkhv8kqk","SQLite","Person","UCColumnA","NORMAL","true",5,"directedRandom"
"68","oi1rdsflm8plfkhv8kqk","SQLite","Person","UCColumnA","NORMAL","true",5,"directedRandom"
"69","oi1rdsflm8plfkhv8kqk","SQLite","Person","UCColumnA","NORMAL","true",6,"directedRandom"
"70","sq8g6fm2dfura6jwkepo","SQLite","Person","CCNullifier","NORMAL","true",8,"directedRandom"
"71","sq8g6fm2dfura6jwkepo","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",8,"directedRandom"
"72","sq8g6fm2dfura6jwkepo","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",6,"directedRandom"
"73","sq8g6fm2dfura6jwkepo","SQLite","Person","CCInExpressionRHSListExpressionElementR","NORMAL","true",7,"directedRandom"
"74","sq8g6fm2dfura6jwkepo","SQLite","Person","PKCColumnA","NORMAL","true",7,"directedRandom"
"75","sq8g6fm2dfura6jwkepo","SQLite","Person","PKCColumnA","NORMAL","true",7,"directedRandom"
"76","sq8g6fm2dfura6jwkepo","SQLite","Person","PKCColumnA","NORMAL","false",7,"directedRandom"
"77","sq8g6fm2dfura6jwkepo","SQLite","Person","PKCColumnA","NORMAL","true",6,"directedRandom"
"78","sq8g6fm2dfura6jwkepo","SQLite","Person","PKCColumnR","NORMAL","true",6,"directedRandom"
"79","sq8g6fm2dfura6jwkepo","SQLite","Person","PKCColumnE","NORMAL","true",6,"directedRandom"
"80","sq8g6fm2dfura6jwkepo","SQLite","Person","PKCColumnE","NORMAL","true",6,"directedRandom"
"81","sq8g6fm2dfura6jwkepo","SQLite","Person","PKCColumnE","NORMAL","true",6,"directedRandom"
"82","sq8g6fm2dfura6jwkepo","SQLite","Person","PKCColumnE","NORMAL","true",5,"directedRandom"
"83","sq8g6fm2dfura6jwkepo","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"84","sq8g6fm2dfura6jwkepo","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"85","sq8g6fm2dfura6jwkepo","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"86","sq8g6fm2dfura6jwkepo","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"87","sq8g6fm2dfura6jwkepo","SQLite","Person","NNCR","NORMAL","true",5,"directedRandom"
"88","sq8g6fm2dfura6jwkepo","SQLite","Person","UCColumnA","EQUIVALENT","false",5,"directedRandom"
"89","sq8g6fm2dfura6jwkepo","SQLite","Person","UCColumnA","NORMAL","true",5,"directedRandom"
"90","sq8g6fm2dfura6jwkepo","SQLite","Person","UCColumnA","NORMAL","true",5,"directedRandom"
