"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCNullifier","NORMAL","false",42,"directedRandom"
"2","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCNullifier","NORMAL","true",29,"directedRandom"
"3","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCNullifier","NORMAL","true",24,"directedRandom"
"4","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCNullifier","NORMAL","true",24,"directedRandom"
"5","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",17,"directedRandom"
"6","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","false",23,"directedRandom"
"7","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",15,"directedRandom"
"8","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","false",23,"directedRandom"
"9","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",15,"directedRandom"
"10","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",15,"directedRandom"
"11","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",21,"directedRandom"
"12","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",14,"directedRandom"
"13","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","false",21,"directedRandom"
"14","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",14,"directedRandom"
"15","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",14,"directedRandom"
"16","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",22,"directedRandom"
"17","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",16,"directedRandom"
"18","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","false",20,"directedRandom"
"19","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",13,"directedRandom"
"20","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",17,"directedRandom"
"21","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",21,"directedRandom"
"22","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",16,"directedRandom"
"23","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","false",18,"directedRandom"
"24","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","CCRelationalExpressionOperatorE","NORMAL","true",16,"directedRandom"
"25","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","FKCColumnPairR","NORMAL","true",15,"directedRandom"
"26","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","FKCColumnPairR","NORMAL","true",15,"directedRandom"
"27","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","FKCColumnPairE","NORMAL","true",13,"directedRandom"
"28","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","FKCColumnPairE","NORMAL","true",13,"directedRandom"
"29","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","FKCColumnPairE","NORMAL","true",12,"directedRandom"
"30","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","FKCColumnPairE","NORMAL","true",12,"directedRandom"
"31","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","PKCColumnA","NORMAL","true",13,"directedRandom"
"32","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","PKCColumnR","NORMAL","true",13,"directedRandom"
"33","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","PKCColumnR","NORMAL","true",12,"directedRandom"
"34","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","PKCColumnE","NORMAL","true",13,"directedRandom"
"35","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","PKCColumnE","NORMAL","true",11,"directedRandom"
"36","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","NNCA","EQUIVALENT","false",11,"directedRandom"
"37","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","NNCA","NORMAL","true",12,"directedRandom"
"38","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","NNCA","EQUIVALENT","false",11,"directedRandom"
"39","ulcav1qo5jffrtaxbrpp","HyperSQL","Products","NNCA","EQUIVALENT","false",11,"directedRandom"
